"zip_county_desc","partially_covered_hispanic","partially_covered_nothispanic","partially_covered_unknown","fully_covered_hispanic","fully_covered_not_hispanic","fully_covered_unknown"
"LACKAWANNA","1264","18039","6735","1836","63113","18862"
"LEHIGH","11945","47689","9264","11061","98973","15172"
"JUNIATA","89","1425","192","65","5264","455"
"ALLEGHENY","4155","158420","64700","6791","309319","143373"
"ARMSTRONG","56","4176","2646","132","14873","7068"
"LUZERNE","3429","25019","6478","3508","84662","16489"
"CHESTER","6404","108716","25995","5616","126586","28370"
"WYOMING","64","2479","468","100","6906","1248"
"VENANGO","19","1482","1693","144","7278","6174"
"SNYDER","68","3179","395","109","9017","690"
"MCKEAN","89","5651","2084","65","4989","2721"
"NORTHUMBERLAND","224","6261","810","447","25166","3908"
"FULTON","11","471","159","9","1909","513"
"OUT-OF-STATE","8401","43591","72349","11821","91088","146291"
"CAMBRIA","123","6124","3452","264","28919","13649"
"BEDFORD","63","2427","645","92","7023","2728"
"WARREN","42","3193","1672","95","7501","1680"
"SUSQUEHANNA","57","2407","543","111","7578","1748"
"WESTMORELAND","509","27823","13517","1551","83527","29784"
"BLAIR","100","4262","4739","290","16688","17130"
"BEAVER","326","11749","4231","547","39230","10157"
"TIOGA","38","846","2130","64","4080","5433"
"MERCER","82","3992","2270","251","23411","10938"
"POTTER","29","393","737","46","1516","1297"
"ADAMS","795","6321","2603","881","21885","3800"
"ERIE","690","14167","7804","2201","66619","24739"
"INDIANA","79","4018","1759","203","15324","6374"
"DELAWARE","2677","60900","25922","2453","114973","48286"
"CRAWFORD","126","4463","1029","272","20753","3842"
"CARBON","332","6991","1048","566","17364","2695"
"MONTOUR","44","1386","120","133","7988","598"
"NORTHAMPTON","6728","49160","9211","5821","81134","12813"
"CAMERON",,"176","95","10","1047","521"
"CLEARFIELD","92","2682","1967","215","10837","13013"
"LANCASTER","6562","43062","6748","9504","145636","20477"
"PHILADELPHIA","3198","22258","10286","3309","42122","21476"
"LEBANON","1722","9020","1758","2008","31386","4995"
"MIFFLIN","52","2591","333","73","11651","1004"
"HUNTINGDON","35","1950","746","195","8719","3722"
"PERRY","70","4030","3737","82","7816","2677"
"BRADFORD","77","2500","671","237","11267","1886"
"BUTLER","284","14087","5075","563","55498","12168"
"CLINTON","37","1382","1211","80","8057","1854"
"COLUMBIA","189","5128","583","324","20343","1253"
"SOMERSET","44","3565","1835","236","14115","6699"
"SULLIVAN","18","1443","198","12","1247","409"
"WASHINGTON","504","22098","8750","948","51821","19566"
"SCHUYLKILL","541","13530","4764","767","35545","7633"
"CENTRE","412","11470","6874","933","39955","14885"
"BUCKS","3149","62734","33447","3463","121897","60732"
"CLARION","15","1456","604","55","8637","2076"
"MONTGOMERY","7804","180575","41341","4487","150920","57586"
"JEFFERSON","18","1712","1090","71","8172","5401"
"BERKS","9030","40145","12811","8087","79291","20540"
"MONROE","2621","14302","3190","3600","34562","5651"
"FRANKLIN","604","7317","1626","766","30496","5245"
"FAYETTE","187","5887","3233","588","24781","17650"
"UNION","94","3919","387","208","11243","978"
"YORK","2920","32112","10626","4133","108692","18245"
"WAYNE","125","3658","1643","284","10730","5282"
"GREENE","30","2180","910","113","6459","3182"
"ELK","18","1067","934","65","5386","5756"
"DAUPHIN","1997","26848","12198","2404","55736","18629"
"LAWRENCE","89","3821","2902","177","14404","9865"
"LYCOMING","89","6153","3912","207","24464","9273"
"CUMBERLAND","1183","31184","16267","1440","53327","20429"
"PIKE","417","4158","2404","569","7558","4724"
"FOREST",,"206","144","101","1439","2214"
