"zip_county_desc","partially_covered_female","partially_covered_male","partially_covered_unknown","fully_covered_female","fully_covered_male","fully_covered_unknown"
"COLUMBIA","3017","2829","54","12575","9242","103"
"MCKEAN","4097","3662","65","4404","3018","353"
"CLEARFIELD","2240","2072","429","11996","10925","1144"
"BRADFORD","1684","1551","13","7799","5533","58"
"BERKS","31646","28875","1465","61651","44356","1911"
"WAYNE","2781","2437","208","8537","7377","382"
"NORTHAMPTON","33425","31421","253","56932","42537","299"
"BUTLER","9810","9396","240","38551","29050","628"
"BEDFORD","1566","1519","50","5553","3990","300"
"SOMERSET","2846","2467","131","10751","9838","461"
"CLINTON","1279","1309","42","5726","4190","75"
"MONTGOMERY","122095","104373","3252","119077","89520","4396"
"LANCASTER","29307","26554","511","99895","74455","1267"
"DELAWARE","45115","40897","3487","91938","66499","7275"
"SCHUYLKILL","10034","8690","111","24333","19286","326"
"ELK","1003","895","121","5966","4833","408"
"WYOMING","1529","1417","65","4562","3517","175"
"INDIANA","2963","2693","200","11921","9171","809"
"CAMBRIA","4979","4383","337","24190","17567","1075"
"CLARION","1046","924","105","5998","4437","333"
"LACKAWANNA","13197","12012","829","46113","35980","1718"
"BEAVER","8360","7792","154","28979","20435","520"
"LAWRENCE","3489","3013","310","13802","9623","1021"
"ADAMS","5014","4642","63","15173","11323","70"
"PHILADELPHIA","19900","14576","1266","40484","23669","2754"
"MONTOUR","760","780","10","4875","3756","88"
"YORK","23518","21919","221","75281","55440","349"
"LYCOMING","5202","4588","364","19560","13618","766"
"WASHINGTON","16486","14540","326","40554","30719","1062"
"FAYETTE","4734","4161","412","21926","16534","4559"
"CRAWFORD","2942","2632","44","14415","10243","209"
"CUMBERLAND","25560","22834","240","42003","32512","681"
"MERCER","3370","2937","37","19247","15062","291"
"POTTER","603","551","5","1632","1209","18"
"ARMSTRONG","3542","3210","126","12428","8982","663"
"PERRY","4166","3646","25","6098","4424","53"
"MONROE","10309","9722","82","24829","18898","86"
"MIFFLIN","1562","1391","23","7428","5255","45"
"WESTMORELAND","22039","19219","591","65051","47893","1918"
"PIKE","3675","3245","59","7086","5679","86"
"LEHIGH","35019","33306","573","71426","52934","846"
"JUNIATA","862","838","6","3283","2491","10"
"BUCKS","44451","40027","14852","102192","77046","6854"
"ALLEGHENY","121257","103923","2095","259569","195507","4407"
"HUNTINGDON","1356","1238","137","6145","5929","562"
"WARREN","2519","2252","136","5355","3692","229"
"NORTHUMBERLAND","3764","3429","102","16083","12940","498"
"LEBANON","6562","5777","161","22368","15376","645"
"FOREST","175","158","20","953","2627","174"
"CARBON","4208","4111","52","11888","8608","129"
"SNYDER","1880","1726","36","5579","4201","36"
"DAUPHIN","21262","18971","810","43703","32158","908"
"FULTON","334","296","11","1356","1011","64"
"VENANGO","1665","1483","46","7862","5620","114"
"CENTRE","7800","7961","2995","28496","24297","2980"
"SULLIVAN","872","776","11","935","719","14"
"ERIE","11489","10958","214","52610","40352","597"
"BLAIR","4693","4214","194","19783","13142","1183"
"OUT-OF-STATE","48814","42415","33112","107913","82550","58737"
"UNION","2362","2007","31","7149","5207","73"
"FRANKLIN","5085","4356","106","20692","15101","714"
"GREENE","1619","1489","12","4658","4932","164"
"SUSQUEHANNA","1304","1236","467","4415","3385","1637"
"JEFFERSON","1372","1292","156","7443","5665","536"
"CAMERON","129","134","11","822","729","27"
"TIOGA","1594","1411","9","5350","4179","48"
"CHESTER","72452","67340","1323","90639","67593","2340"
"LUZERNE","17929","16278","719","58297","44917","1445"
