"county","partiallycovered_15_19","partiallycovered_20_24","partiallycovered_25_29","partiallycovered_30_34","partiallycovered_25_39","partiallycovered_40_44","partiallycovered_45_49","partiallycovered_50_54","partiallycovered_55_59","partiallycovered_60_64","partiallycovered_65_69","partiallycovered_70_74","partiallycovered_75_79","partiallycovered_80_84","partiallycovered_85_89","partiallycovered_90_94","partiallycovered_95_99","partiallycovered_100_104","partiallycovered_105_plus","fullycovered_15_19","fullycovered_20_24","fullycovered_25_29","fullycovered_30_34","fullycovered_35_39","fullycovered_40_44","fullycovered_45_49","fullycovered_50_54","fullycovered_55_59","fullycovered_60_64","fullycovered_65_69","fullycovered_70_74","fullycovered_75_79","fullycovered_80_84","fullycovered_85_89","fullycovered_90_94","fullycovered_95_99","fullycovered_100_104","fullycovered_105_plus"
"COLUMBIA","286","400","285","316","390","421","495","572","743","846","531","408","353","209","169","70","39",,,"129","466","637","864","956","921","1076","1296","1637","1947","2707","2335","1559","1072","689","376","93","14",
"ELK","95","164","144","143","137","146","146","263","315","356","153","148","62","51","50","32","30","7",,"68","235","235","352","384","407","507","755","1018","1251","1467","1282","834","684","416","200","59",,
"WYOMING","110","155","138","161","192","183","222","292","328","439","316","267","233","126","68","34","10",,,"56","190","194","242","266","279","334","471","687","791","1007","960","646","345","183","74","19",,
"MERCER","277","463","363","410","400","422","467","691","784","913","587","402","284","246","183","119","49","15",,"228","681","787","1019","1290","1304","1562","2118","2746","3756","4483","3962","2913","2050","1262","716","208","27",
"ADAMS","483","690","415","507","597","651","739","893","1166","1369","1048","893","637","411","250","97","36",,,"129","412","461","615","828","830","983","1303","1786","2242","3470","3267","2115","1429","823","383","106","21",
"MIFFLIN","92","137","130","141","171","205","204","307","350","423","309","261","216","169","111","55","17",,,"46","200","240","352","394","399","494","706","894","1156","1656","1624","1204","924","538","257","84","8",
"WAYNE","224","324","261","322","296","324","345","474","619","726","616","633","417","308","172","80","24",,,"106","337","391","512","677","679","824","1067","1331","1633","2038","1703","1136","739","358","176","34",,
"PERRY","97","177","200","248","259","304","380","453","677","905","1056","1089","712","485","245","84","16",,,"42","149","191","251","346","401","407","538","703","926","1395","1203","744","448","278","136","26",,
"LAWRENCE","234","345","288","356","399","435","416","621","754","942","702","539","352","296","186","106","38","5",,"130","450","529","649","887","975","1055","1488","1758","2558","3093","2600","1687","1256","814","429","122","14",
"MCKEAN","148","232","230","250","292","325","363","518","609","821","633","426","304","261","153","66","17",,,"54","204","189","224","301","357","391","481","608","817","1058","847","611","388","247","147","46",,
"CARBON","284","434","374","407","489","521","637","850","1104","1319","1174","838","376","214","136","56","21",,,"93","321","439","591","696","810","930","1211","1408","1776","2172","1919","1616","1010","620","313","86","13",
