"county","partiallycovered_15_19","partiallycovered_20_24","partiallycovered_25_29","partiallycovered_30_34","partiallycovered_25_39","partiallycovered_40_44","partiallycovered_45_49","partiallycovered_50_54","partiallycovered_55_59","partiallycovered_60_64","partiallycovered_65_69","partiallycovered_70_74","partiallycovered_75_79","partiallycovered_80_84","partiallycovered_85_89","partiallycovered_90_94","partiallycovered_95_99","partiallycovered_100_104","partiallycovered_105_plus","fullycovered_15_19","fullycovered_20_24","fullycovered_25_29","fullycovered_30_34","fullycovered_35_39","fullycovered_40_44","fullycovered_45_49","fullycovered_50_54","fullycovered_55_59","fullycovered_60_64","fullycovered_65_69","fullycovered_70_74","fullycovered_75_79","fullycovered_80_84","fullycovered_85_89","fullycovered_90_94","fullycovered_95_99","fullycovered_100_104","fullycovered_105_plus"
"LEBANON","735","813","754","883","1002","1128","1226","1474","1775","2039","1564","1229","870","582","384","191","61","13",,"215","640","860","1136","1440","1510","1647","1870","2290","2880","4218","3941","2612","1883","1268","705","217","40",
"NORTHAMPTON","2511","4158","3369","3851","4365","4505","4683","6040","7000","8114","8240","6442","1751","1120","840","480","135","22",,"607","2327","2909","3632","4002","4364","4820","5831","6905","8215","9711","9118","7979","5128","3206","1693","465","62","7"
"SOMERSET","160","250","174","221","241","243","337","450","523","749","649","533","369","294","197","107","22",,,"77","382","490","713","833","853","954","1176","1413","2084","2670","2422","1482","1145","730","414","91","11",
"SUSQUEHANNA","133","147","126","149","163","201","202","311","446","521","378","314","209","142","70","33","14",,,"45","149","157","223","256","313","353","498","668","912","1258","1070","785","525","319","155","38","8",
"LEHIGH","2968","4015","4165","4823","5385","5367","5710","6492","7625","8406","7697","5769","1913","1136","889","531","163","14",,"661","2685","4059","4982","5625","6204","6200","7061","8528","10208","11736","10461","8638","5922","3873","2019","576","73",
"HUNTINGDON","92","149","109","123","98","132","159","248","321","350","242","203","131","107","82","33","14",,,"110","333","375","499","580","649","731","809","931","1171","1575","1467","1036","721","405","208","46","9",
"BLAIR","364","543","364","470","498","569","600","768","960","1202","951","871","527","423","232","120","42",,,"211","709","930","1145","1407","1538","1624","1917","2405","3289","4198","3736","2458","1818","1099","644","201","22",
"DELAWARE","3994","5907","5197","6289","7125","7425","7068","8324","9561","10249","8105","5552","2922","2015","1351","731","254","37","5","1364","3784","5122","6623","7758","8094","8154","9450","11574","13895","16320","13482","10021","6618","4621","2469","741","106",
"MONTGOMERY","7325","8272","9693","12628","14492","14800","15170","17615","20062","22057","28221","21958","10925","6687","4179","2319","666","75","30","2160","5225","6854","8931","10735","11079","10663","12496","14477","16589","16873","14697","12657","9452","6533","3936","1221","150","9"
"TIOGA","36","73","72","75","93","86","118","171","203","317","233","195","174","120","62","20","6",,,"46","156","189","234","247","317","349","456","571","869","1346","1299","965","767","358","135","38","9",
"CAMBRIA","574","644","569","566","582","657","800","997","1264","1566","1222","862","605","430","305","186","55","11",,"241","906","1055","1288","1447","1709","1928","2393","3054","4441","5920","5003","3236","2193","1434","781","226","27",
"BERKS","2328","2972","2688","3176","3697","3858","4366","5415","6719","7338","6304","5440","3022","2066","1416","736","182","42","7","705","2282","2842","3739","4590","4946","5447","6505","7682","8827","10725","9453","6743","4375","2954","1527","418","48","7"
"CENTRE","1462","3575","1965","1677","1457","1292","1201","1452","1620","1696","1025","813","498","325","222","95","23",,,"999","3553","2402","2591","2774","2853","2859","3169","3704","4157","5354","4509","3112","2199","1376","658","210","27",
"WASHINGTON","1355","1591","1349","1699","2137","2274","2362","2949","3589","4211","4806","3756","2144","1277","703","373","122","15",,"446","1459","1674","2282","3064","3435","3433","4177","5284","6778","7745","6742","4562","3275","2065","1071","303","32",
"LUZERNE","1692","2260","1860","2074","2250","2429","2749","3512","4083","4153","3028","2442","1494","1050","735","399","106","21",,"830","2483","3151","3928","4596","5007","5638","6875","8301","10013","11714","10535","6968","4732","2808","1590","432","49","5"
"ERIE","1487","2188","1700","1836","1873","1914","1930","2337","2689","2994","1702","1141","741","512","476","274","116","8",,"697","2805","3392","3938","4468","4520","4792","6015","7043","8903","10334","8075","5433","3597","2080","1144","336","59",
"GREENE","84","152","114","141","154","221","220","355","426","584","563","461","252","146","84","39","13",,,"35","177","279","387","406","442","465","546","650","904","1240","1000","708","389","238","128","34",,
"INDIANA","420","584","348","346","454","466","533","717","939","1215","843","646","370","300","167","89","32","5",,"84","420","438","492","658","687","753","994","1337","1936","2821","2431","1706","1278","643","308","70","14",
"FAYETTE","485","632","533","592","639","747","838","1109","1280","1449","1219","971","622","460","299","142","51","6",,"267","772","922","1156","1528","1685","1920","2585","3176","4489","5730","4904","3187","2161","1296","687","188","19",
"CRAWFORD","375","557","363","431","419","433","459","541","695","745","461","339","226","147","88","72","29","9",,"197","603","577","711","930","1005","1131","1494","1824","2479","3046","2829","2107","1437","795","433","127","13",
"CAMERON","7","21","12","16","21","29","29","32","48","50","40","37","19","5","8","6",,,,"7","17","25","18","40","39","41","60","142","176","236","240","135","116","62","35","6",,
"MONTOUR","126","92","94","136","133","109","122","137","181","214","106","75","63","45","36","17",,"5",,"59","179","482","648","584","471","438","496","654","797","964","772","547","413","306","149","41","6",
"CLEARFIELD","178","277","237","287","307","350","416","522","663","784","542","408","256","194","111","47","19",,,"130","516","694","927","986","1048","1147","1467","1821","2205","2895","2426","1808","1367","788","347","103","7",
"PIKE","234","351","249","226","292","365","424","612","812","911","822","768","575","393","231","120","21",,,"78","261","238","314","331","393","493","799","1046","1311","1544","1484","923","624","304","111","23",,
"LANCASTER","4122","5418","5038","5467","5486","5276","5649","6531","8070","8908","5751","4158","2964","2136","1526","829","254","43",,"1231","3599","4720","6101","6896","6874","7193","8325","10337","12650","17581","16223","11507","8505","5637","3180","960","137",
"UNION","318","459","167","182","251","240","248","311","408","443","426","391","367","261","196","100","25",,,"115","430","285","424","536","572","620","739","871","1011","1315","1159","791","581","379","204","65",,
"CUMBERLAND","1701","2174","2142","2689","3154","3119","3055","3387","3720","4527","4307","4133","2968","1940","1027","529","116","9","7","550","1649","2239","2896","3602","3663","3570","4080","4645","5740","7699","7005","4228","2822","1924","1055","354","41","5"
"FOREST","6","15","12","13","15","13","24","48","58","66","49","34","17","12","7",,,,,"8","87","270","339","333","298","235","263","288","283","348","276","192","149","71","21",,,
"BEAVER","493","701","691","877","1011","1076","1076","1154","1426","1668","1217","872","454","309","219","159","52",,,"192","792","1077","1424","1763","1856","1825","2280","3082","4018","4082","2901","1734","1317","756","421","101","13",
"LYCOMING","205","441","342","454","487","491","584","791","956","1313","1036","817","546","399","261","151","37",,,"146","644","942","1166","1447","1364","1450","1798","2273","3038","4319","3758","2500","1628","1175","557","178","27",
"BRADFORD","212","201","207","199","198","224","265","383","527","643","408","324","273","186","78","51","9",,,"62","206","274","357","399","434","486","726","938","1193","1608","1453","1199","859","468","210","63","6",
"POTTER","15","28","20","24","21","26","21","46","77","113","78","87","45","41","21","10","5",,,"11","45","47","64","66","104","92","124","181","224","378","400","265","178","94","56","18",,
"SCHUYLKILL","509","744","707","802","909","1088","1318","1628","2258","2729","2992","2524","878","626","426","247","88","8",,"195","859","1127","1472","1803","1935","2247","2696","3077","3923","5033","4486","3297","2188","1332","728","159","23",
"MONROE","786","1347","1126","1143","1207","1427","1601","2179","2879","2982","2292","1584","704","438","247","112","32",,,"201","827","965","1120","1345","1424","1736","2407","3440","3950","4717","4070","2972","1881","1075","481","118","13",
"LACKAWANNA","1489","1941","1729","1892","1950","1908","2075","2672","2906","2952","2306","1815","1230","942","649","331","119","20",,"773","2461","2972","3538","4135","4199","4406","5503","6583","7876","8691","7729","5235","3494","2190","1153","356","33",
"FULTON","11","27","26","34","39","47","60","100","106","155","129","111","70","72","26","5",,,,"6","33","35","50","51","72","74","100","129","173","294","282","227","161","78","50","15",,
"BUCKS","3327","4795","4378","4982","6103","6302","6788","8645","10552","11067","8702","6940","3925","2653","1662","844","265","34","10","1457","4291","4753","6117","7550","8176","8791","11106","13729","16569","20047","16887","12286","8222","5401","2836","797","98","14"
"WARREN","97","172","167","219","267","234","249","371","571","692","782","638","482","323","170","96","25",,,"55","160","224","238","308","310","348","483","625","835","1095","870","601","401","276","131","41",,
"JEFFERSON","87","157","125","164","202","178","191","267","341","396","327","274","154","115","98","72","15",,,"82","271","287","378","488","515","617","791","1020","1569","1849","1555","1153","894","549","271","83","14",
"SNYDER","120","219","119","162","166","200","249","331","419","452","380","386","311","177","110","44","12",,,"46","177","229","279","367","400","490","590","698","873","1221","1095","810","543","315","143","44","5",
"OUT-OF-STATE","9220","15759","12454","12851","13241","13006","13166","16120","18559","19864","15451","13031","8062","5385","3167","1622","487","96","213","2254","8946","9895","11862","12836","13425","13857","17489","20770","24807","30026","25331","17353","11795","6995","3530","822","97","117"
"FRANKLIN","490","548","503","639","679","696","791","897","1185","1298","918","823","657","427","320","149","48","8",,"178","566","649","951","1220","1308","1513","1798","2302","3009","4587","4622","3415","2347","1457","735","188","30",
"VENANGO","119","186","133","142","184","203","218","259","340","445","283","224","126","115","50","34","11",,,"60","260","266","351","497","474","553","766","1001","1423","1894","1561","1036","663","410","196","58","8",
"CHESTER","5241","5940","5934","7248","8889","9168","9445","11261","12267","12592","12092","9402","5054","3251","1948","982","297","42",,"1688","4305","5155","6680","8076","9020","9261","10634","11869","12946","14656","12816","10076","6510","3845","2105","565","75",
"ARMSTRONG","247","362","293","320","339","414","475","637","935","1078","943","775","384","308","171","95","25",,,"102","381","436","530","772","821","952","1200","1623","2311","2819","2489","1611","1216","707","383","85","13",
"DAUPHIN","1451","1962","2240","2385","2564","2511","2621","3175","3711","4325","3655","3095","1907","1280","783","347","91","17",,"508","1495","2434","2821","3236","3263","3361","4146","4979","6248","8368","7199","4193","2846","1872","905","297","39",
"CLARION","77","142","137","114","133","137","142","190","269","352","211","172","112","76","55","45","17","6",,"84","293","289","331","343","416","472","640","852","1160","1449","1167","883","721","412","172","43","7",
"PHILADELPHIA","902","2135","3414","3509","2852","2444","2239","2536","2791","2818","2287","1804","1077","856","577","279","118","14",,"489","2422","5326","5953","5177","4422","3979","4357","4856","4954","4444","3517","2895","1968","1250","700","210","28","28"
"ALLEGHENY","8561","15186","15816","16509","15438","13176","12181","14807","17233","19234","29936","23445","11345","7761","4990","2714","675","79","15","3479","13960","21496","26899","27362","24809","22329","26289","31628","40707","40546","32177","22544","16230","10587","6058","1783","204","58"
"NORTHUMBERLAND","244","385","279","359","376","444","495","619","844","995","753","687","459","400","214","115","27","6",,"141","565","822","1014","1267","1294","1475","1844","2243","2807","3706","3134","2185","1499","951","480","120","14",
"SULLIVAN","7","24","17","40","34","51","52","83","122","186","222","203","162","136","77","18","7",,,"6","30","27","28","29","34","46","84","135","200","230","230","167","109","74","29","6",,
"JUNIATA","67","98","50","56","91","88","127","176","224","240","167","153","87","75","51","24","9",,,"21","85","100","132","146","173","194","293","374","516","803","725","542","434","252","116","39",,
"WESTMORELAND","1678","2456","1919","2114","2461","2592","2869","3993","4694","5575","6140","5201","2936","1979","1195","686","198","27","6","653","2469","2957","3734","4398","4809","5112","6503","8282","11206","13345","11565","7866","5600","3565","1919","516","60","6"
"CLINTON","86","172","138","123","153","152","177","226","298","348","218","153","84","69","59","17","9",,,"44","218","214","249","270","320","390","507","670","918","1254","1100","791","584","340","179","51","8",
"BUTLER","1193","1359","1160","1375","1558","1516","1572","1980","2147","2348","1389","960","556","407","286","219","63","11",,"532","1656","1931","2643","3477","3480","3505","4420","5278","6684","8220","6659","4415","3127","1924","1047","291","36",
"YORK","2526","2658","2501","2962","3400","3532","3724","4870","5934","6465","4519","3668","2545","1701","1079","550","149","14",,"772","2324","3059","4063","4994","5408","6107","7295","8806","10844","15010","13491","8868","5911","3685","1815","520","62","6"
"BEDFORD","65","120","134","139","142","186","219","316","472","721","598","444","401","298","156","43","14",,,"28","132","127","166","269","302","328","418","560","807","1145","1041","752","597","369","179","30","6",
