"county","partially_covered_african_american","partially_covered_asian","partially_covered_native_american","partially_covered_pacific_islander","partially_covered_multiple_other","partially_covered_white","partially_covered_unknown","fully_covered_african_american","fully_covered_asian","fully_covered_native_american","fully_covered_pacific_islander","fully_covered_multiple_other","fully_covered_white","fully_covered_unknown"
"LUZERNE","845","76","8","100","2196","29055","4067","1236","51","18","129","3380","77569","7273"
"CUMBERLAND","844","93","9","74","3235","29324","11133","1246","136","19","98","5766","44532","5971"
"CAMBRIA","216","9",,"12","786","9697","1176","288","29",,"14","2268","30428","4258"
"PERRY","19",,,,"400","4208","2759","19",,,,"788","6922","453"
"JEFFERSON","5",,,,"67","2514","577","6","9",,,"340","10070","1959"
"CARBON","160",,,,"358","8073","640","152",,,"11","699","14138","1020"
"SNYDER","31",,,,"116","3052","658","36",,,,"461","6915","911"
"BEAVER","563",,,"13","708","10810","1360","863",,,"23","2439","24322","1985"
"MONTOUR","22",,,"14","44","1447","164","96","13",,"41","236","7011","607"
"TIOGA","7",,,,"75","1260","714","14",,,"5","1138","5759","1433"
"BEDFORD","13",,,"9","88","4119","235","16","13",,,"347","5917","959"
"FULTON","11",,,,"15","895","99","9",,,,"37","1654","129"
"BUCKS","2122","294","25","218","5231","71597","12488","2220","542","41","262","13289","115715","17061"
"CAMERON",,,,,"5","354","23",,,,,"20","1304","72"
"SCHUYLKILL","125",,,"7","760","16635","2950","942","8",,"17","1971","31105","2537"
"JUNIATA","22",,,,"74","1544","139","10",,,,"313","4420","207"
"WASHINGTON","806","34",,"67","3552","28804","3448","947","76",,"42","4340","45644","6777"
"CRAWFORD","219",,,,"205","5442","518","179","8",,"5","712","19028","1805"
"MONTGOMERY","11450","1327","74","490","8034","165154","30655","7978","1638","102","360","14734","113358","26568"
"WYOMING","19",,,,"93","2899","263","20","5",,,"288","5942","486"
"BLAIR","117","13",,"13","614","7354","1399","155","8",,"16","3404","19954","5816"
"BERKS","1652","106","12","186","5941","46196","7686","2169","106","6","126","7066","65069","9274"
"ELK","9",,,"6","51","2004","368",,"6",,,"524","8298","1321"
"BUTLER","195","54",,"78","859","16622","2294","343","65","8","69","3072","51254","4516"
"CLINTON","17",,,,"174","2127","164","22",,,,"926","6595","563"
"FRANKLIN","293","7",,"10","539","8751","1479","566","8",,"21","1893","25987","2400"
"LEBANON","242","17",,"33","1802","12916","1713","287","91",,"29","2714","24126","2124"
"WARREN","9",,,,"237","5065","242","15","7",,,"681","5925","369"
"PHILADELPHIA","8152","270","10","117","2771","15018","6320","13265","357","7","172","6325","25791","11061"
"CENTRE","396","135","8","106","812","13690","5257","1125","65","8","124","2156","35057","7974"
"MCKEAN","15",,,"8","147","4954","525","10","6",,,"488","5381","1086"
"MERCER","223",,,"6","433","5369","1043","1014","7",,"15","2310","22527","5240"
"LACKAWANNA","500","265","82","152","1599","21421","4913","630","142","78","101","3825","57572","8982"
"DAUPHIN","3913","91","5","91","3504","24705","5816","5212","135","14","102","6433","41348","4970"
"NORTHUMBERLAND","57",,,"8","340","6294","1002","431","6",,"12","1415","21511","2186"
"PIKE","248",,,"10","1688","4518","942","260","5",,"9","1931","6906","1170"
"DELAWARE","9400","442","18","1146","4466","59288","17360","9908","374","25","470","9986","88721","20717"
"LYCOMING","222","11",,"7","953","7038","1084","637","9",,"20","4697","20537","2511"
"FAYETTE","300","10",,"15","459","8615","2677","863","19","5","13","1747","25213","8815"
"SOMERSET","18",,,"7","194","4732","569","523","6",,"15","1217","14344","1837"
"ERIE","1144","230","14","83","1564","20069","2819","2734","146","14","166","13717","55412","5446"
"UNION","64",,,"5","234","3410","1080","93",,,"17","689","7622","1677"
"LAWRENCE","153",,,,"477","5007","1374","290","9",,"10","2169","14797","3219"
"CLEARFIELD","37","9",,,"116","4442","996","615","20",,,"464","15481","4100"
"POTTER",,,,,"66","560","48",,,,,"258","1902","184"
"BRADFORD","21",,,,"62","4071","232","40",,,,"458","9961","482"
"ARMSTRONG","61",,,"16","234","6644","847","103",,"5","11","798","15317","2215"
"ALLEGHENY","17777","301","37","1112","13145","170541","26200","21549","412","46","1070","37357","268989","39730"
"SUSQUEHANNA","16",,,,"150","3094","297","16","5",,,"394","6622","693"
"ADAMS","138","7",,"11","898","8322","1506","180","5",,"14","1854","18185","965"
"LANCASTER","2702","129",,"127","6009","61529","7136","3140","400","16","172","12283","106972","8677"
"INDIANA","97","18",,"46","317","6825","1171","115","15","5","10","603","13453","2871"
"WESTMORELAND","743","19","5","68","1690","37625","8572","1068","31",,"55","4994","67458","20957"
"HUNTINGDON","22",,,,"105","2091","375","742","14",,,"472","8928","1495"
"CHESTER","4256","578","29","436","4702","93110","17955","3967","546","17","507","9118","103629","12501"
"NORTHAMPTON","2291","47",,"107","4617","53338","7226","2008","44",,"73","5487","67235","6131"
"YORK","2293","50","5","54","3933","41348","5116","3121","95","9","95","5969","88923","4830"
"FOREST",,,,,"8","309","75","770",,,,"39","2199","455"
"SULLIVAN",,,,,"27","1353","58",,,,,"86","1193","184"
"WAYNE","57",,,,"557","4878","670","266","7",,,"950","11265","1263"
"CLARION","13",,,,"111","1890","368","32",,,"10","569","8045","1073"
"OUT-OF-STATE","6973","945","295","862","31766","97359","53658","4726","776","101","334","67789","98041","60449"
"LEHIGH","2965","128","16","202","8674","52354","8730","2488","125","10","154","9788","78442","8506"
"MONROE","2346","14",,"41","2172","15326","2185","2162","10",,"27","2514","26045","1981"
"MIFFLIN","18",,,,"233","2872","172","42",,,"6","787","10003","338"
"COLUMBIA","65","10",,"13","200","5970","278","110","8",,"16","995","17063","580"
"VENANGO","27",,,,"206","2585","255","49","5",,"16","1957","8462","989"
"GREENE","23",,,,"174","3313","499","507",,,,"220","6159","1143"
