"county","county_population","partiallycovered","ratepartiallycovered","fullycovered","ratefullycovered"
"Chester","524989","125481","23901.6","138936","26464.6"
"Monroe","170271","21931","12880.1","35402","20791.6"
"Wyoming","26794","3264","12181.8","7167","26748.5"
"Centre","162385","21801","13425.5","47947","29526.7"
"Cameron","4447","356","8005.4","1453","32673.7"
"Lawrence","85512","7890","9226.8","21347","24963.7"
"Venango","50668","3871","7639.9","12293","24261.9"
"Cumberland","253370","47954","18926.5","60120","23728.1"
"Mercer","109424","7528","6879.7","31609","28886.7"
"Perry","46272","8023","17338.8","8622","18633.3"
"Crawford","84629","6883","8133.1","22415","26486.2"
"Dauphin","278299","43562","15652.9","61959","22263.5"
"Bucks","628270","95004","15121.5","158205","25181.1"
"Montgomery","830915","225001","27078.7","177895","21409.5"
"Berks","421164","62787","14908","91165","21646"
"Clarion","38438","2467","6418.1","9953","25893.6"
"Delaware","566747","94404","16657.2","139045","24533.9"
"Wayne","51361","6294","12254.4","14151","27552"
"Schuylkill","141359","20630","14594","37908","26816.8"
"Potter","16526","1444","8737.7","2428","14692"
"Out-of-State","0","135089",,"231444",
"Lancaster","545724","74120","13582","143122","26226.1"
"Lebanon","141793","16339","11523.1","31408","22150.6"
"Fayette","129274","11743","9083.8","37879","29301.3"
"Cambria","130192","12028","9238.7","38360","29464.2"
"Franklin","155027","10863","7007.2","32332","20855.7"
"Huntingdon","45144","2766","6127.1","11919","26402.2"
"Westmoreland","348899","49651","14230.8","99014","28379"
"Bedford","47888","3599","7515.5","8583","17923.1"
"Pike","55809","7585","13591","10704","19179.7"
"Jefferson","43425","3374","7769.7","12563","28930.3"
"Susquehanna","40328","3472","8609.4","8134","20169.6"
"Carbon","64182","9497","14797","16861","26270.6"
"Adams","103009","11734","11391.2","22080","21435"
"Philadelphia","1584064","33866","2137.9","59672","3767"
"Columbia","64964","6580","10128.7","19647","30242.9"
"Erie","269728","27253","10103.9","82601","30623.8"
"Clinton","38632","3183","8239.3","8477","21942.9"
"Blair","121829","10141","8324","30382","24938.2"
"Washington","206865","37455","18106","60612","29300.3"
"Greene","36233","3732","10300","8556","23613.8"
"Beaver","163929","18465","11264","35013","21358.6"
"Mckean","40625","6891","16962.5","7090","17452.3"
"Sullivan","6066","1471","24249.9","1539","25370.9"
"Tioga","40591","3276","8070.8","8695","21421"
"Forest","7247","436","6016.3","3503","48337.2"
"Lycoming","113299","10948","9662.9","30304","26746.9"
"Snyder","40372","3746","9278.7","8791","21775"
"Clearfield","79255","6226","7855.7","20929","26407.2"
"Warren","39191","5704","14554.4","7494","19121.7"
"Mifflin","46138","3291","7132.9","11568","25072.6"
"Lehigh","369318","70671","19135.5","107081","28994.3"
"Montour","18230","1640","8996.2","8180","44871.1"
"Northampton","305285","66593","21813.4","86688","28395.8"
"Somerset","73447","6218","8466","18612","25340.7"
"York","449058","55823","12431.1","108887","24247.9"
"Bradford","60323","4471","7411.8","11326","18775.6"
"Fulton","14530","841","5788","2048","14095"
"Allegheny","1216045","260577","21428.2","386527","31785.6"
"Elk","29910","2491","8328.3","10307","34460"
"Lackawanna","209674","27684","13203.4","75320","35922.4"
"Butler","187853","21617","11507.4","61186","32571.2"
"Juniata","24763","1952","7882.7","5098","20587.2"
"Luzerne","317417","36524","11506.6","93194","29360.1"
"Armstrong","64735","8043","12424.5","19513","30142.9"
"Union","44923","4354","9692.1","10859","24172.5"
"Northumberland","90843","7462","8214.2","26542","29217.4"
"Indiana","84073","7522","8947","18488","21990.4"
