"zip_county_desc","partially_covered_female","partially_covered_male","partially_covered_unknown","fully_covered_female","fully_covered_male","fully_covered_unknown"
"TIOGA","1114","935","8","4728","3582","41"
"BUCKS","43928","38283","9764","86038","60857","2235"
"MONTOUR","856","830","8","4516","3405","86"
"BERKS","32144","28437","1198","49337","32918","1561"
"PERRY","3976","3388","25","4819","3332","36"
"LEBANON","8750","7666","308","17708","11215","449"
"WAYNE","3192","2777","200","7240","6170","345"
"ARMSTRONG","4048","3493","264","10565","7273","615"
"ADAMS","5719","5107","58","12414","8749","43"
"FULTON","536","463","22","1040","735","55"
"CRAWFORD","3636","2710","43","12526","9015","197"
"CLINTON","1269","1172","43","4783","3266","58"
"WYOMING","1668","1538","71","3798","2810","140"
"PIKE","3932","3408","67","5776","4442","66"
"SCHUYLKILL","10963","9411","107","20577","15717","286"
"LUZERNE","19017","16669","661","50848","37519","1289"
"CHESTER","63123","56427","1516","76019","52889","1377"
"BEAVER","7112","6128","218","17434","11793","408"
"JUNIATA","934","841","8","2844","2100","6"
"WASHINGTON","19413","16848","452","33298","23648","883"
"YORK","27585","25062","152","61027","41710","305"
"BRADFORD","2327","2049","13","6494","4402","46"
"WARREN","2934","2464","162","4153","2663","187"
"SUSQUEHANNA","1510","1347","705","3710","2751","1271"
"CENTRE","9061","8697","2646","24315","19740","2454"
"LACKAWANNA","14897","13287","748","39914","29937","1479"
"ELK","1198","1114","130","5456","4280","421"
"NORTHUMBERLAND","4119","3485","97","14245","10845","472"
"LAWRENCE","3602","2971","443","11747","7847","901"
"MONROE","11479","10527","81","19086","13581","75"
"SNYDER","2024","1803","31","4792","3501","32"
"LANCASTER","39911","37099","625","77856","52780","1024"
"FRANKLIN","5847","4845","387","17910","12561","404"
"OUT-OF-STATE","80907","72155","38796","106422","77857","47937"
"LEHIGH","37602","34913","554","58243","40538","732"
"WESTMORELAND","25751","22121","850","54847","38178","1541"
"VENANGO","1635","1393","47","6784","4590","104"
"CAMERON","189","174","20","740","640","17"
"PHILADELPHIA","18447","12969","1242","35198","19523","2257"
"CUMBERLAND","23866","20514","332","32943","24307","518"
"UNION","2613","2160","23","5906","4128","68"
"FOREST","200","173","20","857","2438","170"
"FAYETTE","5955","4944","1179","18972","13768","3935"
"COLUMBIA","3463","3035","38","10907","7774","93"
"MERCER","3760","3270","48","17550","13296","269"
"CAMBRIA","6086","5375","437","21435","14895","955"
"INDIANA","4413","3757","306","9555","6790","727"
"BLAIR","5004","4250","258","17310","10982","1063"
"POTTER","355","318","5","1380","955","17"
"DELAWARE","47275","41000","3845","74011","50075","6115"
"MONTGOMERY","117103","96706","3375","95799","65997","2942"
"MIFFLIN","1787","1498","14","6596","4541","39"
"NORTHAMPTON","34934","32447","248","47441","33288","252"
"SOMERSET","2917","2434","171","9541","8014","387"
"HUNTINGDON","1313","1172","111","5665","5447","543"
"GREENE","2109","1885","19","3825","4055","150"
"DAUPHIN","20327","17152","646","33960","23681","573"
"MCKEAN","3012","2576","61","4026","2603","345"
"CLARION","1197","1069","121","5497","3913","324"
"BUTLER","10291","9538","275","34239","24522","566"
"CLEARFIELD","2702","2487","412","10563","9207","914"
"ALLEGHENY","123284","103370","2459","214318","151313","3522"
"SULLIVAN","772","666",,"827","624","13"
"LYCOMING","4906","4083","327","16708","11050","654"
"JEFFERSON","1567","1429","169","6831","5105","451"
"CARBON","4804","4375","57","9464","6441","119"
"BEDFORD","2360","2049","60","4130","2839","287"
"ERIE","13388","12330","205","44849","32219","567"
