"zip_county_desc","partially_covered_hispanic","partially_covered_nothispanic","partially_covered_unknown","fully_covered_hispanic","fully_covered_not_hispanic","fully_covered_unknown"
"MONTGOMERY","5585","170579","41020","2789","113500","48449"
"LEBANON","1627","13172","1925","1253","23827","4292"
"VENANGO","107","1760","1208","46","6336","5096"
"SNYDER","55","3443","360","90","7628","607"
"JEFFERSON","44","1879","1242","37","7382","4968"
"CRAWFORD","218","5272","899","138","18031","3569"
"LYCOMING","87","7154","2075","153","20730","7529"
"BUCKS","2141","55350","34484","2586","102594","43950"
"NORTHUMBERLAND","221","6783","697","304","21991","3267"
"FAYETTE","324","6950","4804","341","20440","15894"
"CLARION","21","1717","649","42","7737","1955"
"SUSQUEHANNA","97","2822","643","63","6074","1595"
"CENTRE","503","12785","7116","624","33967","11918"
"INDIANA","173","5826","2477","75","12054","4943"
"FULTON","11","725","285","6","1472","352"
"WESTMORELAND","748","33247","14727","1155","69381","24030"
"HUNTINGDON","67","1897","632","154","7938","3563"
"ALLEGHENY","4754","172867","51492","4595","246295","118263"
"PHILADELPHIA","2057","20495","10106","2666","35415","18897"
"WASHINGTON","618","26320","9775","636","40752","16441"
"ERIE","1260","19767","4896","1332","54900","21403"
"BLAIR","124","4567","4821","219","14221","14915"
"YORK","2970","40583","9246","2592","85888","14562"
"POTTER","56","424","198","14","1361","977"
"LACKAWANNA","1233","20530","7169","1153","53125","17052"
"WARREN","61","3846","1653","43","5640","1320"
"CHESTER","4731","95240","21095","3800","101972","24513"
"PIKE","389","4048","2970","345","5648","4291"
"PERRY","69","3851","3469","32","5944","2211"
"CARBON","342","7810","1084","372","13304","2348"
"LAWRENCE","138","4240","2638","84","11847","8564"
"MONROE","2549","16243","3295","2271","25802","4669"
"MONTOUR","54","1508","132","111","7340","556"
"LEHIGH","10504","53315","9250","7070","79292","13151"
"ARMSTRONG","72","4829","2904","94","12442","5917"
"BERKS","7025","43041","11713","5390","60722","17704"
"CAMBRIA","190","7668","4040","148","24928","12209"
"FRANKLIN","514","8480","2085","569","25893","4413"
"WYOMING","85","2690","502","57","5592","1099"
"FOREST","5","258","130","92","1285","2088"
"WAYNE","145","4134","1890","210","8604","4941"
"OUT-OF-STATE","8291","53589","129978","7933","86396","137887"
"ADAMS","682","7798","2404","496","17531","3179"
"CUMBERLAND","1128","28630","14954","816","40960","15992"
"NORTHAMPTON","6219","52056","9354","3863","66097","11021"
"DELAWARE","2291","62783","27046","1505","88939","39757"
"BEAVER","321","9591","3546","304","21957","7374"
"TIOGA","54","951","1052","33","3543","4775"
"CLEARFIELD","166","2812","2623","107","9366","11211"
"SULLIVAN","19","1252","170","5","1089","370"
"JUNIATA","56","1504","223","41","4542","367"
"LANCASTER","7028","63618","6989","5892","106599","19169"
"MIFFLIN","48","2838","413","56","10291","829"
"ELK","41","1351","1050","26","4295","5836"
"CLINTON","46","2058","380","51","6828","1228"
"LUZERNE","2950","27166","6231","2062","72714","14880"
"SCHUYLKILL","536","14747","5198","480","29228","6872"
"UNION","114","4360","322","145","9107","850"
"BRADFORD","145","3596","648","148","9091","1703"
"SOMERSET","47","3892","1583","150","12183","5609"
"CAMERON","8","272","103",,"888","505"
"COLUMBIA","190","5887","459","217","17442","1115"
"BEDFORD","90","3376","1003","38","4962","2256"
"BUTLER","319","15544","4241","395","48160","10772"
"GREENE","33","2937","1043","94","5094","2842"
"MCKEAN","77","4291","1281","42","4443","2489"
"DAUPHIN","1916","28465","7744","1331","42637","14246"
"MERCER","173","4827","2078","120","20963","10032"
