county,partiallycovered,ratepartiallycovered,fullycovered,ratefullycovered,Rate.O65Partial.Per.100K,Rate.O65Full.Per.100K,Rate.U65Partial.Per.100K,Rate.U65Full.Per.100K,Rate.HispanicPartial.Per.100K,Rate.HispanicFull.Per.100K,Rate.BlackPartial.Per.100K,Rate.BlackFull.Per.100K,Rate.NAPartial.Per.100K,Rate.NAFull.Per.100K,Rate.AsianPartial.Per.100K,Rate.AsianFull.Per.100K,Rate.PIPartial.Per.100K,Rate.PIFull.Per.100K,Rate.WhitePartial.Per.100K,Rate.WhiteFull.Per.100K,Compare.Partial.O65,Compare.Full.O65,Compare.Partial.U65,Compare.Full.U65,Compare.Partial.Hispanic,Compare.Full.Hispanic,Compare.Partial.Black,Compare.Full.Black,Compare.Partial.NA,Compare.Full.NA,Compare.Partial.PA,Compare.Full.PA,Compare.Partial.Asian,Compare.Full.Asian,Compare.Partial.White,Compare.Full.White
ADAMS,11734,11391.2,22080,21435,16109.306325243648,55484.42575960252,11532.20109947483,14724.670618224256,9203.77867746289,6693.657219973009,5798.319327731093,7563.0252100840335,0,0,609.2254134029591,435.1610095735422,18333.333333333332,23333.333333333332,9079.800117834464,19840.92347306173,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ALLEGHENY,260577,21428.2,386527,31785.6,35145.60072236017,56515.567209015615,18565.081990839084,29946.300229962842,17871.508589902634,17273.786699748132,10001.462777927807,12123.615987037536,560.9460278956943,697.3923590054579,542.6747917643241,742.7973893916994,123008.84955752212,118362.83185840708,17871.001342360647,28187.373007548027,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ARMSTRONG,8043,12424.5,19513,30142.9,18727.03321084379,64639.81141232753,12572.104718236948,22501.60232707193,13714.285714285716,17904.761904761905,6695.938529088913,11306.256860592755,0,2057.61316872428,0,0,59259.259259259255,40740.74074074074,10478.9994164314,24158.16286295601,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
BEAVER,18465,11264,35013,21358.6,9286.401448701263,32044.026936789087,9882.647807418058,17786.43455283763,11715.328467153286,11094.890510948906,4427.144766847527,6786.191711881733,0,0,0,0,10400,18400,7348.142911523194,16532.981673826744,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BEDFORD,3599,7515.5,8583,17923.1,17821.962787303906,37568.40569135352,8494.104132175558,10599.047200729803,15126.050420168067,6386.554621848739,2524.271844660194,3106.796116504854,0,0,0,4905.660377358491,52941.17647058824,0,8853.114387654216,12717.6202553411,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
BERKS,62787,14908,91165,21646,26548.855974356138,50085.6637559412,15708.269200246566,17556.778544298893,7634.790736091639,5857.867909969244,7635.422444074691,10024.958402662229,700.9345794392523,350.46728971962614,1442.7657547298218,1442.7657547298218,58490.56603773584,39622.64150943397,15481.855838706651,21806.8420982077,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
BLAIR,10141,8324,30382,24938.2,12412.27898224017,55576.90045869761,8293.640408270086,19857.367181366135,7644.882860665844,13501.849568434032,3460.514640638864,4584.442472641231,0,0,1123.5955056179776,691.4433880726016,19117.647058823528,23529.41176470588,6346.220227821885,17219.537452537108,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
BRADFORD,4471,7411.8,11326,18775.6,10231.734544614674,45161.290322580644,8339.012621650356,13834.746340266609,15829.694323144106,16157.205240174671,3177.004538577912,6051.437216338881,0,0,0,0,0,0,6988.241352673591,17098.961462535404,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BUCKS,95004,15121.5,158205,25181.1,21396.521516174522,56910.38844493825,16420.22067300852,20246.920242750122,6191.798253224594,7478.74370987333,7107.211039287268,7435.442274843421,867.1522719389525,1422.129725979882,829.7584104764055,1529.6906750959586,45991.5611814346,55274.26160337553,13613.38274412423,22001.93561512822,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
BUTLER,21617,11507.4,61186,32571.2,11030.474840538625,72909.99291282779,13305.53138391318,27587.96197481406,10883.657454793585,13476.629136813375,6001.846722068329,10557.094490612497,0,1117.31843575419,1612.4216183935503,1940.8778739922363,67826.08695652173,60000,9368.09594661617,28886.559357951213,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
