county,county_population,partiallycovered,ratepartiallycovered,fullycovered,ratefullycovered,TOT_POP,TOT_BAC,TOT_IAC,TOT_H,TOT_NHWA,TOT_NHAAC,TOT_NHNAC,TOT_O65,TOT_U65,U65Partial,O65Partial,U65Full,O65Full,Rate.O65Partial.Per.100K,Rate.O65Full.Per.100K,Rate.U65Partial.Per.100K,Rate.U65Full.Per.100K,partially_covered_hispanic,fully_covered_hispanic,Rate.HispanicPartial.Per.100K,Rate.HispanicFull.Per.100K,partially_covered_african_american,partially_covered_native_american,partially_covered_asian,partially_covered_pacific_islander,partially_covered_white,fully_covered_african_american,fully_covered_native_american,fully_covered_asian,fully_covered_pacific_islander,fully_covered_white,Rate.BlackPartial.Per.100K,Rate.BlackFull.Per.100K,Rate.NAPartial.Per.100K,Rate.NAFull.Per.100K,Rate.AsianPartial.Per.100K,Rate.AsianFull.Per.100K,Rate.PIPartial.Per.100K,Rate.PIFull.Per.100K,Rate.WhitePartial.Per.100K,Rate.WhiteFull.Per.100K,Compare.Partial.O65,Compare.Full.O65,Compare.Partial.U65,Compare.Full.U65,Compare.Partial.Hispanic,Compare.Full.Hispanic,Compare.Partial.Black,Compare.Full.Black,Compare.Partial.NA,Compare.Full.NA,Compare.Partial.PA,Compare.Full.PA,Compare.Partial.Asian,Compare.Full.Asian,Compare.Partial.White,Compare.Full.White
SOMERSET,73447,5603,7628.6,19941,27150.2,73872,2377,290,1131,69573,514,43,16487,46626,3769,2263,9772,9424,13725.965912537149,57160.18681385334,8083.472740531033,20958.263629734483,45,165,3978.779840848806,14588.859416445624,26,0,0,5,5043,525,0,7,18,15302,1093.815734118637,22086.663862010937,0,0,0,1361.8677042801557,11627.906976744185,41860.46511627907,7248.501573886422,21994.16440285743,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
SULLIVAN,6066,1659,27349.2,1632,26904.1,6076,237,61,121,5630,33,1,1726,3836,761,878,699,905,50869.06141367323,52433.371958285046,19838.37330552659,18222.10636079249,19,10,15702.479338842975,8264.462809917355,0,0,0,0,1550,0,0,0,0,1313,0,0,0,0,0,0,0,0,27531.08348134991,23321.492007104796,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
SUSQUEHANNA,40328,3273,8115.9,8921,22121.1,40560,369,232,699,39036,238,38,9548,24862,2403,960,4074,4507,10054.461667364892,47203.60284876414,9665.352747164348,16386.45322178425,82,80,11731.0443490701,11444.921316165952,17,0,0,0,2888,20,0,5,0,7418,4607.046070460705,5420.054200542006,0,0,0,2100.840336134454,0,0,7398.299006045701,19002.971615944254,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TIOGA,40591,3041,7491.8,9427,23224.4,40690,509,256,536,39112,296,26,8987,25044,2213,836,3985,5182,9302.32558139535,57661.0659841994,8836.447851780866,15911.994888995368,38,62,7089.55223880597,11567.164179104479,13,0,0,0,2258,16,0,0,5,6301,2554.027504911591,3143.4184675834967,0,0,0,0,0,19230.76923076923,5773.164246267131,16110.145223972184,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
UNION,44923,4620,10284.3,11865,26411.9,45017,3141,284,2706,37974,953,87,8123,30391,3081,1634,6461,4875,20115.720792810538,60014.772867167296,10137.86976407489,21259.58342930473,96,182,3547.671840354767,6725.79453067258,67,0,0,7,2999,108,0,0,18,8646,2133.078637376632,3438.3954154727794,0,0,0,0,8045.977011494253,20689.655172413793,7897.50882182546,22768.2098277769,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
VENANGO,50668,3375,6661,13273,26196,51201,918,288,559,49141,310,36,11501,31648,2705,995,6608,6104,8651.421615511696,53073.64576993306,8547.143579373103,20879.676440849344,54,100,9660.10733452594,17889.08765652952,30,0,0,0,2978,52,0,5,16,9269,3267.9738562091507,5664.488017429194,0,0,0,1612.9032258064515,0,44444.444444444445,6060.1127368185425,18862.050019332128,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
WARREN,39191,5270,13447,8489,21660.6,39551,325,223,459,38270,271,30,9039,24238,3152,2153,4271,3999,23819.006527270718,44241.61964819117,13004.37329812691,17621.090849079956,33,92,7189.5424836601305,20043.572984749455,10,0,0,0,4744,17,0,9,5,7138,3076.923076923077,5230.7692307692305,0,0,0,3321.0332103321034,0,16666.666666666664,12396.132741050431,18651.685393258427,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
WASHINGTON,206865,34167,16516.6,68014,32878.4,207018,8999,1017,3649,190532,2944,174,42598,131295,22753,12225,37675,27638,28698.530447438847,64880.98032771492,17329.67744392399,28694.9236452264,575,820,15757.741847081392,22471.91011235955,745,0,25,54,27443,1135,0,86,67,51593,8278.69763307034,12612.512501389043,0,0,849.1847826086956,2921.195652173913,31034.482758620692,38505.74712643678,14403.354817038608,27078.39103142779,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
WAYNE,51361,5638,10977.2,15681,30530.9,51395,1886,287,2410,46353,479,39,12399,32200,4105,2106,8134,6523,16985.24074522139,52609.08137753044,12748.447204968943,25260.869565217392,139,241,5767.634854771784,10000,62,0,5,0,4878,276,0,7,8,12078,3287.3806998939554,14634.146341463415,0,0,1043.8413361169103,1461.3778705636742,0,20512.82051282051,10523.590706103165,26056.565918063556,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
WESTMORELAND,348899,44473,12746.7,109762,31459.5,350459,12064,1351,4338,328701,4256,227,79627,218593,30445,16684,56961,47665,20952.691926105465,59860.34887663733,13927.710402437408,26058.01649641114,580,1412,13370.216689718764,32549.562010142923,801,5,19,63,37287,1215,0,38,68,74581,6639.588859416445,10071.286472148542,370.0962250185048,0,446.4285714285714,892.8571428571428,27753.30396475771,29955.947136563875,11343.744010514114,22689.617616009687,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
WYOMING,26794,3213,11991.5,7822,29193.1,27087,364,157,519,25871,183,20,5735,17050,2308,859,4003,3568,14978.204010462076,62214.47253705318,13536.656891495602,23478.005865102637,70,84,13487.475915221581,16184.971098265896,21,0,0,0,2781,23,0,6,0,6695,5769.2307692307695,6318.681318681319,0,0,0,3278.688524590164,0,0,10749.487843531368,25878.396660353294,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
YORK,449058,48785,10863.9,124269,27673.3,447847,31160,2410,35039,371487,8311,404,78162,288153,40508,13042,62529,53231,16685.85757785113,68103.42621734347,14057.809566445603,21699.93024539047,3204,3266,9144.09657809869,9321.04226718799,2412,0,54,64,40947,3710,11,102,112,99763,7740.693196405648,11906.290115532734,0,456.43153526970957,649.7413067019612,1227.2891348814824,15841.584158415842,27722.772277227727,11022.458390199388,26855.04472565662,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
