county,partiallycovered,ratepartiallycovered,fullycovered,ratefullycovered,Rate.O65Partial.Per.100K,Rate.O65Full.Per.100K,Rate.U65Partial.Per.100K,Rate.U65Full.Per.100K,Rate.HispanicPartial.Per.100K,Rate.HispanicFull.Per.100K,Rate.BlackPartial.Per.100K,Rate.BlackFull.Per.100K,Rate.NAPartial.Per.100K,Rate.NAFull.Per.100K,Rate.AsianPartial.Per.100K,Rate.AsianFull.Per.100K,Rate.PIPartial.Per.100K,Rate.PIFull.Per.100K,Rate.WhitePartial.Per.100K,Rate.WhiteFull.Per.100K,Compare.Partial.O65,Compare.Full.O65,Compare.Partial.U65,Compare.Full.U65,Compare.Partial.Hispanic,Compare.Full.Hispanic,Compare.Partial.Black,Compare.Full.Black,Compare.Partial.NA,Compare.Full.NA,Compare.Partial.PA,Compare.Full.PA,Compare.Partial.Asian,Compare.Full.Asian,Compare.Partial.White,Compare.Full.White
ADAMS,10255,9955.4,17263,16758.7,21574.62258742595,41572.711637683926,7923.589570344891,9442.277571327662,5330.6342780027,2914.97975708502,4831.9327731092435,4201.680672268908,0,0,0,0,0,18333.333333333332,8224.409191088223,13781.17703537216,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ALLEGHENY,229695,18888.7,298513,24547.9,33934.86603344389,45744.41299553734,17754.509966100846,19068.869798422216,17608.36058794782,7120.033081463103,9486.677468719057,7522.616797191467,651.9102486355367,439.66040024257126,638.2288248656835,375.00450726571233,108628.3185840708,63495.57522123894,16852.861135358366,19781.11452610268,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ARMSTRONG,10027,15489.3,14043,21693.1,31879.636691395684,44255.70269708105,13834.245427205049,14090.617758714194,16571.42857142857,6285.714285714286,6366.630076838639,7574.094401756312,0,0,0,0,44444.444444444445,0,12609.81341576897,15136.507736226993,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
BEAVER,13518,8246.3,24050,14671,10879.406937920889,26557.636806066435,9505.721890846917,11418.523771590666,9598.540145985402,5437.956204379562,4348.50986867972,4175.513092710545,0,0,0,0,9600,8800,7486.812768502909,11654.385774104085,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
BEDFORD,4558,9518,5773,12055.2,22382.342210871946,27298.431229478294,7433.185795857688,7517.653816265161,11092.436974789915,4537.81512605042,2330.097087378641,1747.5728155339807,0,0,3018.867924528302,2641.509433962264,47058.82352941176,0,9106.736018570262,8752.09560245884,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
BERKS,57103,13558.4,70268,16684.2,30725.654913230905,37220.901956449656,11766.160615087056,11852.901768412194,4636.301392194581,2938.715181550433,7029.950083194675,6119.430578665188,0,0,1333.8777732407784,694.16088199265,41194.96855345912,16352.201257861634,13785.742053969998,15445.996487794417,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
BLAIR,9976,8188.5,23111,18970,17865.683929901596,41176.93182263693,7690.395184506674,13504.318241298088,5672.009864364982,8877.928483353884,3519.6687370600416,2839.3966282165043,0,0,0,518.5825410544511,10294.117647058823,0,6353.123921297894,11391.957197100448,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
BRADFORD,4541,7527.8,9427,15627.5,13988.759719762875,37277.6965124336,6774.25510454434,10737.944006760625,13209.606986899564,13864.628820960697,3025.7186081694404,4084.720121028744,0,0,0,0,0,0,6873.229765685349,13732.726804566131,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BUCKS,88340,14060.8,126892,20197,28374.855775394215,42580.23161403359,13439.074527427134,13721.416271322812,5199.83804731332,4734.22407311007,5670.362059148609,4819.640285360217,1075.268817204301,1005.8966354491848,1024.4976292616843,1055.543011966584,38607.59493670886,41139.240506329115,13187.661499322154,15294.021459088739,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
BUTLER,17740,9443.6,53120,28277.4,11793.054571226081,67929.12827781716,11217.101482588208,20247.262219449323,8085.977482088025,8461.276015011941,4647.583871960604,7817.790089258234,0,698.3240223463687,1492.982979994028,1283.9653627948642,37391.30434782609,47826.08695652174,8140.01983858605,23614.116957482303,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
