county,total,PCT_WHITE,PCT_BLACK,PCT_ASIAN,PCT_NA,PCT_PI,PCT_HISP,PCT_NHISP,BAC_TOTAL,WA_TOTAL,IAC_TOTAL,AAC_TOTAL,NAC_TOTAL,H_TOTAL,NH_TOTAL,EXP_WHITE,EXP_BLACK,EXP_NA,EXP_ASIAN,EXP_PI,EXP_HISP,EXP_NHISP,adm_hisp,adm_nhisp,adm_unk_eth,total_adm,adm_white,adm_black,adm_na,adm_asian,adm_pi,rate_white,rate_black,rate_na,rate_asian,rate_pi,rate_hisp,rate_nhisp,pct_adm,adj_exp_white,adj_exp_black,adj_exp_na,adj_exp_asian,adj_exp_pi,adj_exp_hisp,adj_exp_nhisp,pae_white,pae_black,pae_na,pae_asian,pae_pi,pae_hisp,pae_nhisp,diff_ae_white,diff_ae_black,diff_ae_na,diff_ae_asian,diff_ae_pi,diff_ae_hisp,diff_ae_nhisp,pd_ae_white,pd_ae_black,pd_ae_na,pd_ae_asian,pd_ae_pi,pd_ae_hisp,pd_ae_nhisp,arcgis_county
CAMBRIA,68790,0.9398626083119689,0.04842182139080556,0.007797701009516999,0.004381927591689552,0.001171557029722554,0.016652846351056304,0.9833471536489437,6365,123544,576,1025,154,2189,129260,64653.14882578034,3330.9370934735143,301.4327990323243,536.4038524446744,80.59140807461449,1145.5493004891632,67644.45069951084,360,34078,16805,51952,41855,557,0,40,28,33878.61814414298,8750.981932443048,0,3902.439024390244,18181.818181818184,16445.865692096846,26363.91768528547,0.7552260502980084,48827.74222702341,2515.61046489513,227.64990224345559,405.10616284642714,60.86473080814612,865.148673630077,51086.85132636992,0.6473775950617023,0.16722020991971306,0,0.07457067994142653,0.3474315769998282,0.3142597178892918,0.5037811623510815,-22798.148825780343,-2773.9370934735143,-301.4327990323243,-496.4038524446744,-52.59140807461449,-785.5493004891632,-33566.45069951084,-35.262240493829765,-83.2779790080287,-100,-92.54293200585735,-65.25684230001718,-68.57402821107081,-49.62188376489185,"Cambria County, Pennsylvania"
CAMERON,3500,0.9662297267273939,0.01888469229060209,0.005998666962897134,0.008886914019106865,6.665185514330149e-4,0.013108198178182626,0.9868918018218173,85,4349,40,27,3,59,4442,3381.804043545879,66.09642301710731,31.104199066874028,20.995334370139968,2.332814930015552,45.878693623639194,3454.1213063763607,13,1193,616,1833,1693,0,0,0,0,38928.48930788687,0,0,0,0,22033.898305084746,26857.27149932463,0.5237142857142857,1771.099089091313,34.61564096867363,16.289713397022883,10.995556542990446,1.2217285047767161,24.027327260608754,1808.972672739391,0.5006203724994251,0,0,0,0,0.28335593220338984,0.3453845114813147,-1688.8040435458788,-66.09642301710731,-31.104199066874028,-20.995334370139968,-2.332814930015552,-32.878693623639194,-2261.1213063763607,-49.93796275005749,-100,-100,-100,-100,-71.66440677966102,-65.46154885186853,"Cameron County, Pennsylvania"
CARBON,14440,0.9548266458901441,0.02856252434748734,0.008274250097389949,0.008118426178418387,0.0014647448383326841,0.05086092715231788,0.9491390728476821,1833,61276,521,531,94,3264,60911,13787.69676665368,412.4428515777172,117.23007401636151,119.48017140631086,21.15091546552396,734.4317880794702,13705.568211920528,808,22877,3569,28148,23983,356,0,0,11,39139.30413212351,19421.713038734313,0,0,11702.127659574468,24754.901960784315,37558.07653789956,1.9493074792243767,26876.460428515777,803.9779353330737,228.51746007012076,232.9035917413323,41.22963770938839,1431.6333774834436,26716.366622516554,1.7394493370353368,0.8631498852221431,0,0,0.520072051629634,1.100170244690674,1.6691755968280502,10195.30323334632,-56.44285157771719,-117.23007401636151,-119.48017140631086,-10.150915465523958,73.56821192052985,9171.431788079472,73.94493370353368,-13.685011477785691,-100,-100,-47.9927948370366,10.017024469067405,66.91755968280502,"Carbon County, Pennsylvania"
CENTRE,55800,0.8788875837171973,0.044710672136087724,0.07187532672000788,0.0053997207889250375,0.0015990061561737012,0.030319616730524412,0.9696803832694756,7270,142908,878,11687,260,4930,157671,49041.92717141961,2494.855505193695,301.3044200220171,4010.6432309764396,89.22454351449252,1691.834613563262,54108.16538643674,1241,49730,20487,72928,51589,1649,17,213,253,36099.44859629971,22682.25584594223,1936.21867881549,1822.5378625823564,97307.69230769231,25172.41379310345,31540.35935587394,1.3069534050179212,64095.513705327765,3260.659897540606,393.79083769472516,5241.723827036735,116.61232095743568,2211.1490089236845,70716.85099107632,1.0519366382091273,0.660960122366676,0.05642134290216441,0.05310868799171214,2.835542666115247,0.733523235693981,0.9190849411513367,2547.0728285803925,-845.8555051936951,-284.3044200220171,-3797.6432309764396,163.77545648550748,-450.8346135632621,-4378.16538643674,5.193663820912731,-33.9039877633324,-94.35786570978357,-94.6891312008288,183.55426661152472,-26.647676430601898,-8.091505884866335,"Centre County, Pennsylvania"
CHESTER,220210,0.8557038495573526,0.0738575636964025,0.06518849384967228,0.007219117156943492,0.001264159544596101,0.07520025436422352,0.9247997456357765,38560,446751,3769,34034,660,39261,482825,188434.54471102462,16264.174101584797,1589.7217891305263,14355.158230636333,278.3805733155074,16559.848013545663,203650.15198645435,10126,217888,50432,290356,215779,9521,48,1222,1047,48299.61208816544,24691.390041493778,1273.5473600424516,3590.527119938885,158636.36363636365,25791.497924148647,45127.73779319629,1.318541392307343,248458.74694207468,21444.986764632646,2096.1139812214847,18927.870320215443,367.05630873074546,21834.84505617849,268521.15494382154,1.1451138130267446,0.585397078298139,0.030193962445625694,0.0851261950838024,3.7610383064099975,0.6114790420610812,1.069913269765164,27344.455288975383,-6743.1741015847965,-1541.7217891305263,-13133.158230636333,768.6194266844926,-6433.848013545663,14237.848013545648,14.511381302674465,-41.460292170186094,-96.98060375543743,-91.48738049161976,276.1038306409998,-38.852095793891884,6.99132697651641,"Chester County, Pennsylvania"
CLARION,18240,0.9666683905668184,0.018437112122465866,0.009386636326023996,0.006050889532478279,5.947455523376086e-4,0.010524410426148118,0.9894755895738518,713,37383,234,363,23,407,38265,17632.03144393877,336.2929251137774,110.3682250724038,171.21224658667768,10.848158874637981,191.96524617294168,18048.034753827058,66,9873,2689,12728,10399,48,0,5,19,27817.45713292138,6732.1178120617105,0,1377.4104683195592,82608.69565217392,16216.216216216217,25801.646413171304,0.6978070175438597,12303.755275134467,234.66756309474556,77.01572196938353,119.47310715763342,7.569921390153083,133.95469590401325,12594.045304095987,0.5897788937743067,0.14273270834871188,0,0.0292035184379682,1.7514492753623188,0.3438122332859175,0.5470401700055706,-7233.031443938769,-288.2929251137774,-110.3682250724038,-166.21224658667768,8.151841125362019,-125.96524617294168,-8175.034753827058,-41.02211062256933,-85.72672916512882,-100,-97.07964815620318,75.14492753623188,-65.61877667140826,-45.29598299944294,"Clarion County, Pennsylvania"
CLEARFIELD,20030,0.9517669531996179,0.03409490775649726,0.008973005579852209,0.005592419444025536,5.780927964610667e-4,0.030349871814206,0.969650128185794,2713,75734,445,714,46,2415,77157,19063.892072588347,682.9210023626401,112.0161614638315,179.72930176443975,11.579198713115165,607.9079324385463,19422.092067561454,286,12962,14319,28307,20886,654,0,29,0,27578.102305437453,24106.155547364542,0,4061.624649859944,0,11842.650103519669,16799.512681934237,1.4132301547678483,26941.667144221585,965.124553863168,158.30461720203087,253.9988689488765,16.364072789423414,859.1138214447294,27447.886178555273,1.0955790098094205,0.9576510280653476,0,0.161353767667826,0,0.47046597805155616,0.6673843350608443,1822.1079274116528,-28.921002362640138,-112.0161614638315,-150.72930176443975,-11.579198713115165,-321.90793243854625,-6460.092067561454,9.557900980942048,-4.234897193465237,-100,-83.8646232332174,-100,-52.95340219484439,-33.26156649391557,"Clearfield County, Pennsylvania"
CLINTON,8010,0.9637688649989663,0.020958238577630763,0.00956171180483771,0.005349390117841637,9.56171180483771e-4,0.015634690924126525,0.9843653090758735,811,37294,207,370,37,605,38091,7719.78860864172,167.87549100682241,42.84861484391151,76.58931155675005,7.658931155675005,125.23387430225347,7884.766125697746,107,9202,2800,12461,9821,48,0,0,0,26333.994744462918,5918.618988902589,0,0,0,17685.950413223138,24157.937570554725,1.5556803995006243,12009.52382675212,261.160610915857,66.65875025842465,119.1484908000827,11.91484908000827,194.82388360554066,12266.17611639446,1.2721850944216442,0.2859261927522779,0,0,0,0.854401419712962,1.1670606145195825,2101.21139135828,-119.87549100682241,-42.84861484391151,-76.58931155675005,-7.658931155675005,-18.23387430225347,1317.2338743022538,27.218509442164418,-71.40738072477222,-100,-100,-100,-14.559858028703799,16.706061451958256,"Clinton County, Pennsylvania"
COLUMBIA,23290,0.9540443149582152,0.025270259909530017,0.014122517825653607,0.006562907306601242,0.0010120371080272943,0.028275703442459558,0.9717242965575404,1648,62218,428,921,66,1844,63371,22219.69209537683,588.544353292954,152.85011117074293,328.91344015947254,23.570344245955685,658.5411331748832,22631.458866825116,471,24563,1763,27369,24354,198,0,19,31,39143.01327590086,12014.563106796117,0,2062.975027144408,46969.696969696975,25542.299349240784,38760.631834750915,1.1751395448690425,26111.23885609139,691.6217434639269,179.6202100743694,386.5191903703136,27.698443609599018,773.8777275166757,26595.122272483324,1.0960547920944075,0.3364232430269252,0,0.05776595809155113,1.3152120171227084,0.7152172829801362,1.0853476191941953,2134.3079046231687,-390.54435329295404,-152.85011117074293,-309.91344015947254,7.429655754044315,-187.54113317488316,1931.5411331748837,9.605479209440748,-66.35767569730749,-100,-94.22340419084489,31.52120171227084,-28.47827170198638,8.53476191941953,"Columbia County, Pennsylvania"
CRAWFORD,21866,0.9584067677123722,0.02720009399600517,0.00853013746915756,0.005909998825049935,5.874750323111268e-4,0.013688168252849254,0.9863118317471508,2315,81570,503,726,50,1165,83945,20956.522382798732,594.757255316649,129.22803430854188,186.5199859005992,12.845729056515099,299.3054870168018,21566.6945129832,388,24555,4778,30193,25880,424,0,9,6,31727.35074169425,18315.334773218143,0,1239.6694214876034,12000,33304.721030042914,29251.29549109536,1.3808195371810117,28937.175537539657,821.252438021384,178.4405945247327,257.5504406062742,17.73763365056985,413.28686405827756,29779.713135941725,1.2349377214056514,0.7128958851864065,0,0.04825220180316927,0.46708131345467846,1.2963344035795081,1.1385611265193112,4923.477617201268,-170.75725531664898,-129.22803430854188,-177.5199859005992,-6.845729056515099,88.6945129831982,2988.3054870168016,23.493772140565138,-28.710411481359355,-100,-95.17477981968308,-53.29186865453215,29.633440357950814,13.856112651931118,"Crawford County, Pennsylvania"
CUMBERLAND,112440,0.8847732856556937,0.056810987094385,0.0530161549151638,0.006713627548968467,0.0013299831562013451,0.041842703608873454,0.9581572963911266,14267,222194,1686,13314,334,10508,240623,99483.90823912619,6387.82738889265,754.8802816060144,5961.136458661018,149.54330608327925,4704.793593781731,107735.20640621828,2303,77346,35494,118044,83824,2444,28,237,190,37725.59115007606,17130.44087754959,1660.7354685646499,1780.0811176205498,56886.22754491019,21916.63494480396,32144.059379194838,1.0498399146211312,104442.1777319407,6706.196160569583,792.5034503904336,6258.238990805596,156.99653169063157,4939.280104805858,113104.71989519415,0.8425885299813013,0.3826026990412581,0.03709197429349957,0.039757519668193374,1.2705349706137352,0.489500751540694,0.7179268744180521,-15659.90823912619,-3943.8273888926497,-726.8802816060144,-5724.136458661018,40.45669391672075,-2401.793593781731,-30389.206406218276,-15.741147001869871,-61.739730095874194,-96.29080257065004,-96.02424803318065,27.05349706137352,-51.049924845930605,-28.207312558194786,"Cumberland County, Pennsylvania"
DAUPHIN,111300,0.7195193307905686,0.21827684350439205,0.05527623670827554,0.010694781553398059,0.001867342810910772,0.09645168747110494,0.903548312528895,60433,199209,2961,15304,517,26704,250160,80082.50151699029,24294.212682038837,1190.329186893204,6152.245145631068,207.83525485436894,10735.07281553398,100564.92718446601,3849,77324,28722,114376,73892,10770,16,242,224,37092.70163496629,17821.3889762216,540.3579871664979,1581.2859383167797,43326.88588007737,14413.571000599162,30909.817716661335,1.0276370170709794,82295.7429785021,24965.63225265835,1223.2263349514565,6322.274849745724,213.5792013407305,11031.7582061951,103344.2417938049,0.9226984497271615,0.4433154570990671,0.013441659816609634,0.039335233605223445,1.0777767234772453,0.3585443774941497,0.7688962958046474,-6190.501516990291,-13524.212682038837,-1174.329186893204,-5910.245145631068,16.16474514563106,-6886.07281553398,-23240.92718446601,-7.730155027283847,-55.66845429009328,-98.65583401833904,-96.06647663947766,7.777672347724529,-64.14556225058503,-23.110370419535265,"Dauphin County, Pennsylvania"
DELAWARE,268860,0.6904150692371791,0.23783019685756795,0.0682818175223935,0.0076464312820775935,0.0013516597638841465,0.03936266765269421,0.9606373323473058,134429,390244,4322,38595,764,22249,542982,185624.99551510796,63943.02672712572,2055.819514499382,18358.249459070717,363.40724411789165,10583.046825103365,258276.95317489663,4478,166035,71011,249828,159803,22242,49,1034,1928,40949.50851262287,16545.5370492974,1133.7343822304488,2679.1035108174633,252356.02094240836,20126.747269540203,30578.361713647966,0.9292122294130775,172485.015917386,59416.64242053249,1910.2926343388813,17058.709907984525,337.68245549164857,9833.89653433729,239994.10346566272,0.8608916032916143,0.3478409005397389,0.0238347771554898,0.05632345296893795,5.305342783355591,0.4231295650490768,0.6428564297317174,-25821.995515107963,-41701.02672712572,-2006.819514499382,-17324.249459070717,1564.5927558821083,-6105.046825103365,-92241.95317489663,-13.91083967083857,-65.2159099460261,-97.61652228445102,-94.36765470310621,430.53427833555907,-57.687043495092325,-35.71435702682826,"Delaware County, Pennsylvania"
