county,county_population,partiallycovered,ratepartiallycovered,fullycovered,ratefullycovered,TOT_POP,TOT_BAC,TOT_IAC,TOT_NHWA,TOT_NHAAC,TOT_NHNAC,TOT_H,TOT_O65,TOT_U65,U65Partial,O65Partial,U65Full,O65Full,Rate.O65Partial.Per.100K,Rate.O65Full.Per.100K,Rate.U65Partial.Per.100K,Rate.U65Full.Per.100K,partially_covered_hispanic,fully_covered_hispanic,Rate.HispanicPartial.Per.100K,Rate.HispanicFull.Per.100K,partially_covered_african_american,partially_covered_native_american,partially_covered_asian,partially_covered_pacific_islander,partially_covered_white,fully_covered_african_american,fully_covered_native_american,fully_covered_asian,fully_covered_pacific_islander,fully_covered_white,Rate.BlackPartial.Per.100K,Rate.BlackFull.Per.100K,Rate.NAPartial.Per.100K,Rate.NAFull.Per.100K,Rate.AsianPartial.Per.100K,Rate.AsianFull.Per.100K,Rate.PIPartial.Per.100K,Rate.PIFull.Per.100K,Rate.WhitePartial.Per.100K,Rate.WhiteFull.Per.100K,Compare.Partial.O65,Compare.Full.O65,Compare.Partial.U65,Compare.Full.U65,Compare.Partial.Hispanic,Compare.Full.Hispanic,Compare.Partial.Black,Compare.Full.Black,Compare.Partial.NA,Compare.Full.NA,Compare.Partial.PA,Compare.Full.PA,Compare.Partial.Asian,Compare.Full.Asian,Compare.Partial.White,Compare.Full.White
CAMBRIA,130192,13627,10466.8,31803,24427.8,131449,5980,454,2189,121888,982,139,29702,81082,8965,6744,12885,14485,22705.54171436267,48767.759746818396,11056.708023975729,15891.319898374484,151,99,108633.09352517985,71223.02158273381,163,0,14,8,12331,207,0,18,9,21691,2725.752508361204,3461.538461538462,0,0,11.485954318718823,14.76765555263849,814.6639511201629,916.4969450101833,563316.5829145729,990909.0909090908,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
CAMERON,4447,460,10344.1,1250,28108.8,4501,80,34,59,4303,27,0,1231,2624,315,173,399,755,14053.614947197402,61332.25020308692,12004.573170731706,15205.79268292683,9,0,Inf,NA,0,0,0,0,467,0,0,0,0,1072,0,0,0,0,0,0,0,0,791525.4237288135,1816949.152542373,TRUE,TRUE,TRUE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
CARBON,64182,9720,15144.4,13371,20832.9,64175,1467,368,3264,58581,491,58,13609,40499,5782,3896,5897,5879,28628.11374825483,43199.35336909399,14276.89572582039,14560.853354403813,293,259,505172.4137931035,446551.7241379311,141,0,0,0,8525,89,0,0,9,10289,9611.451942740287,6066.802999318336,0,0,0,0,0,1832.9938900203665,261182.5980392157,315226.7156862745,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
CENTRE,162385,20979,12919.3,38362,23624.1,162601,6696,621,4930,138915,11508,207,23225,119415,15319,3906,17820,15774,16818.083961248652,67918.19160387514,12828.371645103212,14922.748398442407,512,316,247342.9951690821,152657.00483091787,377,5,97,104,13878,781,5,28,70,25608,5630.227001194743,11663.679808841098,805.1529790660225,805.1529790660225,69.82687254796097,20.15621063240111,903.7191518943343,608.272506082725,281501.01419878297,519432.0486815416,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
CHESTER,524989,109933,20940.1,111622,21261.8,522086,34620,2430,39261,413267,33432,417,85417,340061,65831,35166,51096,39986,41169.7905569149,46812.695365091255,19358.585665512954,15025.539535553913,3532,2144,847002.3980815349,514148.6810551559,3513,30,579,376,78676,2580,8,355,424,71883,10147.3136915078,7452.339688041594,1234.567901234568,329.21810699588474,140.10312945383976,85.90088248033354,1124.670973917205,1268.2459918640823,200392.24675887014,183090.08940169634,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
CLARION,38438,2576,6701.7,9013,23448.2,38672,660,186,407,37085,355,16,7601,25044,1856,805,3964,4565,10590.71174845415,60057.887120115774,7410.956716179525,15828.142469254113,16,32,100000,200000,14,0,0,0,2143,24,0,0,9,6960,2121.2121212121215,3636.363636363636,0,0,0,0,0,2535.211267605634,526535.6265356266,1710073.71007371,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
CLEARFIELD,79255,6175,7791.3,18647,23527.9,79572,2286,319,2415,73914,662,43,16245,51458,4357,2212,7716,8605,13616.497383810403,52970.144659895355,8467.099382020288,14994.753002448599,110,57,255813.9534883721,132558.13953488372,32,0,10,0,4966,322,0,12,0,12286,1399.825021872266,14085.739282589677,0,0,13.52923668046649,16.235084016559785,0,0,205631.46997929603,508737.0600414078,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
CLINTON,38632,2826,7315.2,6564,16991.1,38696,746,177,605,36792,361,31,7266,24976,1746,951,2434,3525,13088.356729975225,48513.62510322048,6990.711082639334,9745.355541319666,31,34,100000,109677.4193548387,16,0,0,0,2294,14,0,0,0,4804,2144.7721179624664,1876.6756032171581,0,0,0,0,0,0,379173.5537190083,794049.5867768595,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
COLUMBIA,64964,7201,11084.6,16401,25246.3,65215,1436,316,1844,60747,879,44,12760,42964,4258,3062,7665,7007,23996.865203761754,54913.793103448275,9910.622847034727,17840.51764267759,155,148,352272.7272727273,336363.63636363635,51,0,8,5,6844,86,0,6,15,13182,3551.5320334261837,5988.857938718663,0,0,13.169374619322765,9.877030964492073,568.8282138794084,1706.4846416382254,371149.67462039046,714859.0021691974,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
CRAWFORD,84629,6375,7532.9,20018,23653.8,85110,2192,445,1165,80602,712,41,17512,53229,4579,1653,8854,9963,9439.241662859753,56892.41662859753,8602.45354975671,16633.789851396796,193,86,470731.70731707313,209756.0975609756,214,0,0,0,5247,142,0,6,0,16386,9762.773722627739,6478.102189781022,0,0,0,7.443984020247637,0,0,450386.26609442057,1406523.6051502146,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
CUMBERLAND,253370,40044,15804.6,48391,19098.9,251131,12729,1288,10508,213888,13013,250,46417,162451,22787,16088,23018,19657,34659.71519055519,42348.7084473361,14026.998910440685,14169.195634375903,784,531,313600,212400,573,9,105,49,24897,959,18,100,71,32299,4501.531934951685,7533.977531620709,698.7577639751553,1397.5155279503106,49.09111310592459,46.75344105326152,376.54653039268425,545.6082379159302,236933.76475066613,307375.33307955845,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DAUPHIN,278299,33425,12010.5,44988,16165.3,276864,53953,1848,26704,180417,14864,287,46898,178123,19661,12530,20230,17481,26717.557251908398,37274.51064011258,11037.878320037278,11357.320503247756,1350,752,470383.275261324,262020.90592334492,3562,0,79,68,21119,2682,12,103,55,27609,6602.042518488314,4970.993271921858,0,649.3506493506494,43.78744796776357,57.08996380607149,457.48116254036603,370.02152852529605,79085.5302576393,103389.00539245058,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DELAWARE,566747,86210,15211.4,111344,19646.2,565231,129116,3279,22249,374703,37941,538,92536,369878,56399,28965,51726,41219,31301.331373735626,44543.74513702775,15248.000692120104,13984.611142052245,1436,821,266914.49814126396,152602.23048327139,7838,13,309,713,57080,6390,19,257,278,62965,6070.510238854983,4949.038074289786,396.4623360780726,579.4449527294906,82.4653125275218,68.5876547559,1879.2335468226986,732.7165862786959,256550.85621825702,283001.48321272864,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
ELK,29910,2868,9588.8,9189,30722.2,30110,254,145,257,29286,175,23,6626,18733,2055,650,4141,4715,9809.8400241473,71159.07032900695,10969.9460844499,22105.375540490044,34,20,147826.08695652173,86956.52173913043,11,0,0,0,2178,0,0,5,0,7202,4330.708661417323,0,0,0,0,17.073004165813018,0,0,847470.8171206226,2802334.6303501944,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
ERIE,269728,29290,10859.1,59907,22210.2,271544,23904,1497,11750,228815,5900,259,48848,174991,21884,6276,29983,25209,12848.018342613823,51607.02587618735,12505.786011852038,17134.024035521827,1398,583,539768.3397683398,225096.52509652512,1124,18,224,119,21848,1755,9,64,71,37889,4702.141900937082,7341.867469879518,1202.4048096192384,601.2024048096192,97.89567991608942,27.970194261739834,2016.949152542373,1203.3898305084745,185940.4255319149,322459.57446808513,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
FAYETTE,129274,18269,14132,28467,22020.7,130323,7605,683,1704,119490,727,280,27567,82310,11143,7234,11148,13446,26241.52065875866,48775.71008814887,13537.844733325233,13543.919329364599,336,160,120000,57142.85714285714,367,0,13,10,11954,388,0,12,9,16525,4825.772518080211,5101.906640368179,0,0,10.87957151226044,10.042681395932714,1375.5158184319118,1237.9642365887207,701525.8215962441,969776.9953051644,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
FOREST,7247,400,5519.5,3366,46446.8,7284,1508,37,495,5224,20,4,1622,5185,246,142,619,932,8754.62392108508,57459.92601726264,4744.455159112826,11938.28351012536,5,8,125000,200000,0,0,0,0,312,5,0,0,0,1283,0,331.56498673740055,0,0,0,0,0,0,63030.303030303025,259191.9191919192,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
FRANKLIN,155027,12120,7818,26319,16977,154579,6962,869,9076,135761,2070,127,30376,95830,7536,5686,9240,13752,18718.725309454832,45272.5836186463,7863.92570176354,9642.07450693937,355,367,279527.5590551181,288976.37795275595,328,0,8,8,10635,359,0,5,15,19226,4711.2898592358515,5156.564205688021,0,0,5.892708509807677,3.682942818629798,386.47342995169083,724.6376811594203,117177.17055971795,211833.4067871309,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
FULTON,14530,1289,8871.3,1300,8947,14525,259,98,177,13934,61,5,3126,9029,549,741,526,695,23704.414587332052,22232.885476647472,6080.407575589767,5825.672831985824,5,0,100000,0,17,0,0,0,1163,0,0,0,0,1088,6563.706563706563,0,0,0,0,0,0,0,657062.1468926554,614689.2655367232,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
