county,county_population,partiallycovered,ratepartiallycovered,fullycovered,ratefullycovered,TOT_POP,TOT_BAC,TOT_IAC,TOT_NHWA,TOT_NHAAC,TOT_NHNAC,TOT_H,TOT_O65,TOT_U65,U65Partial,O65Partial,U65Full,O65Full,Rate.O65Partial.Per.100K,Rate.O65Full.Per.100K,Rate.U65Partial.Per.100K,Rate.U65Full.Per.100K,partially_covered_hispanic,fully_covered_hispanic,Rate.HispanicPartial.Per.100K,Rate.HispanicFull.Per.100K,partially_covered_african_american,partially_covered_native_american,partially_covered_asian,partially_covered_pacific_islander,partially_covered_white,fully_covered_african_american,fully_covered_native_american,fully_covered_asian,fully_covered_pacific_islander,fully_covered_white,Rate.BlackPartial.Per.100K,Rate.BlackFull.Per.100K,Rate.NAPartial.Per.100K,Rate.NAFull.Per.100K,Rate.AsianPartial.Per.100K,Rate.AsianFull.Per.100K,Rate.PIPartial.Per.100K,Rate.PIFull.Per.100K,Rate.WhitePartial.Per.100K,Rate.WhiteFull.Per.100K,Compare.Partial.O65,Compare.Full.O65,Compare.Partial.U65,Compare.Full.U65,Compare.Partial.Hispanic,Compare.Full.Hispanic,Compare.Partial.Black,Compare.Full.Black,Compare.Partial.NA,Compare.Full.NA,Compare.Partial.PA,Compare.Full.PA,Compare.Partial.Asian,Compare.Full.Asian,Compare.Partial.White,Compare.Full.White
LUZERNE,317417,37672,11868.3,78957,24874.8,317859,15600,1169,40805,255525,5007,208,63167,203291,25325,13126,37652,31777,20779.8375734165,50306.33083730429,12457.511645867255,18521.233109188306,2129,1107,1023557.6923076924,532211.5384615385,681,8,72,83,31943,834,15,26,82,60037,4365.384615384615,5346.153846153847,684.3455945252352,1283.147989734816,28.17728206633402,10.175129635065062,1657.6792490513283,1637.7072099061313,78282.07327533391,147131.47898541845,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
LYCOMING,113299,9661,8527,23556,20791,113866,6753,652,2326,103155,1037,112,21996,72522,5727,4678,10089,10661,21267.5031823968,48467.903255137295,7896.914039877554,13911.640605609333,63,116,56250,103571.42857142858,236,0,0,0,7747,490,0,7,8,15100,3494.743077150896,7256.034355101436,0,0,0,6.785904706509622,0,771.4561234329798,333061.04901117797,649183.147033534,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
MCKEAN,40625,4515,11113.8,6054,14902.2,40950,1167,277,873,38290,362,22,7987,26307,2517,1804,2611,2339,22586.703393013646,29285.08826843621,9567.795643745012,9925.114988406129,45,26,204545.45454545453,118181.81818181819,7,0,0,0,3763,5,0,0,0,3564,599.8286203941731,428.4490145672665,0,0,0,0,0,0,431042.3825887743,408247.42268041236,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
MERCER,109424,7783,7112.7,27464,25098.7,110471,7593,578,1722,99538,1112,90,23948,69335,5318,2353,11660,14016,9825.455152831133,58526.80808418239,7670.007932501622,16816.903439821155,143,76,158888.88888888888,84444.44444444444,221,0,0,0,5382,665,0,6,5,18548,2910.575530093507,8758.066640326617,0,0,0,6.027848660812956,0,449.64028776978415,312543.5540069686,1077119.6283391407,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
MIFFLIN,46138,3932,8522.3,9600,20807.1,46211,622,183,759,44255,405,21,9997,27670,2169,2048,3688,4974,20486.145843753126,49754.92647794339,7838.814600650525,13328.514636790747,31,39,147619.04761904763,185714.2857142857,16,0,0,6,3763,33,0,0,0,7677,2572.347266881029,5305.466237942122,0,0,0,0,1481.4814814814815,0,495783.9262187088,1011462.4505928854,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
MONROE,170271,23579,13847.9,24785,14556.2,169294,24994,1425,28023,110264,5104,244,29264,113687,14754,7949,9381,10820,27163.067249863314,36973.75615090213,12977.737120339178,8251.603085665029,2221,1095,910245.9016393443,448770.4918032787,2097,5,12,33,16647,1104,0,6,15,16301,8390.013603264782,4417.060094422661,350.87719298245617,0,10.882971776826526,5.441485888413263,646.551724137931,293.8871473354232,59404.77464939514,58170.07458159369,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
MONTGOMERY,830915,191508,23047.8,139941,16841.8,826924,85952,3720,43865,624092,71200,766,146812,533560,109783,73906,67267,50851,50340.57161539929,34636.81442933821,20575.567883649448,12607.2044381138,3780,1591,493472.5848563969,207702.3498694517,8750,100,1346,399,141843,5462,52,889,219,78638,10180.100521221148,6354.709605361132,2688.1720430107525,1397.8494623655915,215.67333021413512,142.4469469244919,560.3932584269663,307.5842696629214,323362.58976404875,179272.7687222159,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
MONTOUR,18230,1839,10087.8,7400,40592.4,18240,418,78,532,16581,639,11,3865,11297,1227,638,4086,2786,16507.11513583441,72082.79430789132,10861.29060812605,36168.89439674249,43,95,390909.09090909094,863636.3636363636,28,0,5,14,1624,79,0,8,32,5996,6698.564593301436,18899.521531100476,0,0,30.15499668295036,48.24799469272058,2190.923317683881,5007.824726134585,305263.15789473685,1127067.6691729322,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
NORTHAMPTON,305285,61687,20206.4,69075,22626.4,304564,19807,1405,42131,231328,10299,266,57861,197418,38782,20376,27699,31561,35215.43008243895,54546.240127201396,19644.6119401473,14030.635504361306,4486,2286,1686466.165413534,859398.4962406015,1851,6,53,99,48360,1178,0,24,35,49164,9345.180996617357,5947.3923360428125,427.04626334519577,0,22.91119103610458,10.37487895974547,961.2583745994757,339.83881930284497,114784.83776791437,116693.17129904346,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
NORTHUMBERLAND,90843,8350,9191.7,22535,24806.5,91080,2797,413,3363,83998,551,51,19452,57017,4724,4218,10099,9455,21684.145589142503,48606.827061484684,8285.24825929109,17712.26125541505,181,178,354901.96078431373,349019.60784313723,61,0,0,10,7372,161,0,0,7,16651,2180.9081158383983,5756.167322130854,0,0,0,0,1814.8820326678767,1270.4174228675136,219209.03954802259,495123.4017246506,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
PERRY,46272,7717,16677.5,5614,12132.6,46154,672,271,1017,43894,319,38,8541,29478,3112,4207,2422,2594,49256.52733871912,30371.150919096122,10557.025578397448,8216.29689938259,54,19,142105.26315789475,50000,12,0,0,0,3939,11,0,0,0,4407,1785.7142857142856,1636.904761904762,0,0,0,0,0,0,387315.63421828905,433333.3333333333,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
PHILADELPHIA,1584064,29672,1873.2,52246,3298.2,1583592,667988,12569,238513,544676,128769,2062,216840,1073972,20005,7815,35258,12191,3604.0398450470393,5622.117690463014,1862.7115045829873,3282.9533730860767,1131,2155,54849.660523763334,104510.18428709991,7025,9,107,95,13246,10461,7,306,118,21766,1051.6655987832116,1566.0460966364667,71.60474182512532,55.69257697509747,19.644706210664687,56.18018785479808,73.77552050571178,91.6369623123578,5553.575696083652,9125.708032685849,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
PIKE,55809,7293,13067.8,7207,12913.7,55780,3510,466,6324,44590,973,72,12694,35341,3579,3463,2916,3231,27280.60501024106,25452.9699070427,10127.047904699923,8251.039868707734,275,145,381944.44444444444,201388.88888888888,239,0,0,12,4242,119,0,0,0,4209,6809.116809116809,3390.3133903133903,0,0,0,0,1233.2990750256936,0,67077.79886148007,66555.97722960151,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
POTTER,16526,720,4356.8,1857,11236.8,16623,148,120,228,16045,91,9,3993,9860,382,406,689,995,10167.79363886802,24918.607563235662,3874.2393509127787,6987.829614604463,38,8,422222.22222222225,88888.88888888889,0,0,0,0,674,0,0,0,0,1344,0,0,0,0,0,0,0,0,295614.0350877193,589473.6842105263,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
SCHUYLKILL,141359,21594,15276,31536,22309.2,141815,4910,588,6762,128517,1098,91,28871,89986,11521,9915,14163,13455,34342.41972913997,46603.858543174814,12803.102704865201,15739.114973440313,408,313,448351.64835164836,343956.04395604396,114,0,0,6,17741,697,0,7,16,23154,2321.7922606924644,14195.51934826884,0,0,0,5.446750235377421,546.448087431694,1457.1948998178507,262363.206152026,342413.48713398405,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
SNYDER,40372,4257,10544.4,6981,17291.7,40518,625,171,875,38492,357,35,7665,25918,2126,1878,2967,3199,24500.978473581214,41735.159817351596,8202.793425418628,11447.642565012731,40,55,114285.71428571428,157142.85714285713,22,0,0,0,3109,26,0,0,0,5187,3520,4160,0,0,0,0,0,0,355314.2857142857,592800,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
SOMERSET,73447,6974,9495.3,13630,18557.6,73872,2377,290,1131,69573,514,43,16487,46626,3828,3779,5410,6040,22921.08934311882,36634.92448595864,8210.01158152104,11602.968300947969,40,86,93023.25581395348,200000,22,0,0,8,6481,311,0,0,6,8818,925.5363904080774,13083.718973496003,0,0,0,0,1556.420233463035,1167.3151750972763,573032.7144120247,779664.0141467727,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
SULLIVAN,6066,1439,23722.4,1290,21266.1,6076,237,61,121,5630,33,1,1726,3836,598,910,440,682,52723.059096176126,39513.325608342995,15589.155370177268,11470.281543274245,14,0,1400000,0,0,0,0,0,1410,0,0,0,0,896,0,0,0,0,0,0,0,0,1165289.256198347,740495.8677685951,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
SUSQUEHANNA,40328,3699,9172.3,6424,15929.4,40560,369,232,699,39036,238,38,9548,24862,2025,1766,2486,3077,18496.020108923334,32226.644323418517,8144.960180194674,9999.195559488377,68,33,178947.36842105264,86842.1052631579,18,0,0,0,3304,7,0,0,0,4736,4878.048780487805,1897.0189701897018,0,0,0,0,0,0,472675.25035765383,677539.3419170243,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
TIOGA,40591,2208,5439.6,5527,13616.3,40690,509,256,536,39112,296,26,8987,25044,1145,1129,1960,3075,12562.590408367641,34216.089907644375,4571.953362082734,7826.22584251717,40,29,153846.15384615384,111538.46153846155,9,0,0,0,1208,7,0,0,0,3426,1768.172888015717,1375.24557956778,0,0,0,0,0,0,225373.13432835822,639179.104477612,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
UNION,44923,5580,12421.3,8349,18585.1,45017,3141,284,2706,37974,953,87,8123,30391,3168,2527,3897,3361,31109.196109811644,41376.33879108704,10424.13872528051,12822.87519331381,100,83,114942.52873563218,95402.2988505747,67,0,0,6,4042,57,0,0,14,5566,2133.078637376632,1814.7086914995225,0,0,0,0,629.5907660020987,1469.0451206715634,149371.76644493718,205691.05691056914,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
VENANGO,50668,3130,6177.5,8468,16712.7,51201,918,288,559,49141,310,36,11501,31648,1962,938,3878,4180,8155.812538040171,36344.66568124511,6199.443882709807,12253.538928210313,102,34,283333.3333333334,94444.44444444444,25,0,0,0,2383,24,0,0,0,5761,2723.3115468409587,2614.3790849673205,0,0,0,0,0,0,426296.9588550984,1030590.3398926654,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
WARREN,39191,5774,14733,5587,14255.8,39551,325,223,459,38270,271,30,9039,24238,2304,2794,2646,2509,30910.498948998782,27757.49529815245,9505.73479660038,10916.742305470749,65,19,216666.66666666666,63333.33333333333,12,0,0,0,4666,6,0,7,0,4210,3692.307692307693,1846.1538461538464,0,0,0,18.29108962633917,0,0,1016557.734204793,917211.3289760349,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
WASHINGTON,206865,39009,18857.2,47397,22912,207018,8999,1017,3649,190532,2944,174,42598,131295,23234,16163,20159,19897,37943.095919996245,46708.76566974975,17696.02802848547,15353.973875623595,588,345,337931.0344827586,198275.86206896554,795,0,44,78,31006,584,0,50,15,31035,8834.31492388043,6489.609956661851,0,0,23.093233682531018,26.242311002876157,2649.4565217391305,509.5108695652174,849712.2499314881,850506.9882159496,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
WAYNE,51361,6248,12164.9,10654,20743.4,51395,1886,287,2410,46353,479,39,12399,32200,3638,2858,4987,4217,23050.24598757964,34010.80732317122,11298.136645962733,15487.577639751555,86,120,220512.82051282053,307692.3076923077,60,0,0,0,5153,231,0,0,0,7479,3181.3361611876985,12248.14422057264,0,0,0,0,0,0,213817.4273858921,310331.9502074689,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
WESTMORELAND,348899,52807,15135.3,79159,22688.2,350459,12064,1351,4338,328701,4256,227,79627,218593,29486,24074,34232,33411,30233.463523679155,41959.385635525636,13488.995530506467,15660.153801814331,1162,408,511894.27312775335,179735.68281938325,670,6,25,58,37905,736,0,15,30,47995,5553.713527851459,6100.79575596817,444.1154700222057,0,7.605696362347544,4.563417817408526,1362.781954887218,704.8872180451127,873789.764868603,1106385.4310742277,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
WYOMING,26794,3456,12898.4,5652,21094.3,27087,364,157,519,25871,183,20,5735,17050,1874,1489,2471,2364,25963.382737576285,41220.5754141238,10991.202346041055,14492.66862170088,79,20,395000,100000,14,0,0,0,3025,13,0,0,0,4177,3846.153846153846,3571.428571428571,0,0,0,0,0,0,582851.6377649326,804816.9556840077,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
YORK,449058,49908,11113.9,83302,18550.4,447847,31160,2410,35039,371487,8311,404,78162,288153,28224,18102,35775,37802,23159.591617409995,48363.654973004785,9794.79651435175,12415.279382827872,2153,1464,532920.792079208,362376.2376237624,2035,0,46,33,37425,1824,9,67,58,63779,6530.808729139922,5853.658536585366,0,373.44398340248966,12.382667495767011,18.035624396008476,397.06413187342076,697.870292383588,106809.55506721082,182022.8887810725,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
