county,county_population,partiallycovered,ratepartiallycovered,fullycovered,ratefullycovered,TOT_POP,TOT_BAC,TOT_IAC,TOT_H,TOT_NHWA,TOT_NHAAC,TOT_NHNAC,TOT_O65,TOT_U65,U65Partial,O65Partial,U65Full,O65Full,Rate.O65Partial.Per.100K,Rate.O65Full.Per.100K,Rate.U65Partial.Per.100K,Rate.U65Full.Per.100K,partially_covered_hispanic,fully_covered_hispanic,Rate.HispanicPartial.Per.100K,Rate.HispanicFull.Per.100K,partially_covered_african_american,partially_covered_native_american,partially_covered_asian,partially_covered_pacific_islander,partially_covered_white,fully_covered_african_american,fully_covered_native_american,fully_covered_asian,fully_covered_pacific_islander,fully_covered_white,Rate.BlackPartial.Per.100K,Rate.BlackFull.Per.100K,Rate.NAPartial.Per.100K,Rate.NAFull.Per.100K,Rate.AsianPartial.Per.100K,Rate.AsianFull.Per.100K,Rate.PIPartial.Per.100K,Rate.PIFull.Per.100K,Rate.WhitePartial.Per.100K,Rate.WhiteFull.Per.100K,Compare.Partial.O65,Compare.Full.O65,Compare.Partial.U65,Compare.Full.U65,Compare.Partial.Hispanic,Compare.Full.Hispanic,Compare.Partial.Black,Compare.Full.Black,Compare.Partial.NA,Compare.Full.NA,Compare.Partial.PA,Compare.Full.PA,Compare.Partial.Asian,Compare.Full.Asian,Compare.Partial.White,Compare.Full.White
ADAMS,103009,11734,11391.2,22080,21435,103062,2380,511,7410,91654,1149,60,20932,65122,7510,3372,9589,11614,16109.306325243648,55484.42575960252,11532.20109947483,14724.670618224256,682,496,9203.77867746289,6693.657219973009,138,0,7,11,8322,180,0,5,14,18185,5798.319327731093,7563.0252100840335,0,0,609.2254134029591,435.1610095735422,18333.333333333332,23333.333333333332,9079.800117834464,19840.92347306173,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ALLEGHENY,1216045,260577,21428.2,386527,31785.6,1217281,177744,6596,26601,954289,55466,904,230356,797955,148141,80960,238958,130187,35145.60072236017,56515.567209015615,18565.081990839084,29946.300229962842,4754,4595,17871.508589902634,17273.786699748132,17777,37,301,1112,170541,21549,46,412,1070,268989,10001.462777927807,12123.615987037536,560.9460278956943,697.3923590054579,542.6747917643241,742.7973893916994,123008.84955752212,118362.83185840708,17871.001342360647,28187.373007548027,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ARMSTRONG,64735,8043,12424.5,19513,30142.9,65352,911,243,525,63403,283,27,14423,40566,5100,2701,9128,9323,18727.03321084379,64639.81141232753,12572.104718236948,22501.60232707193,72,94,13714.285714285716,17904.761904761905,61,0,0,16,6644,103,5,0,11,15317,6695.938529088913,11306.256860592755,0,2057.61316872428,0,0,59259.259259259255,40740.74074074074,10478.9994164314,24158.16286295601,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
BEAVER,163929,18465,11264,35013,21358.6,164582,12717,807,2740,147112,1374,125,35342,102938,10173,3282,18309,11325,9286.401448701263,32044.026936789087,9882.647807418058,17786.43455283763,321,304,11715.328467153286,11094.890510948906,563,0,0,13,10810,863,0,0,23,24322,4427.144766847527,6786.191711881733,0,0,0,0,10400,18400,7348.142911523194,16532.981673826744,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BEDFORD,47888,3599,7515.5,8583,17923.1,48094,515,213,595,46526,265,17,10964,29597,2514,1954,3137,4119,17821.962787303906,37568.40569135352,8494.104132175558,10599.047200729803,90,38,15126.050420168067,6386.554621848739,13,0,0,9,4119,16,0,13,0,5917,2524.271844660194,3106.796116504854,0,0,0,4905.660377358491,52941.17647058824,0,8853.114387654216,12717.6202553411,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
BERKS,421164,62787,14908,91165,21646,420529,21636,1712,92013,298388,7347,318,72376,270921,42557,19215,47565,36250,26548.855974356138,50085.6637559412,15708.269200246566,17556.778544298893,7025,5390,7634.790736091639,5857.867909969244,1652,12,106,186,46196,2169,6,106,126,65069,7635.422444074691,10024.958402662229,700.9345794392523,350.46728971962614,1442.7657547298218,1442.7657547298218,58490.56603773584,39622.64150943397,15481.855838706651,21806.8420982077,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
BLAIR,121829,10141,8324,30382,24938.2,122503,3381,514,1622,115880,1157,68,25507,76420,6338,3166,15175,14176,12412.27898224017,55576.90045869761,8293.640408270086,19857.367181366135,124,219,7644.882860665844,13501.849568434032,117,0,13,13,7354,155,0,8,16,19954,3460.514640638864,4584.442472641231,0,0,1123.5955056179776,691.4433880726016,19117.647058823528,23529.41176470588,6346.220227821885,17219.537452537108,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
BRADFORD,60323,4471,7411.8,11326,18775.6,60794,661,456,916,58255,529,25,12989,36683,3059,1329,5075,5866,10231.734544614674,45161.290322580644,8339.012621650356,13834.746340266609,145,148,15829.694323144106,16157.205240174671,21,0,0,0,4071,40,0,0,0,9961,3177.004538577912,6051.437216338881,0,0,0,0,0,0,6988.241352673591,17098.961462535404,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BUCKS,628270,95004,15121.5,158205,25181.1,627812,29857,2883,34578,525931,35432,474,117005,407662,66939,25035,82539,66588,21396.521516174522,56910.38844493825,16420.22067300852,20246.920242750122,2141,2586,6191.798253224594,7478.74370987333,2122,25,294,218,71597,2220,41,542,262,115715,7107.211039287268,7435.442274843421,867.1522719389525,1422.129725979882,829.7584104764055,1529.6906750959586,45991.5611814346,55274.26160337553,13613.38274412423,22001.93561512822,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
BUTLER,187853,21617,11507.4,61186,32571.2,187638,3249,716,2931,177432,3349,115,35275,121814,16208,3891,33606,25719,11030.474840538625,72909.99291282779,13305.53138391318,27587.96197481406,319,395,10883.657454793585,13476.629136813375,195,0,54,78,16622,343,8,65,69,51254,6001.846722068329,10557.094490612497,0,1117.31843575419,1612.4216183935503,1940.8778739922363,67826.08695652173,60000,9368.09594661617,28886.559357951213,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
