county,county_population,partiallycovered,ratepartiallycovered,fullycovered,ratefullycovered,TOT_POP,TOT_BAC,TOT_IAC,TOT_H,TOT_NHWA,TOT_NHAAC,TOT_NHNAC,TOT_O65,TOT_U65,U65Partial,O65Partial,U65Full,O65Full,Rate.O65Partial.Per.100K,Rate.O65Full.Per.100K,Rate.U65Partial.Per.100K,Rate.U65Full.Per.100K,partially_covered_hispanic,fully_covered_hispanic,Rate.HispanicPartial.Per.100K,Rate.HispanicFull.Per.100K,partially_covered_african_american,partially_covered_native_american,partially_covered_asian,partially_covered_pacific_islander,partially_covered_white,fully_covered_african_american,fully_covered_native_american,fully_covered_asian,fully_covered_pacific_islander,fully_covered_white,Rate.BlackPartial.Per.100K,Rate.BlackFull.Per.100K,Rate.NAPartial.Per.100K,Rate.NAFull.Per.100K,Rate.AsianPartial.Per.100K,Rate.AsianFull.Per.100K,Rate.PIPartial.Per.100K,Rate.PIFull.Per.100K,Rate.WhitePartial.Per.100K,Rate.WhiteFull.Per.100K,Compare.Partial.O65,Compare.Full.O65,Compare.Partial.U65,Compare.Full.U65,Compare.Partial.Hispanic,Compare.Full.Hispanic,Compare.Partial.Black,Compare.Full.Black,Compare.Partial.NA,Compare.Full.NA,Compare.Partial.PA,Compare.Full.PA,Compare.Partial.Asian,Compare.Full.Asian,Compare.Partial.White,Compare.Full.White
CAMBRIA,130192,12028,9238.7,38360,29464.2,131449,5980,454,2189,121888,982,139,29702,81082,8219,3676,18462,18820,12376.270958184634,63362.73651605953,10136.651784613106,22769.54194519129,190,148,8679.762448606669,6761.078117862037,216,0,9,12,9697,288,0,29,14,30428,3612.0401337792646,4816.053511705685,0,0,916.4969450101833,2953.1568228105907,8633.093525179856,10071.942446043166,7955.664216329746,24963.901286426884,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CAMERON,4447,356,8005.4,1453,32673.7,4501,80,34,59,4303,27,0,1231,2624,265,115,565,830,9341.99837530463,67424.85783915516,10099.08536585366,21532.01219512195,8,0,13559.322033898305,0,0,0,0,0,354,0,0,0,0,1304,0,0,0,0,0,0,0,0,8226.818498721821,30304.438763653263,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
CARBON,64182,9497,14797,16861,26270.6,64175,1467,368,3264,58581,491,58,13609,40499,6419,2815,8275,7749,20684.84091410096,56940.260121978106,15849.774068495517,20432.603274154917,342,372,10477.94117647059,11397.05882352941,160,0,0,0,8073,152,0,0,11,14138,10906.612133605999,10361.281526925699,0,0,0,0,0,18965.517241379308,13780.918727915196,24134.104914562744,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CENTRE,162385,21801,13425.5,47947,29526.7,162601,6696,621,4930,138915,11508,207,23225,119415,17397,3001,29061,17445,12921.420882669538,75113.02475780409,14568.521542519782,24336.138676045724,503,624,10202.839756592293,12657.200811359025,396,8,135,106,13690,1125,8,65,124,35057,5913.978494623656,16801.075268817203,1288.244766505636,1288.244766505636,1173.096976016684,564.824469933959,51207.72946859904,59903.381642512075,9854.947269913255,25236.295576431632,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CHESTER,524989,125481,23901.6,138936,26464.6,522086,34620,2430,39261,413267,33432,417,85417,340061,87985,33068,79634,50648,38713.605020077965,59294.98811711954,25873.29920220196,23417.563319522087,4731,3800,12050.12607931535,9678.816127964137,4256,29,578,436,93110,3967,17,546,507,103629,12293.471981513576,11458.694396302715,1193.4156378600824,699.5884773662551,1728.8825077769802,1633.1658291457288,104556.35491606714,121582.73381294963,22530.228641531987,25075.556480435167,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CLARION,38438,2467,6418.1,9953,25893.6,38672,660,186,407,37085,355,16,7601,25044,1693,694,4880,4854,9130.377581897119,63860.01841862913,6760.102220092637,19485.7051589203,21,42,5159.7051597051595,10319.410319410319,13,0,0,0,1890,32,0,0,10,8045,1969.6969696969695,4848.484848484848,0,0,0,0,0,62500,5096.400161790481,21693.407037885936,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
CLEARFIELD,79255,6226,7855.7,20929,26407.2,79572,2286,319,2415,73914,662,43,16245,51458,4021,1577,10941,9741,9707.602339181287,59963.065558633425,7814.139686734812,21262.000077733297,166,107,6873.706004140787,4430.64182194617,37,0,9,0,4442,615,0,20,0,15481,1618.5476815398076,26902.887139107614,0,0,1359.5166163141994,3021.148036253777,0,0,6009.686933463214,20944.61130503017,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CLINTON,38632,3183,8239.3,8477,21942.9,38696,746,177,605,36792,361,31,7266,24976,1873,609,3800,4307,8381.502890173411,59276.080374346275,7499.199231262011,15214.60602178091,46,51,7603.305785123966,8429.752066115701,17,0,0,0,2127,22,0,0,0,6595,2278.820375335121,2949.0616621983913,0,0,0,0,0,0,5781.148075668623,17925.09241139378,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
COLUMBIA,64964,6580,10128.7,19647,30242.9,65215,1436,316,1844,60747,879,44,12760,42964,4754,1779,9929,8845,13942.006269592477,69318.18181818182,11065.07773950284,23110.045619588494,190,217,10303.687635574837,11767.895878524947,65,0,10,13,5970,110,0,8,16,17063,4526.462395543175,7660.16713091922,0,0,1137.6564277588168,910.1251422070534,29545.454545454548,36363.63636363637,9827.645809669613,28088.629891188044,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CRAWFORD,84629,6883,8133.1,22415,26486.2,85110,2192,445,1165,80602,712,41,17512,53229,5018,1371,10951,10787,7828.917313841936,61597.76153494746,9427.191944240922,20573.371658306565,218,138,18712.446351931332,11845.493562231759,219,0,0,0,5442,179,0,8,5,19028,9990.87591240876,8166.058394160585,0,0,0,1123.5955056179776,0,12195.121951219511,6751.693506364606,23607.354656212003,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CUMBERLAND,253370,47954,18926.5,60120,23728.1,251131,12729,1288,10508,213888,13013,250,46417,162451,29668,15036,32634,25133,32393.304177348815,54146.11026132668,18262.737687056404,20088.518999575255,1128,816,10734.678340312143,7765.511990864104,844,9,93,74,29324,1246,19,136,98,44532,6630.528713960249,9788.671537434206,698.7577639751553,1475.1552795031057,714.6699454391762,1045.10873741643,29600,39200,13709.979054458407,20820.24236983842,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
DAUPHIN,278299,43562,15652.9,61959,22263.5,276864,53953,1848,26704,180417,14864,287,46898,178123,26945,11175,32491,25719,23828.308243421896,54840.29169687407,15127.187392981254,18240.766212111856,1916,1331,7174.955062911924,4984.272019173158,3913,5,91,91,24705,5212,14,135,102,41348,7252.60875206198,9660.259855800417,270.56277056277054,757.5757575757576,612.2174381054898,908.2346609257266,31707.317073170732,35540.06968641115,13693.277241058217,22918.017703431495,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
DELAWARE,566747,94404,16657.2,139045,24533.9,565231,129116,3279,22249,374703,37941,538,92536,369878,71139,20972,75818,54378,22663.611999654186,58764.15665254604,19233.098481120804,20498.11018768351,2291,1505,10297.092004135016,6764.348959503798,9400,18,442,1146,59288,9908,25,374,470,88721,7280.275101459153,7673.719755878435,548.9478499542544,762.4275693809088,1164.9666587596532,985.7410189504758,213011.1524163569,87360.59479553904,15822.6648839214,23677.686060693402,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ELK,29910,2491,8328.3,10307,34460,30110,254,145,257,29286,175,23,6626,18733,1909,533,5212,4942,8044.068819800785,74584.9683066707,10190.572785992634,27822.55912026904,41,26,15953.307392996108,10116.731517509728,9,0,0,6,2004,0,0,6,0,8298,3543.3070866141734,0,0,0,0,3428.571428571429,26086.95652173913,0,6842.860069657857,28334.357713583282,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ERIE,269728,27253,10103.9,82601,30623.8,271544,23904,1497,11750,228815,5900,259,48848,174991,20948,4970,46573,31058,10174.418604651162,63580.9040288241,11970.901360641405,26614.511603453895,1260,1332,10723.40425531915,11336.170212765957,1144,14,230,83,20069,2734,14,146,166,55412,4785.809906291834,11437.416331994646,935.2037408149632,935.2037408149632,3898.305084745763,2474.5762711864404,32046.33204633205,64092.6640926641,8770.841072482135,24216.94381924262,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
FAYETTE,129274,11743,9083.8,37879,29301.3,130323,7605,683,1704,119490,727,280,27567,82310,8304,3770,18500,18172,13675.771756085176,65919.39637972938,10088.689102174705,22476.005345644513,324,341,19014.084507042255,20011.737089201877,300,0,10,15,8615,863,5,19,13,25213,3944.7731755424065,11347.797501643656,0,732.0644216691069,1375.5158184319118,2613.480055020633,5357.142857142857,4642.857142857143,7209.808352163361,21100.51050297096,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FOREST,7247,436,6016.3,3503,48337.2,7284,1508,37,495,5224,20,4,1622,5185,270,119,2404,1057,7336.621454993834,65166.461159062885,5207.3288331726135,46364.51301832208,5,92,1010.1010101010102,18585.858585858587,0,0,0,0,309,770,0,0,0,2199,0,51061.007957559676,0,0,0,0,0,0,5915.00765696784,42094.180704441045,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FRANKLIN,155027,10863,7007.2,32332,20855.7,154579,6962,869,9076,135761,2070,127,30376,95830,7726,3350,13494,17381,11028.443508032658,57219.51540690019,8062.193467598873,14081.185432536782,514,569,5663.287791978845,6269.28162185985,293,0,7,10,8751,566,0,8,21,25987,4208.560758402758,8129.847744900891,0,0,338.1642512077295,386.47342995169083,7874.015748031496,16535.433070866144,6445.886521165872,19141.72700554651,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
FULTON,14530,841,5788,2048,14095,14525,259,98,177,13934,61,5,3126,9029,605,413,723,1107,13211.772232885476,35412.6679462572,6700.631299147191,8007.531288071769,11,6,6214.689265536724,3389.830508474576,11,0,0,0,895,9,0,0,0,1654,4247.1042471042465,3474.903474903475,0,0,0,0,0,0,6423.13764891632,11870.24544280178,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
GREENE,36233,3732,10300,8556,23613.8,36661,1460,259,576,34185,187,27,6877,23869,2451,1558,4291,3737,22655.227570161405,54340.55547477098,10268.549164187858,17977.292722778497,33,94,5729.166666666666,16319.444444444445,23,0,0,0,3313,507,0,0,0,6159,1575.3424657534247,34726.02739726027,0,0,0,0,0,0,9691.385110428551,18016.67397981571,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HUNTINGDON,45144,2766,6127.1,11919,26402.2,45395,2865,181,945,40982,433,28,9411,29409,1781,812,6188,5467,8628.201041334609,58091.59494208904,6055.969261110544,21041.17787071985,67,154,7089.947089947089,16296.296296296297,22,0,0,0,2091,742,0,14,0,8928,767.8883071553229,25898.778359511343,0,0,0,3233.256351039261,0,0,5102.2400078083065,21785.17397881997,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
INDIANA,84073,7522,8947,18488,21990.4,84441,2633,356,1094,79263,1128,49,16389,55564,6022,2452,7799,9271,14961.254499969493,56568.430044542074,10837.952631200058,14036.066517889281,173,75,15813.528336380255,6855.575868372943,97,0,18,46,6825,115,5,15,10,13453,3684.010634257501,4367.641473604253,0,1404.4943820224719,1595.7446808510638,1329.787234042553,93877.55102040817,20408.163265306124,8610.574921463987,16972.610171202203,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
JEFFERSON,43425,3374,7769.7,12563,28930.3,43614,380,266,423,42364,193,22,9131,26840,2108,1055,6018,6368,11554.046654254736,69740.44463914138,7853.949329359165,22421.758569299553,44,37,10401.891252955082,8747.044917257683,5,0,0,0,2514,6,0,9,0,10070,1315.7894736842104,1578.9473684210527,0,0,0,4663.21243523316,0,0,5934.283825889906,23770.18223019545,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
JUNIATA,24763,1952,7882.7,5098,20587.2,24718,236,106,1013,23229,140,9,4971,15235,1217,566,2034,2911,11386.039026352846,58559.64594648963,7988.185100098458,13350.836888743026,56,41,5528.134254689043,4047.3840078973344,22,0,0,0,1544,10,0,0,0,4420,9322.033898305084,4237.28813559322,0,0,0,0,0,0,6646.863834000604,19027.93921391364,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
LACKAWANNA,209674,27684,13203.4,75320,35922.4,210269,8040,805,16972,177479,7063,159,42015,132680,21514,7412,42446,28881,17641.3185766988,68739.73580863977,16214.953271028038,31991.257160084413,1233,1153,7264.906905491397,6793.542304972897,500,82,265,152,21421,630,78,142,101,57572,6218.905472636816,7835.820895522388,10186.335403726709,9689.44099378882,3751.946764830808,2010.477134362169,95597.48427672956,63522.01257861635,12069.59696640166,32438.76740346745,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
LANCASTER,545724,74120,13582,143122,26226.1,543969,24894,2248,58698,443899,14775,377,97562,339591,59965,17661,67926,63730,18102.334925483283,65322.564113076805,17658.00624869328,20002.29688065938,7028,5892,11973.150703601486,10037.820709393847,2702,0,129,127,61529,3140,16,400,172,106972,10854.021049248815,12613.481160118903,0,711.7437722419928,873.0964467005076,2707.275803722504,33687.00265251989,45623.34217506631,13861.035956377465,24098.274607512067,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
LAWRENCE,85512,7890,9226.8,21347,24963.7,86128,4740,377,1321,79127,590,73,18883,53221,4790,2224,10479,10015,11777.789546152624,53037.12333845258,9000.206685330979,19689.59621202157,138,84,10446.631339894018,6358.81907645723,153,0,0,0,5007,290,0,9,10,14797,3227.8481012658226,6118.143459915612,0,0,0,1525.4237288135594,0,13698.630136986301,6327.802140862159,18700.31721157127,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
LEBANON,141793,16339,11523.1,31408,22150.6,141339,3865,504,19426,115202,2344,126,27405,87213,11829,4894,14488,14884,17858.055099434412,54311.25706987776,13563.344914175641,16612.202309288754,1627,1253,8375.3732111603,6450.118398023267,242,0,17,33,12916,287,0,91,29,24126,6261.319534282018,7425.614489003881,0,0,725.2559726962457,3882.2525597269628,26190.47619047619,23015.873015873014,11211.610909532821,20942.344750959186,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
LEHIGH,369318,70671,19135.5,107081,28994.3,368359,25171,1657,93919,233518,14678,324,61617,238248,54956,18112,56213,43298,29394.485288150994,70269.56846324878,23066.720392196366,23594.321883079818,10504,7070,11184.105452570831,7527.763285384215,2965,16,128,202,52354,2488,10,125,154,78442,11779.428707639745,9884.390767152676,965.6004828002414,603.5003017501508,872.0534132715628,851.6146613980106,62345.67901234568,47530.864197530864,22419.684992163344,33591.414794576864,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
LUZERNE,317417,36524,11506.6,93194,29360.1,317859,15600,1169,40805,255525,5007,208,63167,203291,27062,9275,50822,38833,14683.299824275333,61476.72043946998,13311.951832594654,24999.631070731117,2950,2062,7229.506187967161,5053.3022913858595,845,8,76,100,29055,1236,18,51,129,77569,5416.666666666667,7923.076923076923,684.3455945252352,1539.7775876817793,1517.874975034951,1018.573996405033,48076.92307692308,62019.23076923077,11370.707367185207,30356.716563936992,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
LYCOMING,113299,10948,9662.9,30304,26746.9,113866,6753,652,2326,103155,1037,112,21996,72522,6064,3247,14268,14142,14761.774868157849,64293.50791052919,8361.600617743581,19674.029949532556,87,153,3740.3267411865863,6577.8159931212385,222,0,11,7,7038,637,0,9,20,20537,3287.427809862283,9432.844661631867,0,0,1060.7521697203472,867.8881388621022,6250,17857.14285714286,6822.742474916387,19908.874993941157,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MCKEAN,40625,6891,16962.5,7090,17452.3,40950,1167,277,873,38290,362,22,7987,26307,3788,1860,3626,3344,23287.842744459747,41868.0355577814,14399.209335918198,13783.403656821378,77,42,8820.16036655212,4810.996563573884,15,0,0,8,4954,10,0,6,0,5381,1285.3470437017995,856.898029134533,0,0,0,1657.4585635359115,36363.63636363637,0,12938.103943588405,14053.277618177071,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
MERCER,109424,7528,6879.7,31609,28886.7,110471,7593,578,1722,99538,1112,90,23948,69335,5190,1885,15491,15621,7871.220978787373,65228.829129781196,7485.396985649384,22342.251388187782,173,120,10046.457607433216,6968.641114982578,223,0,0,6,5369,1014,0,7,15,22527,2936.9155801396023,13354.40537337021,0,0,0,629.4964028776978,6666.666666666667,16666.666666666664,5393.919909984127,22631.55779702224,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MIFFLIN,46138,3291,7132.9,11568,25072.6,46211,622,183,759,44255,405,21,9997,27670,2160,1138,4881,6295,11383.415024507352,62968.89066720016,7806.288398988073,17640.043368268885,48,56,6324.110671936758,7378.129117259552,18,0,0,0,2872,42,0,0,6,10003,2893.8906752411576,6752.411575562702,0,0,0,0,0,28571.42857142857,6489.662185063834,22603.095695401647,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
MONROE,170271,21931,12880.1,35402,20791.6,169294,24994,1425,28023,110264,5104,244,29264,113687,16677,5409,17415,15327,18483.46090759978,52374.93165664298,14669.223394055609,15318.374132486564,2549,2271,9096.099632444777,8104.057381436677,2346,0,14,41,15326,2162,0,10,27,26045,9386.252700648156,8650.07601824438,0,0,274.294670846395,195.92476489028212,16803.278688524588,11065.573770491803,13899.368787636946,23620.583327287237,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
