"ToxPi Score","HClust Group","KMeans Group","Name","Source","Transmissible Cases!25!0xcc3333ff","Disease Spread!5!0xe05251ff","Population Mobility!10!0x57b757ff","Residential Density!10!0x70c970ff","Social Distancing!10!0x4258c9ff","Testing!10!0x5f73ddff","Population Demographics!10!0x6b0b9eff","Air Pollution!10!0x7e24aeff","Age Distribution!10!0x933fbfff","Comorbidities!10!0xa95ad2ff","Health Disparities!10!0xc177e7ff","Hospital Beds!5!0xdb95feff"
"0.4245492273800059","4","1","Alabama, Autauga","-86.6441,32.5395","0.08845364972479487","0.07980024968789035","0.6132720626818482","0.3741","1.0","0.6398322383216478","0.5272832567222914","0.5209580838323353","0.5016507991249867","0.35898747701055195","0.25358487411941294","0.512324602562135"
"0.4036801870922095","4","1","Alabama, Baldwin","-87.7221,30.7277","0.022583214117667543","0.03245559326242134","0.6309414063909539","0.3359","1.0","0.6398322383216478","0.5391043188604265","0.43712574850299407","0.6095051758860066","0.32166332553425664","0.20284072817062124","0.5128071301206647"
"0.4951778609130563","4","1","Alabama, Barbour","-85.3871,31.8683","0.03665635736805838","0.03853371831405275","0.5789422008195568","0.9889","0.7297297297297297","0.6398322383216478","0.6537156176327475","0.5089820359281437","0.579673914473061","0.5506049732957973","0.6333260575098855","0.4302174822509245"
"0.4437918260794839","4","1","Alabama, Bibb","-87.1251,32.9964","0.04013222452089066","0.03227447070639195","0.531682528759057","0.7189","0.7297297297297297","0.6398322383216478","0.5198466086037412","0.49101796407185627","0.542700408721451","0.4872314736943971","0.5151738440918265","0.5096304666888399"
"0.41800051030887453","4","1","Alabama, Blount","-86.5679,33.9821","0.026411868944019364","0.03885123488910997","0.5726133489544117","0.1741","1.0","0.6398322383216478","0.4415546655557995","0.5209580838323353","0.5755097168756041","0.4754968599837526","0.4343903375339462","0.6101916759976616"
"0.4441814728183434","4","1","Alabama, Bullock","-85.7127,32.1003","0.022567831177190426","0.04336617004532016","0.429525381010455","0.765","0.45945945945945943","0.6398322383216478","0.7515176639159895","0.49101796407185627","0.526341402378779","0.6056855173522595","0.6341436495970328","0.34328494231235507"
"0.44865451433623216","4","1","Alabama, Butler","-86.6806,31.753","0.058272862011408355","0.0691378897201738","0.5096520778968924","0.6259","0.7297297297297297","0.6398322383216478","0.5190394175737744","0.4550898203592814","0.5998243249034969","0.6334092473946369","0.5295679415919149","0.37177106308583974"
"0.46945956852119236","4","1","Alabama, Calhoun","-85.8263,33.7748","0.012935579664664942","0.017109416257091604","0.658567408391377","0.6492","1.0","0.6398322383216478","0.566130527684934","0.5269461077844312","0.5539608364828539","0.5387715436936844","0.5087495550728296","0.3703854635858774"
"0.4479757883319668","4","1","Alabama, Chambers","-85.3907,32.9136","0.011723498877604354","0.02469290077423138","0.5360296083284014","0.7943","0.7297297297297297","0.6398322383216478","0.5372124801482693","0.502994011976048","0.5978576089534523","0.5455802822055026","0.46803362439646157","0.41294514501788987"
"0.3979398524203844","4","1","Alabama, Cherokee","-85.6064,34.1781","0.03766503634898226","0.039246861492006443","0.5365237122238765","0.2741","0.7297297297297297","0.6398322383216478","0.3884894139348446","0.502994011976048","0.6493451083308717","0.46373871820389234","0.44487373384175255","0.4616709341473671"
