county,partiallycovered,ratepartiallycovered,fullycovered,ratefullycovered,Rate.O65Partial.Per.100K,Rate.O65Full.Per.100K,Rate.U65Partial.Per.100K,Rate.U65Full.Per.100K,Rate.HispanicPartial.Per.100K,Rate.HispanicFull.Per.100K,Rate.BlackPartial.Per.100K,Rate.BlackFull.Per.100K,Rate.NAPartial.Per.100K,Rate.NAFull.Per.100K,Rate.AsianPartial.Per.100K,Rate.AsianFull.Per.100K,Rate.PIPartial.Per.100K,Rate.PIFull.Per.100K,Rate.WhitePartial.Per.100K,Rate.WhiteFull.Per.100K,Compare.Partial.O65,Compare.Full.O65,Compare.Partial.U65,Compare.Full.U65,Compare.Partial.Hispanic,Compare.Full.Hispanic,Compare.Partial.Black,Compare.Full.Black,Compare.Partial.NA,Compare.Full.NA,Compare.Partial.PA,Compare.Full.PA,Compare.Partial.Asian,Compare.Full.Asian,Compare.Partial.White,Compare.Full.White
INDIANA,6755,8034.7,20333,24184.9,12075.172371712733,60705.35115016169,10334.029227557412,16269.527031891153,10877.513711151738,12888.482632541134,3797.94910748196,5013.292821876187,0,1685.3932584269662,1418.4397163120568,1684.3971631205675,118367.3469387755,24489.795918367345,7785.473676242383,19074.473587928795,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
JEFFERSON,3024,6963.7,13232,30470.9,10360.31102836491,71930.78523710437,7973.174366616989,24098.360655737706,6146.572104018913,13475.17730496454,1578.9473684210527,1578.9473684210527,0,0,0,4663.21243523316,0,0,5686.431876121234,25099.14077990747,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
JUNIATA,1790,7228.5,5594,22590.2,10058.338362502514,61637.497485415406,8841.483426320972,15267.476206104366,8687.068114511352,5528.134254689043,9745.762711864407,6779.661016949152,0,0,0,0,0,0,6866.4169787765295,20775.754444874943,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
LACKAWANNA,27760,13239.6,80255,38276.1,15277.876948708794,72831.13173866477,16393.578534820623,35583.35845643654,7806.976196087674,8679.0007070469,6890.547263681591,9328.358208955224,4596.273291925466,15403.726708074533,1982.1605550049553,3921.8462409740905,98742.13836477988,79874.213836478,11617.712518100732,35314.60060063445,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
LANCASTER,61280,11229.1,166638,30535.2,15615.711035034134,70638.15829933785,15647.94119985512,25244.485277878386,12298.545095233228,13123.104705441412,11376.235237406603,15248.65429420744,0,711.7437722419928,636.2098138747884,3032.148900169205,32625.994694960213,57029.17771883289,11877.251356727544,28463.456777329975,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
LAWRENCE,7207,8428.1,23702,27717.7,11597.733411004607,56585.288354604665,10054.30187332068,21974.408598109767,6888.720666161998,11355.034065102196,3481.012658227848,7172.995780590717,0,0,0,1525.4237288135594,12328.767123287671,15068.49315068493,6958.433910043347,20635.18141721536,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
LEBANON,14226,10032.9,35663,25151.5,13034.11786170407,61258.89436234264,13088.645041450241,19805.533578709597,9482.13734170699,8365.077730876146,6571.798188874515,9029.754204398449,0,0,554.6075085324233,4095.5631399317404,26984.126984126982,26190.47619047619,9560.597906286348,24359.820142011424,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
LEHIGH,70793,19168.6,119336,32312.5,25165.132999010013,76881.3801385981,23229.99563480071,28225.210704811794,12306.349088043953,9841.459129675572,12029.716737515395,12673.31452862421,724.200362100181,844.9004224502113,756.2338193214334,1165.0088567924786,68518.51851851853,62962.96296296296,21134.55922027424,38306.25476408671,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
LUZERNE,36622,11537.5,99809,31444.1,13225.260025013062,64509.94981556826,13903.71437987909,27650.018938369136,7996.569047910795,6817.79193726259,6057.692307692308,8935.897435897436,427.71599657827204,1796.4071856287424,978.6299181146395,1697.6233273417217,54326.92307692307,70673.07692307692,11276.000391351141,32751.785539575383,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
LYCOMING,10450,9223.4,32878,29018.8,14034.369885433714,69189.852700491,10847.742753922948,22482.832795565482,3697.334479793637,7910.576096302666,3835.332444839331,10158.44809714201,0,0,1157.1841851494696,1157.1841851494696,17857.14285714286,18750,8025.786437884737,22118.171683389075,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
