Toxpi.Score,HCluster,Transmissible.Cases,Disease.Spread,Population.Mobility,Residential.Density,Social.Distancing,Testing,Population.Demographics,Air.Pollution,Age.Distribution,Comorbidities,Health.Disparities,Hospital.Beds,COUNTY_NAM,pvi_image_path
0.5001349164410308,1,0.03003938839396954,0.0922603434407022,0.8974263048009035,0.8949,1,0.5609044911850406,0.7601327801000713,0.49101796407185627,0.46408171358848016,0.36794693655226435,0.5058232249201138,0.3764487951777609,PHILADELPHIA,/images/20210504_images_1.png
0.45017394923008985,1,0.027240797720088708,0.0848225915698432,0.768991650091012,0.7221,1,0.5609044911850406,0.6538297359525072,0.49101796407185627,0.540406913436432,0.3304276774727026,0.26280869470821644,0.37234789674642554,LEHIGH,/images/20210504_images_2.png
0.44505377255317063,1,0.027843632925271748,0.074111334674715,0.6391836757029873,0.9198,1,0.5609044911850406,0.22986253084710087,0.5209580838323353,0.5837920978957992,0.3630283361346229,0.39753775266073244,0.4828808780109546,INDIANA,/images/20210504_images_3.png
0.44089853155519493,1,0.03547371873005375,0.1024310476398124,0.7129799821879027,0.623,1,0.5609044911850406,0.6103311892309239,0.4191616766467066,0.5494974081927578,0.3601637774910393,0.2988333365895555,0.4729199245419401,BERKS,/images/20210504_images_4.png
0.4367788437119856,1,0.0301816066916821,0.0911324401349624,0.6985864850813239,0.6342,1,0.5609044911850406,0.5403288366089004,0.43712574850299407,0.6075890184122873,0.35548224289000335,0.29076325371891837,0.4274704664073294,LUZERNE,/images/20210504_images_5.png
0.43654048012492114,1,0.031095800071244118,0.0965365727578186,0.6901504743493418,0.6135,1,0.5609044911850406,0.4467914926984662,0.592814371257485,0.595880459448231,0.3326442502160306,0.27754385451906916,0.4410376426616614,LEBANON,/images/20210504_images_6.png
0.4354718691946028,1,0.02164640500397212,0.0654066890955868,0.7034022549441997,0.7848,1,0.5609044911850406,0.43769179635465705,0.4730538922155689,0.5539608364828539,0.3727787989153822,0.26976502023019633,0.4004438350938247,ERIE,/images/20210504_images_7.png
0.43538035986432366,1,0.019748225260836246,0.0630125161847216,0.6523222238605418,0.7313,1,0.5609044911850406,0.33927742929350013,0.49101796407185627,0.6281436499318728,0.4407366362644821,0.27490346810944477,0.4855436286857108,NORTHUMBERLAND,/images/20210504_images_8.png
0.43512418119765145,1,0.024448203724688516,0.0775686435767556,0.7009336490361827,0.7485,1,0.5609044911850406,0.48595998346724395,0.49101796407185627,0.560557323866868,0.2757950504337666,0.27838771202696205,0.4741825195652494,LANCASTER,/images/20210504_images_9.png
0.4323798708014506,1,0.029618197425860904,0.0844142805509818,0.7491624698060755,0.6562,1,0.5609044911850406,0.6011298187890984,0.4610778443113772,0.5380992168517501,0.36139725747473905,0.193675390193527,0.33369852513276355,DAUPHIN,/images/20210504_images_10.png
0.4317210484743799,1,0.03289959226734409,0.0850860420650096,0.6136460567968365,0.7479,0.825,0.5609044911850406,0.2853636680589331,0.5089820359281437,0.6207997313712245,0.5000425274785142,0.37451552913889663,0.4691341285425893,FAYETTE,/images/20210504_images_11.png
0.4315577925917919,1,0.023706487149190807,0.0782768066531344,0.8238043906142288,0.7272,1,0.5609044911850406,0.4956767759180807,0.532934131736527,0.5287228277828,0.2644521585986794,0.13428707432066042,0.45617187208367493,DELAWARE,/images/20210504_images_12.png
0.4249750162393119,1,0.025695358107347188,0.069939475453934,0.6581622991460483,0.8535,0.825,0.5609044911850406,0.5028080684969958,0.4610778443113772,0.5627304600978258,0.26575297296281536,0.30499548894633355,0.43609588969925606,UNION,/images/20210504_images_13.png
0.4243750248314873,1,0.03727173878741466,0.1021602485369554,0.6477815101001647,0.667,1,0.5609044911850406,0.2563499895429961,0.5149700598802395,0.6441567395133083,0.3760740740520491,0.2950709121074921,0.39624112555057234,CAMBRIA,/images/20210504_images_14.png
0.4228279369311406,1,0.02764432221464839,0.0933236004267506,0.7151516813780471,0.652,1,0.5609044911850406,0.4307514493953914,0.4131736526946108,0.6056629582719985,0.3662629843943728,0.21840978274356684,0.4145192116524685,LACKAWANNA,/images/20210504_images_15.png
0.41765542029395664,1,0.0304893454532822,0.0902127659574468,0.5920852015771941,0.73,0.825,0.5609044911850406,0.3084893351119003,0.4670658682634731,0.613308186513927,0.41841977922704604,0.38577666655065035,0.3966269572665957,CLEARFIELD,/images/20210504_images_16.png
0.4175474176051725,1,0.026856752225030055,0.0788568512375606,0.7814951459918883,0.6074,1,0.5609044911850406,0.3886693191479585,0.6167664670658684,0.5817386943120182,0.2926176482908398,0.11177010433582579,0.3428210871077218,ALLEGHENY,/images/20210504_images_17.png
0.4126747953679649,1,0.018183147124562586,0.0585928991505118,0.6370154251116773,0.8446,0.825,0.5609044911850406,0.3232421656247133,0.4131736526946108,0.6317620454190964,0.38678323429453293,0.2776419293413603,0.3671153620837363,MERCER,/images/20210504_images_18.png
0.4074902495869403,1,0.0257334838940662,0.0835784737843918,0.7264098517465811,0.447,1,0.5609044911850406,0.5409571533149995,0.4191616766467066,0.5837920978957992,0.2993870348240903,0.1381554661898695,0.5434748028126127,NORTHAMPTON,/images/20210504_images_19.png
0.40402236441179806,1,0.026922868246610582,0.0756474490155952,0.6465158572298653,0.4715,0.825,0.5609044911850406,0.39191360507841094,0.5089820359281437,0.613308186513927,0.40615745473066817,0.2960498489220762,0.44963436087003816,SCHUYLKILL,/images/20210504_images_20.png
