"ToxPi Score","HClust Group","KMeans Group","Name","Source","Transmissible Cases!25!0xcc3333ff","Disease Spread!5!0xe05251ff","Population Mobility!10!0x57b757ff","Residential Density!10!0x70c970ff","Social Distancing!10!0x4258c9ff","Testing!10!0x5f73ddff","Population Demographics!10!0x6b0b9eff","Air Pollution!10!0x7e24aeff","Age Distribution!10!0x933fbfff","Comorbidities!10!0xa95ad2ff","Health Disparities!10!0xc177e7ff","Hospital Beds!5!0xdb95feff"
"0.5730810754097863","1","1","Texas, Loving","-103.5819,31.8495","1.0","1.0","0.24586927885600884","0.5721","0.5","0.6734316629404778","0.5736029892437393","0.21556886227544908","0.6945753055071017","0.23279162096857356","0.4555737228309777","0.0"
"0.524644487199281","1","1","North Carolina, Robeson","-79.1025,34.6424","0.013433757297406843","0.0374416891726","0.6237307294894587","0.9698","1.0","0.5719724781738782","0.9784457501298696","0.4251497005988024","0.49129758316188105","0.5765547738615147","0.6624630779993721","0.41267351749283776"
"0.5232634555387933","1","1","Oklahoma, Muskogee","-95.378,35.6132","0.0020167792446778854","0.00537287771330324","0.5789392176447229","0.9529","1.0","0.8878716796144941","0.8305601777873379","0.43113772455089816","0.540406913436432","0.5423344215187167","0.5899003893622201","0.35802856670349964"
"0.518094795076098","1","1","Georgia, Toombs","-82.3296,32.1206","0.007407315814837045","0.0232161147149198","0.6009779659401558","0.9223","1.0","0.7413015615224441","0.7025257728443478","0.4610778443113772","0.540406913436432","0.5601787334983616","0.681296678536998","0.47198624293310953"
"0.5164624248350469","1","1","Mississippi, Neshoba","-89.1173,32.7534","3.5847808386163294E-4","0.00795031055900622","0.5758807616454756","0.8316","0.825","1.0","0.7918977997607195","0.44311377245508987","0.5215324091055006","0.6046778368857927","0.627166234106671","0.4600802919793608"
"0.5157838554977637","1","1","Mississippi, Adams","-91.3533,31.4767","0.05606737044368262","0.0785686503306106","0.626526821602472","0.9742","0.675","1.0","0.703803463040005","0.3592814371257485","0.5734100391661536","0.4992019356712919","0.6818578269595266","0.3491278377646766"
"0.5154306200612038","1","1","Georgia, Peach","-83.8294,32.5693","0.01171976421355793","0.034519956850054","0.6560902510346244","0.9513","1.0","0.7413015615224441","0.6722847619096547","0.5089820359281437","0.5142005305328247","0.47270707415171587","0.5916892844717152","0.5755357245100039"
"0.5151396036188249","1","1","Oklahoma, Okfuskee","-96.3264,35.4649","8.102752479071334E-4","0.00224592925322852","0.4550205528707971","0.9137","0.75","0.8878716796144941","0.7727111725531848","0.38323353293413176","0.5648909983668218","0.6862159359521287","0.7823636886121806","0.4801776631703816"
"0.5139320745442889","1","1","Oklahoma, Cherokee","-94.9998,35.9069","0.003605451817978839","0.01034052415760386","0.562884632104596","0.9761","0.825","0.8878716796144941","0.7253594601667016","0.4191616766467066","0.5357771420024626","0.5516452834627855","0.686990581841175","0.4783531686818802"
"0.5134631065798925","1","1","Oklahoma, Ottawa","-94.8101,36.8353","0.008575289736318718","0.030404534913682","0.5860203680123506","0.9166","1.0","0.8878716796144941","0.6394736226434172","0.4131736526946108","0.579673914473061","0.530405993567752","0.6276686411448722","0.40152093660092114"
"0.5118222185212927","1","1","Texas, Hunt","-96.0855,33.1235","0.11228447409768143","0.1497560154803972","0.63325605676137","0.9545","1.0","0.6734316629404778","0.6646882665084062","0.44311377245508987","0.5310891329236117","0.38114849505764536","0.5210580746566768","0.47980615445695574"
