county,total
Adams,36910
Allegheny,541310
Armstrong,28400
Beaver,104450
Bedford,14700
Berks,131130
Blair,29010
Bradford,22880
Bucks,202427
Butler,63220
Cambria,63920
Cameron,3500
Carbon,14040
Centre,48050
Chester,167560
Clarion,17740
Clearfield,18130
Clinton,7410
Columbia,20220
Crawford,18526
Cumberland,93410
Dauphin,88670
Delaware,204650
Elk,8900
Erie,96694
Fayette,44340
Franklin,42140
Fulton,2500
Greene,11010
Huntingdon,12210
Indiana,26930
Jefferson,7500
Juniata,3500
Lackawanna,71620
Lancaster,236650
Lawrence,15470
Lebanon,19590
Lehigh,230470
Luzerne,77100
Lycoming,25530
Mckean,11050
Mercer,41630
Mifflin,8450
Monroe,54170
Montgomery,282343
Montour,7850
Northampton,65500
Northumberland,12770
Perry,10100
Philadelphia,2770
Pike,5000
Potter,6010
Schuylkill,45320
Snyder,5640
Somerset,36240
Sullivan,200
Susquehanna,9600
Tioga,10210
Union,10090
Venango,16790
Warren,8410
Washington,66750
Wayne,39750
Westmoreland,102540
Wyoming,6300
York,145640
