County.Population,Partially.Covered,Rate.Partially.Covered.per.100.000,Fully.Covered,Rate.Fully.Covered.per.100.000,county,TOT_POP,TOT_BAC,TOT_IAC,TOT_H,TOT_NHWA,TOT_NHAAC,TOT_NHNAC,TOT_O65,TOT_U65,U65Partial,O65Partial,U65Full,O65Full,Rate.O65Partial.Per.100K,Rate.O65Full.Per.100K,Rate.U65Partial.Per.100K,Rate.U65Full.Per.100K,Partially.Covered.Hispanic,Fully.Covered.Hispanic,Rate.HispanicPartial.Per.100K,Rate.HispanicFull.Per.100K,Partially.Covered.African.American,Partially.Covered.Native.American,Partially.Covered.Asian,Partially.Covered.Pacific.Islander,Partially.Covered.White,Fully.Covered.African.American,Fully.Covered.Native.American,Fully.Covered.Asian,Fully.Covered.Pacific.Islander,Fully.Covered.White,Rate.BlackPartial.Per.100K,Rate.BlackFull.Per.100K,Rate.NAPartial.Per.100K,Rate.NAFull.Per.100K,Rate.AsianPartial.Per.100K,Rate.AsianFull.Per.100K,Rate.PIPartial.Per.100K,Rate.PIFull.Per.100K,Rate.WhitePartial.Per.100K,Rate.WhiteFull.Per.100K,Compare.Partial.O65,Compare.Full.O65,Compare.Partial.U65,Compare.Full.U65,Compare.Partial.Hispanic,Compare.Full.Hispanic,Compare.Partial.Black,Compare.Full.Black,Compare.Partial.NA,Compare.Full.NA,Compare.Partial.PA,Compare.Full.PA,Compare.Partial.Asian,Compare.Full.Asian,Compare.Partial.White,Compare.Full.White
45144,2970,6578.9,10251,22707.3,HUNTINGDON,45395,2865,181,945,40982,433,28,9411,29409,1762,1192,4836,4781,12666.029114865582,50802.25268303049,5991.363188139685,16443.945730898704,51,97,5396.825396825397,10264.550264550266,41,0,0,0,2377,522,0,12,0,7386,1431.0645724258288,18219.895287958116,0,0,0,2771.362586605081,0,0,5800.107364208678,18022.546483822167,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
84073,8437,10035.3,14214,16906.7,INDIANA,84441,2633,356,1094,79263,1128,49,16389,55564,5047,3015,5550,7952,18396.485447556286,48520.34901458296,9083.2193506587,9988.481750773883,148,45,13528.336380255943,4113.345521023766,60,0,12,15,6361,78,0,13,7,10405,2278.769464489176,2962.4003038359288,0,0,1063.8297872340424,1152.482269503546,30612.244897959183,14285.714285714284,8025.181989074348,13127.184184297843,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
43425,3444,7930.9,11040,25423.1,JEFFERSON,43614,380,266,423,42364,193,22,9131,26840,2138,1318,5026,5876,14434.344540576061,64352.20676815244,7965.722801788376,18725.782414307003,40,30,9456.26477541371,7092.198581560284,0,0,0,0,2759,0,0,8,0,8810,0,0,0,0,0,4145.077720207254,0,0,6512.605042016808,20795.958832971388,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
24763,2010,8116.9,4010,16193.5,JUNIATA,24718,236,106,1013,23229,140,9,4971,15235,1142,975,1512,2330,19613.759806879905,46871.856769261714,7495.8976042008535,9924.515917295701,40,21,3948.667324777887,2073.050345508391,15,0,0,0,1888,7,0,0,0,3376,6355.932203389831,2966.1016949152545,0,0,0,0,0,0,8127.771320332343,14533.557191441732,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
209674,30847,14711.9,57848,27589.5,LACKAWANNA,210269,8040,805,16972,177479,7063,159,42015,132680,20533,10451,30964,23310,24874.449601332857,55480.185647982864,15475.58034368405,23337.353029846246,885,630,5214.470893235918,3711.9962290831954,410,85,253,146,24050,444,65,106,55,43208,5099.502487562188,5522.388059701492,10559.006211180125,8074.534161490683,3582.047288687527,1500.7787059323234,91823.89937106919,34591.19496855346,13550.898979597587,24345.41551394813,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
545724,81189,14877.3,92977,17037.4,LANCASTER,543969,24894,2248,58698,443899,14775,377,97562,339591,50219,29919,41544,44730,30666.653000143502,45847.76859842971,14788.08331198412,12233.539758120798,5702,2711,9714.129953320386,4618.5559985008,2336,7,185,109,65891,1744,8,288,95,67829,9383.787257973809,7005.704185747571,311.38790035587186,355.8718861209964,1252.1150592216582,1949.238578680203,28912.466843501326,25198.93899204244,14843.691920909938,15280.277720832892,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
85512,6615,7735.8,15869,18557.6,LAWRENCE,86128,4740,377,1321,79127,590,73,18883,53221,4245,2536,7205,8054,13430.069374569719,42652.12095535667,7976.174818210857,13537.889179083446,125,41,9462.528387585164,3103.7093111279337,128,0,0,0,4486,194,0,5,0,10860,2700.42194092827,4092.827004219409,0,0,0,847.457627118644,0,0,5669.3669670276895,13724.77156975495,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
141793,16348,11529.5,22720,16023.4,LEBANON,141339,3865,504,19426,115202,2344,126,27405,87213,9022,6799,10123,11511,24809.341361065497,42003.28407224959,10344.788047653446,11607.214520770987,1072,740,5518.3774323072175,3809.327705137445,194,0,22,30,12713,190,0,71,16,17654,5019.404915912031,4915.912031047866,0,0,938.566552901024,3029.0102389078497,23809.52380952381,12698.412698412698,11035.398690994947,15324.38672939706,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
369318,66385,17975,78439,21238.9,LEHIGH,368359,25171,1657,93919,233518,14678,324,61617,238248,42630,21254,39630,35506,34493.727380430726,57623.707742993,17893.119774352774,16633.92767200564,7245,4264,7714.094059774912,4540.082411439645,2310,15,106,173,48020,1626,8,87,100,59493,9177.227762107188,6459.814866314409,905.2504526252263,482.8002414001207,722.169232865513,592.7238043330154,53395.06172839506,30864.197530864196,20563.72528027818,25476.836903365052,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
317417,38876,12247.6,72714,22908,LUZERNE,317859,15600,1169,40805,255525,5007,208,63167,203291,25325,13126,37652,31777,20779.8375734165,50306.33083730429,12457.511645867255,18521.233109188306,2129,1107,5217.497855654944,2712.9028305354736,681,8,72,83,31943,834,15,26,82,60037,4365.384615384615,5346.153846153847,684.3455945252352,1283.147989734816,1437.9868184541642,519.2730177751148,39903.846153846156,39423.07692307692,12500.929458957049,23495.548380784658,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
113299,10011,8835.9,21859,19293.2,LYCOMING,113866,6753,652,2326,103155,1037,112,21996,72522,5727,4678,10089,10661,21267.5031823968,48467.903255137295,7896.914039877554,13911.640605609333,63,116,2708.5124677558038,4987.102321582115,236,0,0,0,7747,490,0,7,8,15100,3494.743077150896,7256.034355101436,0,0,0,675.0241080038572,0,7142.857142857142,7510.057680190005,14638.165866899328,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40625,4216,10377.8,5171,12728.6,MCKEAN,40950,1167,277,873,38290,362,22,7987,26307,2517,1804,2611,2339,22586.703393013646,29285.08826843621,9567.795643745012,9925.114988406129,45,26,5154.639175257732,2978.2359679266892,7,0,0,0,3763,5,0,0,0,3564,599.8286203941731,428.4490145672665,0,0,0,0,0,0,9827.63123530948,9307.913293288064,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
109424,7661,7001.2,26707,24406.9,MERCER,110471,7593,578,1722,99538,1112,90,23948,69335,5318,2353,11660,14016,9825.455152831133,58526.80808418239,7670.007932501622,16816.903439821155,143,76,8304.297328687573,4413.472706155633,221,0,0,0,5382,665,0,6,5,18548,2910.575530093507,8758.066640326617,0,0,0,539.568345323741,0,5555.555555555556,5406.980248749222,18634.089493459785,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
46138,4129,8949.2,8927,19348.5,MIFFLIN,46211,622,183,759,44255,405,21,9997,27670,2169,2048,3688,4974,20486.145843753126,49754.92647794339,7838.814600650525,13328.514636790747,31,39,4084.321475625823,5138.339920948617,16,0,0,6,3763,33,0,0,0,7677,2572.347266881029,5305.466237942122,0,0,0,0,28571.42857142857,0,8502.994011976049,17347.192407637554,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
170271,22781,13379.3,21588,12678.6,MONROE,169294,24994,1425,28023,110264,5104,244,29264,113687,14754,7949,9381,10820,27163.067249863314,36973.75615090213,12977.737120339178,8251.603085665029,2221,1095,7925.632516147451,3907.504549834065,2097,5,12,33,16647,1104,0,6,15,16301,8390.013603264782,4417.060094422661,350.87719298245617,0,235.10971786833858,117.55485893416929,13524.590163934427,6147.540983606557,15097.402597402599,14783.6102445041,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
830915,186391,22432,126445,15217.6,MONTGOMERY,826924,85952,3720,43865,624092,71200,766,146812,533560,109783,73906,67267,50851,50340.57161539929,34636.81442933821,20575.567883649448,12607.2044381138,3780,1591,8617.34868346062,3627.037501424826,8750,100,1346,399,141843,5462,52,889,219,78638,10180.100521221148,6354.709605361132,2688.1720430107525,1397.8494623655915,1890.4494382022474,1248.5955056179776,52088.772845953004,28590.078328981723,22727.89909180057,12600.38584054915,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
18230,1896,10400.4,6996,38376.3,MONTOUR,18240,418,78,532,16581,639,11,3865,11297,1227,638,4086,2786,16507.11513583441,72082.79430789132,10861.29060812605,36168.89439674249,43,95,8082.706766917293,17857.14285714286,28,0,5,14,1624,79,0,8,32,5996,6698.564593301436,18899.521531100476,0,0,782.4726134585289,1251.9561815336463,127272.72727272726,290909.09090909094,9794.34292262228,36161.872022194075,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
305285,59694,19553.5,62211,20378,NORTHAMPTON,304564,19807,1405,42131,231328,10299,266,57861,197418,38782,20376,27699,31561,35215.43008243895,54546.240127201396,19644.6119401473,14030.635504361306,4486,2286,10647.741567966581,5425.933398210344,1851,6,53,99,48360,1178,0,24,35,49164,9345.180996617357,5947.3923360428125,427.04626334519577,0,514.6130692300223,233.0323332362365,37218.045112781954,13157.894736842105,20905.38110388712,21252.939549038594,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
90843,8624,9493.3,20650,22731.5,NORTHUMBERLAND,91080,2797,413,3363,83998,551,51,19452,57017,4724,4218,10099,9455,21684.145589142503,48606.827061484684,8285.24825929109,17712.26125541505,181,178,5382.0993160868275,5292.8932500743385,61,0,0,10,7372,161,0,0,7,16651,2180.9081158383983,5756.167322130854,0,0,0,0,19607.843137254902,13725.490196078432,8776.39943808186,19823.091025976806,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
46272,7379,15947,5221,11283.3,PERRY,46154,672,271,1017,43894,319,38,8541,29478,3112,4207,2422,2594,49256.52733871912,30371.150919096122,10557.025578397448,8216.29689938259,54,19,5309.734513274336,1868.2399213372667,12,0,0,0,3939,11,0,0,0,4407,1785.7142857142856,1636.904761904762,0,0,0,0,0,0,8973.891648061239,10040.096596345742,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1584064,28532,1801.2,49762,3141.4,PHILADELPHIA,1583592,667988,12569,238513,544676,128769,2062,216840,1073972,20005,7815,35258,12191,3604.0398450470393,5622.117690463014,1862.7115045829873,3282.9533730860767,1131,2155,474.1879897531791,903.5146931194527,7025,9,107,95,13246,10461,7,306,118,21766,1051.6655987832116,1566.0460966364667,71.60474182512532,55.69257697509747,83.09453362222274,237.63483447102954,4607.17749757517,5722.599418040737,2431.904471649201,3996.13715309652,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
55809,7124,12765,6627,11874.4,PIKE,55780,3510,466,6324,44590,973,72,12694,35341,3579,3463,2916,3231,27280.60501024106,25452.9699070427,10127.047904699923,8251.039868707734,275,145,4348.513598987983,2292.8526249209363,239,0,0,12,4242,119,0,0,0,4209,6809.116809116809,3390.3133903133903,0,0,0,0,16666.666666666664,0,9513.343799058084,9439.336174030052,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
16526,793,4798.5,1726,10444.1,POTTER,16623,148,120,228,16045,91,9,3993,9860,382,406,689,995,10167.79363886802,24918.607563235662,3874.2393509127787,6987.829614604463,38,8,16666.666666666664,3508.771929824561,0,0,0,0,674,0,0,0,0,1344,0,0,0,0,0,0,0,0,4200.68557182923,8376.441258959178,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
141359,21521,15224.4,28968,20492.5,SCHUYLKILL,141815,4910,588,6762,128517,1098,91,28871,89986,11521,9915,14163,13455,34342.41972913997,46603.858543174814,12803.102704865201,15739.114973440313,408,313,6033.717834960071,4628.808044957113,114,0,0,6,17741,697,0,7,16,23154,2321.7922606924644,14195.51934826884,0,0,0,637.5227686703097,6593.406593406594,17582.417582417584,13804.399417975832,18016.293564275544,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40372,4089,10128.3,6505,16112.7,SNYDER,40518,625,171,875,38492,357,35,7665,25918,2126,1878,2967,3199,24500.978473581214,41735.159817351596,8202.793425418628,11447.642565012731,40,55,4571.428571428572,6285.714285714286,22,0,0,0,3109,26,0,0,0,5187,3520,4160,0,0,0,0,0,0,8077.003013613218,13475.527382313207,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
73447,7494,10203.3,12213,16628.3,SOMERSET,73872,2377,290,1131,69573,514,43,16487,46626,3828,3779,5410,6040,22921.08934311882,36634.92448595864,8210.01158152104,11602.968300947969,40,86,3536.693191865606,7603.890362511052,22,0,0,8,6481,311,0,0,6,8818,925.5363904080774,13083.718973496003,0,0,0,0,18604.6511627907,13953.488372093023,9315.39534014632,12674.457045118079,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6066,1454,23969.7,1217,20062.6,SULLIVAN,6076,237,61,121,5630,33,1,1726,3836,598,910,440,682,52723.059096176126,39513.325608342995,15589.155370177268,11470.281543274245,14,0,11570.247933884299,0,0,0,0,0,1410,0,0,0,0,896,0,0,0,0,0,0,0,0,25044.404973357014,15914.742451154529,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
40328,3795,9410.3,5842,14486.2,SUSQUEHANNA,40560,369,232,699,39036,238,38,9548,24862,2025,1766,2486,3077,18496.020108923334,32226.644323418517,8144.960180194674,9999.195559488377,68,33,9728.183118741059,4721.030042918455,18,0,0,0,3304,7,0,0,0,4736,4878.048780487805,1897.0189701897018,0,0,0,0,0,0,8463.981965365305,12132.390613792397,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40591,2181,5373.1,5215,12847.7,TIOGA,40690,509,256,536,39112,296,26,8987,25044,1145,1129,1960,3075,12562.590408367641,34216.089907644375,4571.953362082734,7826.22584251717,40,29,7462.686567164178,5410.447761194029,9,0,0,0,1208,7,0,0,0,3426,1768.172888015717,1375.24557956778,0,0,0,0,0,0,3088.5661689507056,8759.460012272448,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
44923,5648,12572.6,7557,16822.1,UNION,45017,3141,284,2706,37974,953,87,8123,30391,3168,2527,3897,3361,31109.196109811644,41376.33879108704,10424.13872528051,12822.87519331381,100,83,3695.491500369549,3067.257945306726,67,0,0,6,4042,57,0,0,14,5566,2133.078637376632,1814.7086914995225,0,0,0,0,6896.551724137931,16091.954022988506,10644.12492758203,14657.397166482331,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
50668,3032,5984.1,8265,16312.1,VENANGO,51201,918,288,559,49141,310,36,11501,31648,1962,938,3878,4180,8155.812538040171,36344.66568124511,6199.443882709807,12253.538928210313,102,34,18246.869409660107,6082.289803220036,25,0,0,0,2383,24,0,0,0,5761,2723.3115468409587,2614.3790849673205,0,0,0,0,0,0,4849.311165828942,11723.408152052258,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39191,5395,13765.9,5324,13584.8,WARREN,39551,325,223,459,38270,271,30,9039,24238,2304,2794,2646,2509,30910.498948998782,27757.49529815245,9505.73479660038,10916.742305470749,65,19,14161.220043572983,4139.433551198257,12,0,0,0,4666,6,0,7,0,4210,3692.307692307693,1846.1538461538464,0,0,0,2583.0258302583024,0,0,12192.317742356938,11000.783903841128,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
206865,38974,18840.3,42944,20759.4,WASHINGTON,207018,8999,1017,3649,190532,2944,174,42598,131295,23234,16163,20159,19897,37943.095919996245,46708.76566974975,17696.02802848547,15353.973875623595,588,345,16114.003836667582,9454.645108248835,795,0,44,78,31006,584,0,50,15,31035,8834.31492388043,6489.609956661851,0,0,1494.5652173913045,1698.3695652173913,44827.58620689655,8620.689655172415,16273.381899103562,16288.60243948523,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
51361,6352,12367.4,9923,19320.1,WAYNE,51395,1886,287,2410,46353,479,39,12399,32200,3638,2858,4987,4217,23050.24598757964,34010.80732317122,11298.136645962733,15487.577639751555,86,120,3568.4647302904564,4979.253112033195,60,0,0,0,5153,231,0,0,0,7479,3181.3361611876985,12248.14422057264,0,0,0,0,0,0,11116.864064893318,16134.878001423855,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
348899,53587,15358.9,72398,20750.4,WESTMORELAND,350459,12064,1351,4338,328701,4256,227,79627,218593,29486,24074,34232,33411,30233.463523679155,41959.385635525636,13488.995530506467,15660.153801814331,1162,408,26786.537574919315,9405.255878284925,670,6,25,58,37905,736,0,15,30,47995,5553.713527851459,6100.79575596817,444.1154700222057,0,587.406015037594,352.44360902255636,25550.66079295154,13215.859030837004,11531.756824591346,14601.415876434814,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
26794,3421,12767.8,5178,19325.2,WYOMING,27087,364,157,519,25871,183,20,5735,17050,1874,1489,2471,2364,25963.382737576285,41220.5754141238,10991.202346041055,14492.66862170088,79,20,15221.579961464355,3853.5645472061656,14,0,0,0,3025,13,0,0,0,4177,3846.153846153846,3571.428571428571,0,0,0,0,0,0,11692.628812183526,16145.49109041011,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
449058,47434,10563,77289,17211.4,YORK,447847,31160,2410,35039,371487,8311,404,78162,288153,28224,18102,35775,37802,23159.591617409995,48363.654973004785,9794.79651435175,12415.279382827872,2153,1464,6144.581751762322,4178.2014326892895,2035,0,46,33,37425,1824,9,67,58,63779,6530.808729139922,5853.658536585366,0,373.44398340248966,553.4833353387078,806.1605101672483,8168.316831683169,14356.435643564355,10074.376761501748,17168.56848288096,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
