County.Population,Partially.Covered,Rate.Partially.Covered.per.100.000,Fully.Covered,Rate.Fully.Covered.per.100.000,county,TOT_POP,TOT_BAC,TOT_IAC,TOT_H,TOT_NHWA,TOT_NHAAC,TOT_NHNAC,TOT_O65,TOT_U65,U65Partial,O65Partial,U65Full,O65Full,Rate.O65Partial.Per.100K,Rate.O65Full.Per.100K,Rate.U65Partial.Per.100K,Rate.U65Full.Per.100K,Partially.Covered.Hispanic,Fully.Covered.Hispanic,Rate.HispanicPartial.Per.100K,Rate.HispanicFull.Per.100K,Partially.Covered.African.American,Partially.Covered.Native.American,Partially.Covered.Asian,Partially.Covered.Pacific.Islander,Partially.Covered.White,Fully.Covered.African.American,Fully.Covered.Native.American,Fully.Covered.Asian,Fully.Covered.Pacific.Islander,Fully.Covered.White,Rate.BlackPartial.Per.100K,Rate.BlackFull.Per.100K,Rate.NAPartial.Per.100K,Rate.NAFull.Per.100K,Rate.AsianPartial.Per.100K,Rate.AsianFull.Per.100K,Rate.PIPartial.Per.100K,Rate.PIFull.Per.100K,Rate.WhitePartial.Per.100K,Rate.WhiteFull.Per.100K,Compare.Partial.O65,Compare.Full.O65,Compare.Partial.U65,Compare.Full.U65,Compare.Partial.Hispanic,Compare.Full.Hispanic,Compare.Partial.Black,Compare.Full.Black,Compare.Partial.NA,Compare.Full.NA,Compare.Partial.PA,Compare.Full.PA,Compare.Partial.Asian,Compare.Full.Asian,Compare.Partial.White,Compare.Full.White
130192,13893,10671.2,30164,23168.9,CAMBRIA,131449,5980,454,2189,121888,982,139,29702,81082,8965,6744,12885,14485,22705.54171436267,48767.759746818396,11056.708023975729,15891.319898374484,151,99,6898.126998629511,4522.613065326634,163,0,14,8,12331,207,0,18,9,21691,2725.752508361204,3461.538461538462,0,0,1425.6619144602853,1832.9938900203665,5755.395683453237,6474.820143884892,10116.664478865845,17795.84536623786,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4447,479,10771.3,1199,26962,CAMERON,4501,80,34,59,4303,27,0,1231,2624,315,173,399,755,14053.614947197402,61332.25020308692,12004.573170731706,15205.79268292683,9,0,15254.237288135595,0,0,0,0,0,467,0,0,0,0,1072,0,0,0,0,0,0,0,0,10852.89333023472,24912.85149895422,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
64182,9813,15289.3,12267,19112.8,CARBON,64175,1467,368,3264,58581,491,58,13609,40499,5782,3896,5897,5879,28628.11374825483,43199.35336909399,14276.89572582039,14560.853354403813,293,259,8976.71568627451,7935.049019607843,141,0,0,0,8525,89,0,0,9,10289,9611.451942740287,6066.802999318336,0,0,0,0,0,15517.241379310346,14552.499957324048,17563.715197760364,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
162385,19670,12113.2,36048,22199.1,CENTRE,162601,6696,621,4930,138915,11508,207,23225,119415,15319,3906,17820,15774,16818.083961248652,67918.19160387514,12828.371645103212,14922.748398442407,512,316,10385.395537525355,6409.73630831643,377,5,97,104,13878,781,5,28,70,25608,5630.227001194743,11663.679808841098,805.1529790660225,805.1529790660225,842.8919012860619,243.30900243309003,50241.545893719805,33816.42512077295,9990.28182701652,18434.294352661702,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
524989,102155,19458.5,99098,18876.2,CHESTER,522086,34620,2430,39261,413267,33432,417,85417,340061,65831,35166,51096,39986,41169.7905569149,46812.695365091255,19358.585665512954,15025.539535553913,3532,2144,8996.204885255089,5460.889941672398,3513,30,579,376,78676,2580,8,355,424,71883,10147.3136915078,7452.339688041594,1234.567901234568,329.21810699588474,1731.8736539842068,1061.8569035654464,90167.86570743404,101678.65707434052,19037.57135217668,17393.839817841734,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
38438,2651,6896.8,8702,22639.1,CLARION,38672,660,186,407,37085,355,16,7601,25044,1856,805,3964,4565,10590.71174845415,60057.887120115774,7410.956716179525,15828.142469254113,16,32,3931.203931203931,7862.407862407862,14,0,0,0,2143,24,0,0,9,6960,2121.2121212121215,3636.363636363636,0,0,0,0,0,56250,5778.616691384656,18767.695833895108,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
79255,6239,7872.1,17323,21857.3,CLEARFIELD,79572,2286,319,2415,73914,662,43,16245,51458,4357,2212,7716,8605,13616.497383810403,52970.144659895355,8467.099382020288,14994.753002448599,110,57,4554.865424430642,2360.248447204969,32,0,10,0,4966,322,0,12,0,12286,1399.825021872266,14085.739282589677,0,0,1510.5740181268884,1812.688821752266,0,0,6718.6189355196575,16622.020185621128,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38632,2855,7390.2,6072,15717.5,CLINTON,38696,746,177,605,36792,361,31,7266,24976,1746,951,2434,3525,13088.356729975225,48513.62510322048,6990.711082639334,9745.355541319666,31,34,5123.966942148761,5619.834710743802,16,0,0,0,2294,14,0,0,0,4804,2144.7721179624664,1876.6756032171581,0,0,0,0,0,0,6235.051098064796,13057.186344857577,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
64964,7190,11067.7,15432,23754.7,COLUMBIA,65215,1436,316,1844,60747,879,44,12760,42964,4258,3062,7665,7007,23996.865203761754,54913.793103448275,9910.622847034727,17840.51764267759,155,148,8405.639913232104,8026.030368763558,51,0,8,5,6844,86,0,6,15,13182,3551.5320334261837,5988.857938718663,0,0,910.1251422070534,682.5938566552901,11363.636363636364,34090.90909090909,11266.399986830625,21699.837028989085,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
84629,6522,7706.6,19255,22752.2,CRAWFORD,85110,2192,445,1165,80602,712,41,17512,53229,4579,1653,8854,9963,9439.241662859753,56892.41662859753,8602.45354975671,16633.789851396796,193,86,16566.523605150214,7381.974248927038,214,0,0,0,5247,142,0,6,0,16386,9762.773722627739,6478.102189781022,0,0,0,842.6966292134831,0,0,6509.764025706558,20329.520359296297,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
