"county","county_population","partiallycovered","ratepartiallycovered","fullycovered","ratefullycovered"
"Bradford","60323","3801","6301.1","12591","20872.6"
"Fulton","14530","751","5168.6","2298","15815.6"
"Cambria","130192","10868","8347.7","41084","31556.5"
"Clinton","38632","2907","7524.8","9554","24730.8"
"Pike","55809","7128","12772.1","12286","22014.4"
"Delaware","566747","93259","16455.1","156569","27625.9"
"Forest","7247","378","5216","3605","49744.7"
"Potter","16526","1188","7188.7","2796","16918.8"
"Luzerne","317417","36622","11537.5","99809","31444.1"
"Monroe","170271","21624","12699.8","40106","23554.2"
"Wyoming","26794","3213","11991.5","7822","29193.1"
"Chester","524989","137362","26164.7","152994","29142.3"
"Franklin","155027","9796","6318.9","35250","22738"
"Lancaster","545724","61280","11229.1","166638","30535.2"
"Crawford","84629","6228","7359.2","23965","28317.7"
"Washington","206865","34167","16516.6","68014","32878.4"
"Snyder","40372","3787","9380.3","9458","23427.1"
"Tioga","40591","3041","7491.8","9427","23224.4"
"Bucks","628270","98496","15677.3","176215","28047.7"
"Berks","421164","62747","14898.5","101876","24189.2"
"Lehigh","369318","70793","19168.6","119336","32312.5"
"Indiana","84073","6755","8034.7","20333","24184.9"
"Carbon","64182","9320","14521.2","18828","29335.3"
"Clarion","38438","2222","5780.7","10506","27332.3"
"Warren","39191","5270","13447","8489","21660.6"
"Butler","187853","20922","11137.4","65632","34938"
"Erie","269728","24156","8955.7","90003","33368.1"
"Bedford","47888","3410","7120.8","9405","19639.6"
"Union","44923","4620","10284.3","11865","26411.9"
"Northumberland","90843","7570","8333.1","28352","31209.9"
"Dauphin","278299","42072","15117.6","72304","25980.7"
"Adams","103009","10560","10251.5","24930","24201.8"
"Philadelphia","1584064","35262","2226","64306","4059.6"
"Lackawanna","209674","27760","13239.6","80255","38276.1"
"Susquehanna","40328","3273","8115.9","8921","22121.1"
"Sullivan","6066","1659","27349.2","1632","26904.1"
"Cameron","4447","301","6768.6","1532","34450.2"
"Schuylkill","141359","19729","13956.7","41682","29486.6"
"Mckean","40625","7792","19180.3","7578","18653.5"
"Montgomery","830915","230552","27746.8","198920","23939.9"
"York","449058","48785","10863.9","124269","27673.3"
"Columbia","64964","6214","9565.3","21155","32564.2"
"Beaver","163929","16804","10250.8","48390","29518.9"
"Jefferson","43425","3024","6963.7","13232","30470.9"
"Lawrence","85512","7207","8428.1","23702","27717.7"
"Juniata","24763","1790","7228.5","5594","22590.2"
"Armstrong","64735","7191","11108.4","21329","32948.2"
"Northampton","305285","66681","21842.2","95389","31245.9"
"Cumberland","253370","49098","19378","68946","27211.6"
"Out-of-State","0","128508",,"239247",
"Venango","50668","3375","6661","13273","26196"
"Montour","18230","1618","8875.5","8578","47054.3"
"Elk","29910","2078","6947.5","10959","36639.9"
"Mifflin","46138","3095","6708.1","12435","26951.8"
"Perry","46272","8104","17513.8","9743","21055.9"
"Lycoming","113299","10450","9223.4","32878","29018.8"
"Centre","162385","19898","12253.6","53030","32657"
"Allegheny","1216045","238955","19650.2","439556","36146.4"
"Mercer","109424","6997","6394.4","33348","30475.9"
"Clearfield","79255","5369","6774.3","22938","28942"
"Huntingdon","45144","2739","6067.3","12434","27543"
"Lebanon","141793","14226","10032.9","35663","25151.5"
"Blair","121829","9778","8026","32879","26987.8"
"Wayne","51361","5638","10977.2","15681","30530.9"
"Greene","36233","3262","9002.8","9426","26015"
"Westmoreland","348899","44473","12746.7","109762","31459.5"
"Fayette","129274","9642","7458.6","41902","32413.3"
"Somerset","73447","5603","7628.6","19941","27150.2"
