"county","partiallycovered_15_19","partiallycovered_20_24","partiallycovered_25_29","partiallycovered_30_34","partiallycovered_25_39","partiallycovered_40_44","partiallycovered_45_49","partiallycovered_50_54","partiallycovered_55_59","partiallycovered_60_64","partiallycovered_65_69","partiallycovered_70_74","partiallycovered_75_79","partiallycovered_80_84","partiallycovered_85_89","partiallycovered_90_94","partiallycovered_95_99","partiallycovered_100_104","partiallycovered_105_plus","fullycovered_15_19","fullycovered_20_24","fullycovered_25_29","fullycovered_30_34","fullycovered_35_39","fullycovered_40_44","fullycovered_45_49","fullycovered_50_54","fullycovered_55_59","fullycovered_60_64","fullycovered_65_69","fullycovered_70_74","fullycovered_75_79","fullycovered_80_84","fullycovered_85_89","fullycovered_90_94","fullycovered_95_99","fullycovered_100_104","fullycovered_105_plus"
"DAUPHIN","1979","2463","2737","2842","3059","2994","3091","3763","4407","4882","3703","3195","1920","1246","801","346","86","15",,"673","1802","2818","3259","3701","3762","3918","4861","5818","7286","9322","7921","4654","3170","2045","983","316","45","5"
"ARMSTRONG","352","416","334","356","389","441","488","681","922","1040","877","680","326","265","153","86","25",,,"141","444","483","597","822","911","1051","1339","1849","2592","3013","2676","1716","1313","753","400","90","13",
"ERIE","1878","2237","1728","1792","1776","1757","1882","2227","2563","2764","1542","1037","703","482","467","274","121","8",,"1084","3480","3980","4606","5169","5283","5517","6952","8098","10102","10970","8529","5649","3761","2156","1178","352","61",
"WAYNE","307","358","282","342","322","333","351","491","612","707","578","587","395","290","153","81","22",,,"141","381","419","544","710","721","877","1139","1436","1766","2142","1793","1189","789","390","184","36",,
"CLEARFIELD","262","321","244","310","311","315","393","509","615","662","418","320","199","163","89","42","15",,,"165","577","749","986","1066","1147","1280","1619","2036","2469","3090","2571","1901","1416","820","364","108","8",
"CLINTON","184","272","170","169","183","190","238","310","348","383","224","150","99","69","64","21","9",,,"71","261","256","290","322","378","460","596","792","1075","1340","1154","818","608","356","186","53","8",
"HUNTINGDON","139","180","116","140","118","145","188","273","352","356","230","196","116","93","74","25","15",,,"122","367","397","521","594","670","759","857","993","1249","1637","1505","1072","752","422","217","46","9",
"VENANGO","154","220","141","173","213","220","270","326","434","554","353","271","146","117","62","35","11",,,"99","311","314","409","567","561","637","879","1173","1658","1989","1638","1072","708","422","206","60","9",
"ADAMS","605","799","475","580","647","692","780","960","1222","1367","943","851","597","392","244","92","35",,,"182","516","533","697","945","958","1117","1459","2014","2558","3728","3492","2270","1508","891","404","110","21",
"BERKS","3427","3550","3015","3491","3982","4155","4631","5592","6734","7184","5641","4891","2803","1971","1350","716","178","40","8","934","2714","3303","4307","5274","5682","6248","7626","9136","10420","12278","10696","7320","4748","3193","1616","439","52","7"
"FULTON","14","21","29","33","40","42","56","79","88","117","63","58","36","29","14",,,,,"9","42","39","57","62","83","85","128","165","232","365","344","271","206","93","52","15",,
"LANCASTER","4351","5083","4499","4775","4737","4669","4905","5751","6936","7433","4801","3569","2568","1889","1338","785","240","45",,"2005","5082","6098","7749","8651","8480","8921","10310","12826","15606","19432","17483","12399","9092","6038","3324","1004","139","5"
"FRANKLIN","509","602","520","619","639","636","749","854","1068","1141","822","676","523","350","273","138","47","8",,"304","673","749","1101","1407","1490","1722","2052","2629","3415","4871","4896","3638","2520","1541","769","200","31",
"JEFFERSON","107","172","140","161","194","184","204","248","341","389","278","241","139","109","94","72","13",,,"107","300","308","411","535","555","653","862","1088","1649","1921","1618","1185","908","559","278","84","15",
"JUNIATA","69","87","58","67","100","113","138","217","228","270","148","131","84","67","45","19","6",,,"46","126","112","148","163","191","220","325","422","573","838","782","563","448","266","124","43",,
"BLAIR","524","620","428","507","518","597","638","833","985","1145","859","757","427","362","200","116","43",,,"263","801","1004","1260","1549","1669","1762","2142","2697","3666","4524","4020","2662","1965","1171","668","205","23",
"SCHUYLKILL","676","816","760","822","927","1086","1283","1598","2090","2500","2772","2306","804","573","397","216","96","8",,"276","981","1267","1634","1983","2142","2505","3043","3590","4484","5494","4868","3469","2295","1395","773","166","22",
"GREENE","102","156","122","128","145","192","185","299","352","472","446","373","211","120","77","31","11",,,"48","214","305","427","449","505","536","659","780","1065","1388","1112","766","417","252","137","36",,
"NORTHUMBERLAND","290","401","322","374","406","443","519","633","863","1009","691","653","413","346","182","102","27","6",,"189","663","877","1085","1357","1406","1577","1991","2452","3061","3906","3285","2296","1597","1010","502","123","15",
"WESTMORELAND","2268","2580","2043","2199","2486","2578","2855","3841","4415","5180","5555","4740","2658","1771","1104","647","176","28","5","917","2947","3321","4166","4925","5378","5811","7446","9457","12593","14425","12452","8400","5968","3787","2009","554","62","8"
"PERRY","136","219","252","291","318","370","436","525","742","1037","1039","1063","701","478","242","86","16",,,"55","185","212","285","387","455","475","632","820","1053","1557","1346","837","499","310","140","27",,
"LACKAWANNA","2056","2117","1770","1973","2020","1909","2025","2557","2692","2632","1974","1556","1053","824","581","298","116","17",,"1052","2872","3325","3928","4523","4591","4864","6124","7287","8646","9234","8179","5552","3703","2310","1215","371","36",
"CHESTER","7266","6882","7046","8195","9934","10237","10380","12382","13243","13559","12151","9480","5179","3324","1980","1017","302","46",,"2263","5170","5932","7711","9301","10294","10673","12199","13591","14597","16071","13824","10541","6809","4000","2177","593","79",
"PIKE","337","409","285","265","293","382","413","629","792","878","740","693","527","383","218","113","19",,,"104","306","280","353","384","452","576","913","1235","1534","1725","1619","1026","660","325","125","26",,
"CAMERON","8","19","13","14","20","25","25","25","37","39","33","30","16",,"8",,,,,"7","23","28","21","42","45","49","72","161","191","246","248","141","117","63","39","6",,
"SOMERSET","204","274","199","255","277","281","365","493","614","807","686","566","373","302","204","110","22",,,"122","431","518","748","896","902","1050","1295","1542","2268","2806","2532","1584","1206","763","427","95","11",
"COLUMBIA","355","473","332","349","404","413","489","612","689","796","443","331","271","154","113","60","34",,,"167","547","686","937","1043","1010","1207","1432","1832","2172","2867","2469","1686","1152","753","395","104","15",
"ALLEGHENY","12336","18958","18792","18736","16708","14475","13526","16571","19074","20887","30696","23778","11626","7928","5083","2754","708","82","16","4844","16880","24889","30732","31366","27977","25171","29809","35587","45209","43317","34271","23709","17048","11099","6328","1838","211","58"
"SUSQUEHANNA","170","173","140","154","168","206","203","296","427","466","292","259","176","128","61","32","12",,,"62","173","171","245","288","349","389","565","778","1054","1380","1174","849","557","339","159","41","8",
"CRAWFORD","603","590","373","432","430","437","424","497","687","713","417","339","231","147","85","72","27","9",,"257","724","648","793","998","1115","1257","1638","2004","2689","3166","2912","2149","1464","806","445","129","13",
"LUZERNE","2333","2506","2061","2223","2389","2575","2827","3465","3990","3896","2697","2168","1330","976","671","389","104","19",,"1056","2873","3482","4323","5046","5460","6180","7652","9169","10969","12377","11051","7306","4926","2937","1648","448","51","5"
"SNYDER","162","223","142","169","166","205","258","354","434","413","356","328","272","164","95","41","10",,,"74","220","250","311","400","445","553","662","784","1000","1312","1198","865","579","337","152","46","5",
"MCKEAN","319","301","296","323","360","394","475","634","737","969","720","476","336","284","162","74","18",,,"61","220","204","234","315","375","412","516","640","864","1092","871","625","401","258","149","46",,
"MONROE","1125","1610","1210","1206","1283","1525","1624","2200","2807","2822","2011","1301","617","379","206","107","29",,,"312","1046","1176","1347","1569","1693","2095","2906","4096","4691","5306","4545","3180","1990","1143","503","122","14",
"POTTER","34","48","50","44","62","61","69","123","150","224","155","156","84","67","30","14","7",,,"13","52","51","71","68","109","95","137","211","266","410","420","282","187","101","57","18",,
"TIOGA","160","168","150","134","165","180","190","275","342","449","262","205","166","111","67","20","5",,,"54","185","216","264","274","361","399","532","670","1030","1448","1362","1008","804","366","143","42","9",
"DELAWARE","6427","6823","5792","6788","7556","7697","7384","8513","9493","9873","6502","4585","2541","1759","1191","666","251","38","5","1808","4631","5920","7590","8947","9310","9345","10896","13379","15882","18680","14990","10763","7078","4916","2599","779","111",
"MONTOUR","152","103","100","140","122","104","122","127","162","211","86","75","45","38","30","14",,"5",,"73","194","493","682","612","498","458","529","701","835","988","797","568","425","323","153","42","6",
"UNION","356","374","196","198","237","232","260","343","422","463","393","362","332","236","181","105","25",,,"197","619","328","463","607","642","673","804","980","1148","1421","1254","872","631","411","214","67","5",
"WYOMING","172","192","140","173","202","183","228","276","321","421","255","211","179","117","56","31","10",,,"71","211","230","274","301","323","383","541","767","902","1102","1051","723","382","211","80","19",,
"CUMBERLAND","2125","2710","2635","3207","3644","3510","3503","3828","4208","5052","4490","4228","3044","1964","1050","552","118","8","9","802","1983","2523","3282","4143","4204","4058","4725","5303","6520","8382","7739","4719","3125","2146","1162","378","48","5"
"NORTHAMPTON","3255","4494","3538","3932","4344","4550","4704","5925","6721","7590","7690","6105","1666","1085","795","476","133","21",,"909","2857","3380","4209","4673","5079","5624","6896","8139","9615","10743","9811","8240","5289","3306","1748","481","63","7"
"CLARION","88","130","130","118","124","137","159","172","259","319","207","169","109","71","51","39","18","5",,"103","343","319","358","384","442","499","706","926","1270","1486","1196","897","737","426","180","43","8",
"MONTGOMERY","10816","9756","11212","14099","15931","15741","16273","18556","20823","22513","28026","21798","10860","6648","4150","2334","671","78","31","2946","6559","8209","10568","12690","13159","12573","14852","17083","19297","18552","15924","13416","9934","6822","4061","1255","153","9"
"CENTRE","1830","3868","2116","1740","1470","1282","1177","1395","1546","1585","937","741","454","300","203","89","23","5",,"1268","4322","2752","2902","3060","3126","3134","3527","4057","4543","5545","4661","3207","2260","1407","678","215","27",
"LEHIGH","3976","4520","4517","5094","5431","5313","5567","6292","7116","7519","6558","4951","1631","974","759","478","142","13",,"1057","3339","4689","5803","6638","7320","7388","8533","10320","12159","13424","11708","9144","6218","4084","2112","608","74",
"BUTLER","1554","1550","1342","1508","1701","1650","1716","2145","2289","2443","1375","966","565","386","284","213","62","13",,"688","1900","2140","2933","3806","3824","3813","4840","5757","7184","8431","6816","4495","3208","1965","1064","294","37",
"LEBANON","893","859","780","875","1008","1137","1226","1370","1580","1687","1121","867","615","442","304","158","56","9",,"294","803","999","1315","1655","1759","1901","2253","2775","3519","4859","4445","2982","2092","1389","754","223","44",
"PHILADELPHIA","1360","2486","3727","3785","3080","2687","2412","2736","3015","2948","2276","1817","1076","857","582","278","120","14",,"581","2718","5784","6496","5592","4814","4314","4779","5319","5427","4813","3792","3040","2072","1317","723","219","29","28"
"ELK","96","150","142","123","115","133","125","196","258","288","144","131","55","44","49","31","27","8",,"94","276","256","390","426","447","549","848","1115","1358","1492","1312","844","697","423","204","61",,
