"county","partiallycovered_15_19","partiallycovered_20_24","partiallycovered_25_29","partiallycovered_30_34","partiallycovered_25_39","partiallycovered_40_44","partiallycovered_45_49","partiallycovered_50_54","partiallycovered_55_59","partiallycovered_60_64","partiallycovered_65_69","partiallycovered_70_74","partiallycovered_75_79","partiallycovered_80_84","partiallycovered_85_89","partiallycovered_90_94","partiallycovered_95_99","partiallycovered_100_104","partiallycovered_105_plus","fullycovered_15_19","fullycovered_20_24","fullycovered_25_29","fullycovered_30_34","fullycovered_35_39","fullycovered_40_44","fullycovered_45_49","fullycovered_50_54","fullycovered_55_59","fullycovered_60_64","fullycovered_65_69","fullycovered_70_74","fullycovered_75_79","fullycovered_80_84","fullycovered_85_89","fullycovered_90_94","fullycovered_95_99","fullycovered_100_104","fullycovered_105_plus"
"CARBON","390","513","420","438","496","561","660","871","1113","1266","1014","743","327","186","121","45","19",,,"131","384","502","675","795","910","1058","1387","1650","2074","2477","2134","1724","1071","658","334","91","15",
"BUCKS","5060","5701","5032","5637","6760","6975","7393","9332","11025","11102","8281","6630","3845","2570","1605","830","271","35","10","2046","5307","5613","7142","8786","9506","10258","13051","16205","19181","21615","18062","12923","8650","5633","2943","832","101","15"
"BEAVER","912","1006","921","1133","1343","1462","1489","1715","2147","2499","1544","1017","545","360","267","178","49",,,"286","944","1273","1662","2053","2171","2141","2848","3903","5104","6275","4161","2283","1704","941","536","131","13",
"CAMBRIA","679","671","568","539","569","600","779","948","1154","1389","1033","749","504","354","274","172","56","10",,"316","1018","1197","1410","1583","1882","2112","2647","3383","4885","6258","5218","3408","2313","1489","808","231","29",
"LYCOMING","404","653","549","647","683","613","757","954","1163","1444","971","772","541","371","254","144","34",,,"203","781","1033","1303","1597","1543","1630","2074","2608","3533","4698","4071","2664","1747","1234","592","186","27",
"WARREN","141","197","188","227","300","242","268","378","557","654","696","530","405","264","148","87","23",,,"75","199","253","274","357","361","392","562","779","1019","1261","1037","718","481","313","142","47",,
"WASHINGTON","1633","1673","1436","1714","2034","2160","2239","2759","3303","3802","4408","3505","1988","1179","656","359","114","16",,"687","1802","1970","2657","3614","3977","3997","4939","6219","7813","8434","7253","4845","3476","2162","1116","318","34",
"OUT-OF-STATE","7206","12609","8666","8817","9089","8866","8990","10559","11582","11594","10642","9575","6025","4025","2423","1296","393","86","213","2811","10563","10969","13024","14146","14703","15130","18602","21913","25489","28235","24362","17037","11607","6854","3464","825","102","121"
"MIFFLIN","133","158","141","157","182","214","221","305","366","388","263","234","202","152","104","46","16",,,"65","228","273","378","432","444","545","773","971","1287","1750","1696","1247","958","563","272","87","8",
"FAYETTE","516","609","481","520","551","643","714","940","1041","1173","1031","820","505","380","261","133","47","6",,"413","961","1096","1343","1755","1923","2203","2963","3636","5030","6055","5173","3365","2282","1361","721","196","19",
"INDIANA","463","631","374","375","438","473","512","702","793","981","647","516","318","251","131","83","28","5",,"124","497","496","534","737","777","838","1125","1617","2295","3087","2619","1791","1351","690","323","74","14",
"BRADFORD","225","224","215","187","176","198","234","332","436","554","305","254","216","148","78","42","13",,,"97","244","313","408","463","492","557","850","1112","1392","1772","1580","1302","919","491","224","63","6",
"LAWRENCE","362","435","342","390","425","467","481","692","796","961","710","528","332","280","191","106","38","5",,"161","509","597","726","977","1074","1146","1657","1989","2859","3320","2789","1788","1348","852","449","124","15",
"BEDFORD","85","141","136","150","124","177","192","284","417","535","399","280","214","175","97","25","10",,,"39","160","157","191","312","348","402","542","711","1112","1439","1270","984","757","446","203","36","6",
"FOREST","12","13","13","10","16","16","23","46","60","69","48","29","22","13","9",,,,,"10","90","270","346","335","301","240","272","300","301","365","288","196","152","72","21",,,
"YORK","3157","3086","2782","3230","3649","3735","3837","4921","5888","6223","4075","3354","2344","1571","1017","521","144","16",,"1113","2824","3509","4673","5764","6203","7020","8516","10286","12621","16328","14547","9569","6325","3929","1918","544","65","6"
"SULLIVAN","14","30","30","54","47","56","70","106","146","208","243","219","162","141","86","19","8",,,"10","33","27","34","32","42","50","95","148","228","256","248","175","115","75","30","6",,
"MERCER","366","476","364","431","402","433","493","667","791","845","533","402","289","238","189","118","43","18",,"261","778","874","1099","1376","1394","1659","2270","2935","4004","4623","4056","2977","2094","1277","733","213","27",
