"county","partially_covered_african_american","partially_covered_asian","partially_covered_native_american","partially_covered_pacific_islander","partially_covered_multiple_other","partially_covered_white","partially_covered_unknown","fully_covered_african_american","fully_covered_asian","fully_covered_native_american","fully_covered_pacific_islander","fully_covered_multiple_other","fully_covered_white","fully_covered_unknown"
"SULLIVAN",,,,,"23","1550","63",,,,,"97","1313","192"
"MERCER","250",,,"7","396","5329","1116","1065","8",,"16","2458","23762","5342"
"INDIANA","100","16",,"58","313","6171","1064","132","19","6","12","636","15119","3067"
"VENANGO","30",,,,"251","2978","441","52","5",,"16","2341","9269","1030"
"LANCASTER","2832","94",,"123","5725","52723","6882","3796","448","16","215","13869","126349","9951"
"TIOGA","13",,,,"100","2258","679","16",,,"5","1178","6301","1665"
"MIFFLIN","22",,,,"210","2865","182","44",,,"6","847","10717","363"
"CHESTER","4891","560","28","502","5226","100211","21199","4630","662","20","545","10008","115568","14396"
"ARMSTRONG","65",,,"19","251","6563","934","121","5","5","14","849","16894","2317"
"BRADFORD","23",,,,"55","3534","221","44",,,,"484","11236","521"
"ALLEGHENY","20053","260","36","1042","14895","181212","35254","23911","509","56","1357","41958","298689","43871"
"ERIE","1114","124",,"86","1591","19067","3261","3072","254","27","195","14658","62738","5987"
"WESTMORELAND","801","19","5","63","1831","37287","7127","1215","38",,"68","5220","74581","23502"
"BERKS","1815","99","11","203","6750","45902","8587","2468","137","8","153","7966","75071","10191"
"SCHUYLKILL","133",,,"7","802","15849","2935","966","10",,"19","2113","34591","2689"
"LACKAWANNA","554","140","37","157","1629","20619","5041","750","277","124","127","4111","62676","9750"
"WARREN","10",,,,"244","4744","307","17","9",,"5","713","7138","388"
"ELK","8",,,"6","49","1666","383","5","7",,,"531","8934","1314"
"JEFFERSON","6",,,,"63","2409","608","6","9",,,"351","10633","2035"
"CLARION","11",,,"5","111","1831","345","37","5",,"14","597","8568","1101"
"BEAVER","647",,,"24","731","15200","1987","1062",,,"27","2602","32075","2660"
"FRANKLIN","296",,,"13","576","8052","1236","648","11",,"22","1972","28570","2785"
"DELAWARE","10572","599","16","1328","4985","58770","17625","11670","435","33","600","10677","101033","23181"
"ADAMS","147","6",,"18","1035","8458","1617","210","6",,"14","1999","20113","1061"
"COLUMBIA","73","7",,"14","212","5704","312","125","12",,"17","1043","18650","626"
"CAMERON",,,,,"6","286","28",,,,,"20","1407","73"
"NORTHAMPTON","2349","46",,"114","4822","52286","7407","2427","52",,"83","6411","75142","6951"
"BUTLER","243","51",,"80","960","17704","2727","381","81","8","81","3211","54671","4764"
"YORK","2412","54",,"64","4381","40947","5691","3710","102","11","112","6671","99763","5393"
"CUMBERLAND","1033","43","6","74","3456","33357","11926","1411","194","22","116","6411","50467","6627"
"FULTON",,,,,"14","629","80","19",,,,"42","2031","155"
"CRAWFORD","221",,,,"228","5525","535","203","9",,"6","772","20355","1861"
"PIKE","269",,,"11","1374","4751","971","321","5",,"10","2360","7700","1251"
"WAYNE","62","5",,,"545","4878","721","276","7",,"8","984","12078","1318"
"DAUPHIN","4614","85",,"105","4570","27090","7068","6156","157","16","119","7177","46802","5932"
"WYOMING","21",,,,"100","2781","267","23","6",,,"301","6695","543"
"POTTER",,,,,"103","1161","113",,,,,"280","2066","197"
"SNYDER","29",,,,"123","2857","782","41",,,,"469","7692","989"
"LYCOMING","259","12",,"20","1007","8279","1381","686","12",,"21","5247","22816","2743"
"CARBON","177",,,,"329","8002","669","179",,,"11","807","15981","1088"
"OUT-OF-STATE","4544","988","251","775","25665","60067","40457","5461","1073","153","499","65653","102438","64689"
"MONTGOMERY","12834","1285","58","540","9260","173424","32928","9370","2152","130","463","16069","129810","30070"
"CLINTON","23",,,,"294","2465","300","25",,,,"1037","7356","604"
"GREENE","19",,,,"162","2789","451","511",,,,"267","7113","1207"
"NORTHUMBERLAND","65",,,"9","359","6040","1208","447","6",,"14","1474","23158","2293"
"LUZERNE","945","49","5","113","2408","28813","4296","1394","85","21","147","3896","83689","7728"
"PHILADELPHIA","8903","484","9","131","3477","15683","6576","14759","383","7","183","6685","27977","11866"
"JUNIATA","23",,,,"88","1595","135","16",,,,"327","4826","226"
"PERRY","26",,,,"406","4832","2687","24",,,"5","852","7851","544"
"CAMBRIA","209","10",,"11","551","8965","1305","348","30",,"17","2577","32890","4328"
"BLAIR","121","16",,"18","618","7299","1495","180","10",,"18","3533","22218","6092"
"FAYETTE","306","13",,"14","430","7794","1816","972","21","5","15","1892","28400","9193"
"MONROE","2470","12",,"47","2296","14899","2337","2687","12",,"33","3030","29718","2250"
"HUNTINGDON","31",,,,"110","2156","460","748","14",,,"477","9421","1524"
"LEBANON","254","13",,"34","2003","11014","1670","349","96",,"33","3072","28063","2446"
"BEDFORD","9","7",,,"99","3066","257","22","13",,"9","398","7670","1000"
"SUSQUEHANNA","17",,,,"162","2888","294","20","5",,,"403","7418","732"
"LEHIGH","3028","111","12","222","9115","49353","9011","3190","171","14","204","11860","89452","9729"
"CLEARFIELD","36","8",,,"114","4031","1003","618","21",,,"490","16855","4386"
"UNION","67",,,"7","234","2999","1408","108",,,"18","732","8646","1829"
"BUCKS","2438","276","17","251","5854","76074","13185","2681","640","49","289","14451","130931","18831"
"MCKEAN","16",,,"11","155","6025","672","13","6",,,"509","5664","1092"
"FOREST",,,,,"10","311","82","770",,,,"43","2290","458"
"LAWRENCE","165",,,"9","500","5506","1362","340","9",,"11","2255","16328","3438"
"WASHINGTON","745","25",,"54","3216","27443","3494","1135","86",,"67","5240","51593","7190"
"CENTRE","440","120","9","98","871","13638","5588","1209","93","8","155","2315","37951","8963"
"SOMERSET","26",,,"5","221","5043","737","525","7",,"18","1447","15302","1899"
"MONTOUR","24",,,"10","42","1374","185","100","13",,"45","249","7344","624"
